game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020201,2021-03-18,0,0,0,1,0,1,1,2,R,10538,0,1013,0,0,260,4,1362,1,882,0,2,300,0,1302,0,1055,0,0,98,0,1156,0,957,1,0,131,2,1088,0,1058,0,0,94,6,1167,0,1078,0,0,216,3,1328,0,819,1,0,170,4,989,0,1205,0,2,144,1,1349,1,877,1,0,168,3,1127,0,1046,0,2,145,3,1213,1,8,2,10,20,03,38,1,11,3,11,31,03,10,0,10,2,9,23,03,33,0,10,11,19,24,03,14,0,4,5,20,35,03,22,1,8,8,22,32,03,30,0,6,8,10,23,02,34,1,8,8,17,43,03,15,0,12,6,5,31,02,33,0,10,7,7,33,03,9,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12
2020020459,2021-03-16,1,1,1,1,0,0,0,4,R,10536,1,882,0,2,300,0,1302,0,1055,0,0,98,0,1156,0,957,1,0,131,2,1088,0,1058,0,0,94,6,1167,0,1078,0,0,216,3,1328,0,819,1,0,170,4,989,0,1205,0,2,144,1,1349,1,877,1,0,168,3,1127,0,1046,0,2,145,3,1213,0,1037,0,0,274,3,1311,0,10,2,9,23,03,33,0,10,11,19,24,03,14,0,4,5,20,35,03,22,1,8,8,22,32,03,30,0,6,8,10,23,02,34,1,8,8,17,43,03,15,0,12,6,5,31,02,33,0,10,7,7,33,03,9,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13
2020020450,2021-03-15,1,0,0,0,1,1,1,0,R,10535,0,1055,0,0,98,0,1156,0,957,1,0,131,2,1088,0,1058,0,0,94,6,1167,0,1078,0,0,216,3,1328,0,819,1,0,170,4,989,0,1205,0,2,144,1,1349,1,877,1,0,168,3,1127,0,1046,0,2,145,3,1213,0,1037,0,0,274,3,1311,0,787,0,0,387,5,1181,0,4,5,20,35,03,22,1,8,8,22,32,03,30,0,6,8,10,23,02,34,1,8,8,17,43,03,15,0,12,6,5,31,02,33,0,10,7,7,33,03,9,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34
2020020431,2021-03-13,0,0,0,0,1,1,1,0,R,10533,0,957,1,0,131,2,1088,0,1058,0,0,94,6,1167,0,1078,0,0,216,3,1328,0,819,1,0,170,4,989,0,1205,0,2,144,1,1349,1,877,1,0,168,3,1127,0,1046,0,2,145,3,1213,0,1037,0,0,274,3,1311,0,787,0,0,387,5,1181,0,987,0,0,131,0,1118,0,6,8,10,23,02,34,1,8,8,17,43,03,15,0,12,6,5,31,02,33,0,10,7,7,33,03,9,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7
2020020416,2021-03-11,0,0,0,1,0,1,1,2,R,10531,0,1058,0,0,94,6,1167,0,1078,0,0,216,3,1328,0,819,1,0,170,4,989,0,1205,0,2,144,1,1349,1,877,1,0,168,3,1127,0,1046,0,2,145,3,1213,0,1037,0,0,274,3,1311,0,787,0,0,387,5,1181,0,987,0,0,131,0,1118,0,1046,0,0,12,1,1058,0,12,6,5,31,02,33,0,10,7,7,33,03,9,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10
2020020405,2021-03-09,1,1,1,1,0,0,0,6,R,10529,0,1078,0,0,216,3,1328,0,819,1,0,170,4,989,0,1205,0,2,144,1,1349,1,877,1,0,168,3,1127,0,1046,0,2,145,3,1213,0,1037,0,0,274,3,1311,0,787,0,0,387,5,1181,0,987,0,0,131,0,1118,0,1046,0,0,12,1,1058,1,799,1,0,227,4,1038,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10,0,2,4,7,29,02,35,0,12,2,10,26,02,12
2020020393,2021-03-07,1,0,1,1,0,0,1,3,R,10527,0,819,1,0,170,4,989,0,1205,0,2,144,1,1349,1,877,1,0,168,3,1127,0,1046,0,2,145,3,1213,0,1037,0,0,274,3,1311,0,787,0,0,387,5,1181,0,987,0,0,131,0,1118,0,1046,0,0,12,1,1058,1,799,1,0,227,4,1038,0,1045,0,0,217,4,1269,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10,0,2,4,7,29,02,35,0,12,2,10,26,02,12,1,8,9,9,26,02,38,1,10,8,5,24,02,9
2020020668,2021-03-06,1,1,1,1,0,0,0,4,R,10526,0,1205,0,2,144,1,1349,1,877,1,0,168,3,1127,0,1046,0,2,145,3,1213,0,1037,0,0,274,3,1311,0,787,0,0,387,5,1181,0,987,0,0,131,0,1118,0,1046,0,0,12,1,1058,1,799,1,0,227,4,1038,0,1045,0,0,217,4,1269,1,1085,2,0,124,6,1237,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10,0,2,4,7,29,02,35,0,12,2,10,26,02,12,1,8,9,9,26,02,38,1,10,8,5,24,02,9,1,10,5,2,31,02,27,1,4,9,4,26,02,14
2020020366,2021-03-04,1,0,0,0,1,1,1,1,R,10524,1,877,1,0,168,3,1127,0,1046,0,2,145,3,1213,0,1037,0,0,274,3,1311,0,787,0,0,387,5,1181,0,987,0,0,131,0,1118,0,1046,0,0,12,1,1058,1,799,1,0,227,4,1038,0,1045,0,0,217,4,1269,1,1085,2,0,124,6,1237,1,1229,1,0,52,6,1281,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10,0,2,4,7,29,02,35,0,12,2,10,26,02,12,1,8,9,9,26,02,38,1,10,8,5,24,02,9,1,10,5,2,31,02,27,1,4,9,4,26,02,14,1,21,18,11,24,02,37,0,2,8,9,15,02,10
2020020355,2021-03-02,1,0,1,1,0,0,1,3,R,10522,0,1046,0,2,145,3,1213,0,1037,0,0,274,3,1311,0,787,0,0,387,5,1181,0,987,0,0,131,0,1118,0,1046,0,0,12,1,1058,1,799,1,0,227,4,1038,0,1045,0,0,217,4,1269,1,1085,2,0,124,6,1237,1,1229,1,0,52,6,1281,1,1274,0,0,0,8,1274,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10,0,2,4,7,29,02,35,0,12,2,10,26,02,12,1,8,9,9,26,02,38,1,10,8,5,24,02,9,1,10,5,2,31,02,27,1,4,9,4,26,02,14,1,21,18,11,24,02,37,0,2,8,9,15,02,10,1,2,19,10,30,02,18,0,13,8,2,27,02,8
