game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020201,2021-03-18,1,0,0,1,0,1,1,2,C,7248,0,893,0,0,167,1,1060,0,1178,0,0,152,1,1341,0,763,0,0,246,1,1009,0,807,1,0,98,2,905,0,1026,0,0,182,2,1208,0,742,0,0,179,1,921,0,1040,0,0,80,1,1120,0,869,1,0,250,2,1119,0,1023,0,0,203,1,1228,0,805,0,0,191,3,996,1,11,6,13,23,02,31,1,0,3,7,15,02,8,0,12,7,10,21,02,28,0,2,2,6,28,02,17,0,6,0,11,24,02,31,0,4,4,5,18,02,7,1,4,11,7,12,02,24,0,4,2,3,20,02,12,1,10,10,12,10,02,26,0,6,2,1,11,02,15,1,4,6,7,14,02,34,1,6,8,3,17,02,6,0,10,5,7,17,02,34,1,8,4,12,16,02,14,0,8,10,4,9,02,37,1,4,3,6,15,02,12,0,5,1,14,21,02,37,1,4,6,10,22,02,11,0,10,8,9,24,02,26,0,2,5,10,17,02,14
2020020457,2021-03-16,1,0,0,0,1,1,1,1,C,7246,0,1178,0,0,152,1,1341,0,763,0,0,246,1,1009,0,807,1,0,98,2,905,0,1026,0,0,182,2,1208,0,742,0,0,179,1,921,0,1040,0,0,80,1,1120,0,869,1,0,250,2,1119,0,1023,0,0,203,1,1228,0,805,0,0,191,3,996,1,1062,0,0,99,4,1163,0,12,7,10,21,02,28,0,2,2,6,28,02,17,0,6,0,11,24,02,31,0,4,4,5,18,02,7,1,4,11,7,12,02,24,0,4,2,3,20,02,12,1,10,10,12,10,02,26,0,6,2,1,11,02,15,1,4,6,7,14,02,34,1,6,8,3,17,02,6,0,10,5,7,17,02,34,1,8,4,12,16,02,14,0,8,10,4,9,02,37,1,4,3,6,15,02,12,0,5,1,14,21,02,37,1,4,6,10,22,02,11,0,10,8,9,24,02,26,0,2,5,10,17,02,14,1,2,8,8,13,02,27,0,4,6,6,14,02,9
2020020767,2021-03-14,1,0,0,0,1,1,1,1,C,7244,0,763,0,0,246,1,1009,0,807,1,0,98,2,905,0,1026,0,0,182,2,1208,0,742,0,0,179,1,921,0,1040,0,0,80,1,1120,0,869,1,0,250,2,1119,0,1023,0,0,203,1,1228,0,805,0,0,191,3,996,1,1062,0,0,99,4,1163,0,1007,0,0,246,8,1253,0,6,0,11,24,02,31,0,4,4,5,18,02,7,1,4,11,7,12,02,24,0,4,2,3,20,02,12,1,10,10,12,10,02,26,0,6,2,1,11,02,15,1,4,6,7,14,02,34,1,6,8,3,17,02,6,0,10,5,7,17,02,34,1,8,4,12,16,02,14,0,8,10,4,9,02,37,1,4,3,6,15,02,12,0,5,1,14,21,02,37,1,4,6,10,22,02,11,0,10,8,9,24,02,26,0,2,5,10,17,02,14,1,2,8,8,13,02,27,0,4,6,6,14,02,9,0,8,5,7,19,02,26,1,6,6,7,13,02,12
2020020432,2021-03-13,1,0,0,0,1,1,1,1,C,7243,0,807,1,0,98,2,905,0,1026,0,0,182,2,1208,0,742,0,0,179,1,921,0,1040,0,0,80,1,1120,0,869,1,0,250,2,1119,0,1023,0,0,203,1,1228,0,805,0,0,191,3,996,1,1062,0,0,99,4,1163,0,1007,0,0,246,8,1253,0,1000,0,0,149,4,1149,1,4,11,7,12,02,24,0,4,2,3,20,02,12,1,10,10,12,10,02,26,0,6,2,1,11,02,15,1,4,6,7,14,02,34,1,6,8,3,17,02,6,0,10,5,7,17,02,34,1,8,4,12,16,02,14,0,8,10,4,9,02,37,1,4,3,6,15,02,12,0,5,1,14,21,02,37,1,4,6,10,22,02,11,0,10,8,9,24,02,26,0,2,5,10,17,02,14,1,2,8,8,13,02,27,0,4,6,6,14,02,9,0,8,5,7,19,02,26,1,6,6,7,13,02,12,1,4,6,10,20,02,42,1,4,3,7,19,02,5
2020020417,2021-03-11,0,0,0,1,0,1,1,2,C,7241,0,1026,0,0,182,2,1208,0,742,0,0,179,1,921,0,1040,0,0,80,1,1120,0,869,1,0,250,2,1119,0,1023,0,0,203,1,1228,0,805,0,0,191,3,996,1,1062,0,0,99,4,1163,0,1007,0,0,246,8,1253,0,1000,0,0,149,4,1149,0,1017,1,0,160,3,1177,1,10,10,12,10,02,26,0,6,2,1,11,02,15,1,4,6,7,14,02,34,1,6,8,3,17,02,6,0,10,5,7,17,02,34,1,8,4,12,16,02,14,0,8,10,4,9,02,37,1,4,3,6,15,02,12,0,5,1,14,21,02,37,1,4,6,10,22,02,11,0,10,8,9,24,02,26,0,2,5,10,17,02,14,1,2,8,8,13,02,27,0,4,6,6,14,02,9,0,8,5,7,19,02,26,1,6,6,7,13,02,12,1,4,6,10,20,02,42,1,4,3,7,19,02,5,0,8,1,2,14,02,40,0,9,6,8,24,02,9
2020020403,2021-03-09,0,0,0,1,0,1,1,2,C,7239,0,742,0,0,179,1,921,0,1040,0,0,80,1,1120,0,869,1,0,250,2,1119,0,1023,0,0,203,1,1228,0,805,0,0,191,3,996,1,1062,0,0,99,4,1163,0,1007,0,0,246,8,1253,0,1000,0,0,149,4,1149,0,1017,1,0,160,3,1177,1,1041,0,0,210,5,1251,1,4,6,7,14,02,34,1,6,8,3,17,02,6,0,10,5,7,17,02,34,1,8,4,12,16,02,14,0,8,10,4,9,02,37,1,4,3,6,15,02,12,0,5,1,14,21,02,37,1,4,6,10,22,02,11,0,10,8,9,24,02,26,0,2,5,10,17,02,14,1,2,8,8,13,02,27,0,4,6,6,14,02,9,0,8,5,7,19,02,26,1,6,6,7,13,02,12,1,4,6,10,20,02,42,1,4,3,7,19,02,5,0,8,1,2,14,02,40,0,9,6,8,24,02,9,1,4,6,13,8,02,24,0,8,1,6,26,02,8
2020020244,2021-03-07,0,0,0,0,1,1,1,1,C,7237,0,1040,0,0,80,1,1120,0,869,1,0,250,2,1119,0,1023,0,0,203,1,1228,0,805,0,0,191,3,996,1,1062,0,0,99,4,1163,0,1007,0,0,246,8,1253,0,1000,0,0,149,4,1149,0,1017,1,0,160,3,1177,1,1041,0,0,210,5,1251,1,821,0,0,273,2,1094,0,10,5,7,17,02,34,1,8,4,12,16,02,14,0,8,10,4,9,02,37,1,4,3,6,15,02,12,0,5,1,14,21,02,37,1,4,6,10,22,02,11,0,10,8,9,24,02,26,0,2,5,10,17,02,14,1,2,8,8,13,02,27,0,4,6,6,14,02,9,0,8,5,7,19,02,26,1,6,6,7,13,02,12,1,4,6,10,20,02,42,1,4,3,7,19,02,5,0,8,1,2,14,02,40,0,9,6,8,24,02,9,1,4,6,13,8,02,24,0,8,1,6,26,02,8,1,11,9,5,17,02,21,0,0,3,18,31,02,10
2020020374,2021-03-06,1,0,0,0,1,1,1,1,C,7236,0,869,1,0,250,2,1119,0,1023,0,0,203,1,1228,0,805,0,0,191,3,996,1,1062,0,0,99,4,1163,0,1007,0,0,246,8,1253,0,1000,0,0,149,4,1149,0,1017,1,0,160,3,1177,1,1041,0,0,210,5,1251,1,821,0,0,273,2,1094,0,1019,0,0,120,0,1139,0,8,10,4,9,02,37,1,4,3,6,15,02,12,0,5,1,14,21,02,37,1,4,6,10,22,02,11,0,10,8,9,24,02,26,0,2,5,10,17,02,14,1,2,8,8,13,02,27,0,4,6,6,14,02,9,0,8,5,7,19,02,26,1,6,6,7,13,02,12,1,4,6,10,20,02,42,1,4,3,7,19,02,5,0,8,1,2,14,02,40,0,9,6,8,24,02,9,1,4,6,13,8,02,24,0,8,1,6,26,02,8,1,11,9,5,17,02,21,0,0,3,18,31,02,10,1,2,9,23,16,02,29,0,4,2,7,19,02,12
2020020180,2021-03-04,1,0,0,1,0,1,1,2,C,7234,0,1023,0,0,203,1,1228,0,805,0,0,191,3,996,1,1062,0,0,99,4,1163,0,1007,0,0,246,8,1253,0,1000,0,0,149,4,1149,0,1017,1,0,160,3,1177,1,1041,0,0,210,5,1251,1,821,0,0,273,2,1094,0,1019,0,0,120,0,1139,0,894,0,0,215,3,1121,0,5,1,14,21,02,37,1,4,6,10,22,02,11,0,10,8,9,24,02,26,0,2,5,10,17,02,14,1,2,8,8,13,02,27,0,4,6,6,14,02,9,0,8,5,7,19,02,26,1,6,6,7,13,02,12,1,4,6,10,20,02,42,1,4,3,7,19,02,5,0,8,1,2,14,02,40,0,9,6,8,24,02,9,1,4,6,13,8,02,24,0,8,1,6,26,02,8,1,11,9,5,17,02,21,0,0,3,18,31,02,10,1,2,9,23,16,02,29,0,4,2,7,19,02,12,1,9,12,18,18,02,36,0,8,4,4,28,02,24
2020020301,2021-03-02,1,0,0,0,1,1,1,1,C,7232,0,805,0,0,191,3,996,1,1062,0,0,99,4,1163,0,1007,0,0,246,8,1253,0,1000,0,0,149,4,1149,0,1017,1,0,160,3,1177,1,1041,0,0,210,5,1251,1,821,0,0,273,2,1094,0,1019,0,0,120,0,1139,0,894,0,0,215,3,1121,1,1198,0,0,222,3,1429,0,10,8,9,24,02,26,0,2,5,10,17,02,14,1,2,8,8,13,02,27,0,4,6,6,14,02,9,0,8,5,7,19,02,26,1,6,6,7,13,02,12,1,4,6,10,20,02,42,1,4,3,7,19,02,5,0,8,1,2,14,02,40,0,9,6,8,24,02,9,1,4,6,13,8,02,24,0,8,1,6,26,02,8,1,11,9,5,17,02,21,0,0,3,18,31,02,10,1,2,9,23,16,02,29,0,4,2,7,19,02,12,1,9,12,18,18,02,36,0,8,4,4,28,02,24,1,10,11,26,23,02,27,1,19,6,12,17,02,9
