game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020201,2021-03-18,0,0,0,1,0,1,1,2,L,9660,0,1070,0,0,260,5,1330,1,972,1,0,331,1,1303,0,1098,1,0,111,8,1209,0,933,1,0,131,1,1064,0,1080,1,0,94,2,1174,0,989,0,0,231,5,1220,2,886,0,0,170,3,1056,1,1190,0,2,150,2,1340,1,956,0,0,188,2,1153,0,1116,0,2,202,1,1326,1,8,2,10,20,03,38,1,11,3,11,31,03,10,0,10,2,9,23,03,33,0,10,11,19,24,03,14,0,4,5,20,35,03,22,1,8,8,22,32,03,30,0,6,8,10,23,02,34,1,8,8,17,43,03,15,0,12,6,5,31,02,33,0,10,7,7,33,03,9,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12
2020020459,2021-03-16,1,1,1,1,0,0,0,5,L,9658,1,972,1,0,331,1,1303,0,1098,1,0,111,8,1209,0,933,1,0,131,1,1064,0,1080,1,0,94,2,1174,0,989,0,0,231,5,1220,2,886,0,0,170,3,1056,1,1190,0,2,150,2,1340,1,956,0,0,188,2,1153,0,1116,0,2,202,1,1326,1,1127,0,0,274,4,1401,0,10,2,9,23,03,33,0,10,11,19,24,03,14,0,4,5,20,35,03,22,1,8,8,22,32,03,30,0,6,8,10,23,02,34,1,8,8,17,43,03,15,0,12,6,5,31,02,33,0,10,7,7,33,03,9,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13
2020020450,2021-03-15,1,0,0,0,1,1,1,1,L,9657,0,1098,1,0,111,8,1209,0,933,1,0,131,1,1064,0,1080,1,0,94,2,1174,0,989,0,0,231,5,1220,2,886,0,0,170,3,1056,1,1190,0,2,150,2,1340,1,956,0,0,188,2,1153,0,1116,0,2,202,1,1326,1,1127,0,0,274,4,1401,0,720,1,0,400,2,1120,0,4,5,20,35,03,22,1,8,8,22,32,03,30,0,6,8,10,23,02,34,1,8,8,17,43,03,15,0,12,6,5,31,02,33,0,10,7,7,33,03,9,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34
2020020431,2021-03-13,0,1,1,1,0,0,0,8,L,9655,0,933,1,0,131,1,1064,0,1080,1,0,94,2,1174,0,989,0,0,231,5,1220,2,886,0,0,170,3,1056,1,1190,0,2,150,2,1340,1,956,0,0,188,2,1153,0,1116,0,2,202,1,1326,1,1127,0,0,274,4,1401,0,720,1,0,400,2,1120,1,1053,1,2,162,6,1215,0,6,8,10,23,02,34,1,8,8,17,43,03,15,0,12,6,5,31,02,33,0,10,7,7,33,03,9,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7
2020020416,2021-03-11,0,0,0,0,1,1,1,1,L,9653,0,1080,1,0,94,2,1174,0,989,0,0,231,5,1220,2,886,0,0,170,3,1056,1,1190,0,2,150,2,1340,1,956,0,0,188,2,1153,0,1116,0,2,202,1,1326,1,1127,0,0,274,4,1401,0,720,1,0,400,2,1120,1,1053,1,2,162,6,1215,1,1169,0,0,12,1,1181,0,12,6,5,31,02,33,0,10,7,7,33,03,9,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10
2020020405,2021-03-09,1,0,0,1,0,1,1,2,L,9651,0,989,0,0,231,5,1220,2,886,0,0,170,3,1056,1,1190,0,2,150,2,1340,1,956,0,0,188,2,1153,0,1116,0,2,202,1,1326,1,1127,0,0,274,4,1401,0,720,1,0,400,2,1120,1,1053,1,2,162,6,1215,1,1169,0,0,12,1,1181,0,977,0,0,273,2,1250,1,8,8,6,33,02,27,0,2,3,11,36,03,15,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10,0,2,4,7,29,02,35,0,12,2,10,26,02,12
2020020393,2021-03-07,1,1,1,1,0,0,0,5,L,9649,2,886,0,0,170,3,1056,1,1190,0,2,150,2,1340,1,956,0,0,188,2,1153,0,1116,0,2,202,1,1326,1,1127,0,0,274,4,1401,0,720,1,0,400,2,1120,1,1053,1,2,162,6,1215,1,1169,0,0,12,1,1181,0,977,0,0,273,2,1250,0,1035,0,2,217,1,1291,1,4,2,4,37,02,30,1,6,7,10,27,03,17,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10,0,2,4,7,29,02,35,0,12,2,10,26,02,12,1,8,9,9,26,02,38,1,10,8,5,24,02,9
2020020668,2021-03-06,1,0,1,1,0,0,1,3,L,9648,1,1190,0,2,150,2,1340,1,956,0,0,188,2,1153,0,1116,0,2,202,1,1326,1,1127,0,0,274,4,1401,0,720,1,0,400,2,1120,1,1053,1,2,162,6,1215,1,1169,0,0,12,1,1181,0,977,0,0,273,2,1250,0,1035,0,2,217,1,1291,2,970,1,0,124,4,1094,1,8,10,11,30,02,28,0,8,15,10,37,03,20,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10,0,2,4,7,29,02,35,0,12,2,10,26,02,12,1,8,9,9,26,02,38,1,10,8,5,24,02,9,1,10,5,2,31,02,27,1,4,9,4,26,02,14
2020020366,2021-03-04,1,0,0,1,0,1,1,2,L,9646,1,956,0,0,188,2,1153,0,1116,0,2,202,1,1326,1,1127,0,0,274,4,1401,0,720,1,0,400,2,1120,1,1053,1,2,162,6,1215,1,1169,0,0,12,1,1181,0,977,0,0,273,2,1250,0,1035,0,2,217,1,1291,2,970,1,0,124,4,1094,1,1268,0,0,52,0,1320,1,4,9,10,33,02,19,0,6,5,10,47,03,27,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10,0,2,4,7,29,02,35,0,12,2,10,26,02,12,1,8,9,9,26,02,38,1,10,8,5,24,02,9,1,10,5,2,31,02,27,1,4,9,4,26,02,14,1,21,18,11,24,02,37,0,2,8,9,15,02,10
2020020355,2021-03-02,1,0,0,1,0,1,1,2,L,9644,0,1116,0,2,202,1,1326,1,1127,0,0,274,4,1401,0,720,1,0,400,2,1120,1,1053,1,2,162,6,1215,1,1169,0,0,12,1,1181,0,977,0,0,273,2,1250,0,1035,0,2,217,1,1291,2,970,1,0,124,4,1094,1,1268,0,0,52,0,1320,1,1353,1,0,0,3,1353,0,6,6,14,29,02,30,1,39,4,7,50,03,12,0,4,8,14,26,02,17,1,16,4,10,38,03,13,0,10,4,11,22,02,38,0,8,4,21,53,03,34,0,13,5,8,25,02,26,0,10,3,6,13,02,7,0,4,3,9,29,02,31,0,13,5,6,15,02,10,0,2,4,7,29,02,35,0,12,2,10,26,02,12,1,8,9,9,26,02,38,1,10,8,5,24,02,9,1,10,5,2,31,02,27,1,4,9,4,26,02,14,1,21,18,11,24,02,37,0,2,8,9,15,02,10,1,2,19,10,30,02,18,0,13,8,2,27,02,8
