game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020469,2021-03-18,1,0,0,0,1,1,1,1,C,8697,0,824,0,2,75,1,899,0,1111,0,0,385,2,1496,1,934,0,0,231,1,1165,0,909,0,0,265,1,1174,1,1140,0,0,163,5,1303,0,921,0,0,108,2,1029,1,1144,1,0,0,5,1144,1,907,0,0,103,4,1010,1,1025,0,0,74,1,1104,0,890,0,0,279,2,1169,1,8,7,8,30,03,34,0,14,7,15,42,03,10,0,10,7,10,28,03,22,1,10,7,12,31,03,21,0,10,8,15,40,03,38,0,11,5,7,19,02,11,0,23,8,17,39,03,27,0,10,1,5,27,02,7,0,8,7,11,38,03,32,0,10,4,9,46,02,9,1,4,9,12,31,03,34,0,6,2,4,54,02,15,1,12,6,11,40,03,26,1,6,5,7,24,02,11,0,4,8,13,46,03,17,1,10,3,6,16,02,16,0,4,8,11,34,03,29,1,8,11,9,38,02,26,0,4,4,10,39,03,34,1,13,9,11,17,02,19
2020020458,2021-03-16,0,0,0,0,1,1,1,1,C,8695,0,1111,0,0,385,2,1496,1,934,0,0,231,1,1165,0,909,0,0,265,1,1174,1,1140,0,0,163,5,1303,0,921,0,0,108,2,1029,1,1144,1,0,0,5,1144,1,907,0,0,103,4,1010,1,1025,0,0,74,1,1104,0,890,0,0,279,2,1169,0,1124,1,4,0,4,1124,0,10,7,10,28,03,22,1,10,7,12,31,03,21,0,10,8,15,40,03,38,0,11,5,7,19,02,11,0,23,8,17,39,03,27,0,10,1,5,27,02,7,0,8,7,11,38,03,32,0,10,4,9,46,02,9,1,4,9,12,31,03,34,0,6,2,4,54,02,15,1,12,6,11,40,03,26,1,6,5,7,24,02,11,0,4,8,13,46,03,17,1,10,3,6,16,02,16,0,4,8,11,34,03,29,1,8,11,9,38,02,26,0,4,4,10,39,03,34,1,13,9,11,17,02,19,1,2,4,13,36,03,29,0,13,7,6,17,02,9
2020020767,2021-03-14,0,0,0,1,0,1,1,2,C,8693,1,934,0,0,231,1,1165,0,909,0,0,265,1,1174,1,1140,0,0,163,5,1303,0,921,0,0,108,2,1029,1,1144,1,0,0,5,1144,1,907,0,0,103,4,1010,1,1025,0,0,74,1,1104,0,890,0,0,279,2,1169,0,1124,1,4,0,4,1124,1,965,1,0,79,1,1048,0,10,8,15,40,03,38,0,11,5,7,19,02,11,0,23,8,17,39,03,27,0,10,1,5,27,02,7,0,8,7,11,38,03,32,0,10,4,9,46,02,9,1,4,9,12,31,03,34,0,6,2,4,54,02,15,1,12,6,11,40,03,26,1,6,5,7,24,02,11,0,4,8,13,46,03,17,1,10,3,6,16,02,16,0,4,8,11,34,03,29,1,8,11,9,38,02,26,0,4,4,10,39,03,34,1,13,9,11,17,02,19,1,2,4,13,36,03,29,0,13,7,6,17,02,9,1,4,7,12,35,03,33,1,8,7,9,21,02,13
2020020432,2021-03-13,0,0,0,0,1,1,1,1,C,8692,0,909,0,0,265,1,1174,1,1140,0,0,163,5,1303,0,921,0,0,108,2,1029,1,1144,1,0,0,5,1144,1,907,0,0,103,4,1010,1,1025,0,0,74,1,1104,0,890,0,0,279,2,1169,0,1124,1,4,0,4,1124,1,965,1,0,79,1,1048,0,925,0,2,160,1,1085,0,23,8,17,39,03,27,0,10,1,5,27,02,7,0,8,7,11,38,03,32,0,10,4,9,46,02,9,1,4,9,12,31,03,34,0,6,2,4,54,02,15,1,12,6,11,40,03,26,1,6,5,7,24,02,11,0,4,8,13,46,03,17,1,10,3,6,16,02,16,0,4,8,11,34,03,29,1,8,11,9,38,02,26,0,4,4,10,39,03,34,1,13,9,11,17,02,19,1,2,4,13,36,03,29,0,13,7,6,17,02,9,1,4,7,12,35,03,33,1,8,7,9,21,02,13,0,4,4,10,56,03,32,0,4,4,2,30,02,8
2020020417,2021-03-11,1,0,0,0,1,1,1,1,C,8690,1,1140,0,0,163,5,1303,0,921,0,0,108,2,1029,1,1144,1,0,0,5,1144,1,907,0,0,103,4,1010,1,1025,0,0,74,1,1104,0,890,0,0,279,2,1169,0,1124,1,4,0,4,1124,1,965,1,0,79,1,1048,0,925,0,2,160,1,1085,0,1237,0,0,56,7,1293,0,8,7,11,38,03,32,0,10,4,9,46,02,9,1,4,9,12,31,03,34,0,6,2,4,54,02,15,1,12,6,11,40,03,26,1,6,5,7,24,02,11,0,4,8,13,46,03,17,1,10,3,6,16,02,16,0,4,8,11,34,03,29,1,8,11,9,38,02,26,0,4,4,10,39,03,34,1,13,9,11,17,02,19,1,2,4,13,36,03,29,0,13,7,6,17,02,9,1,4,7,12,35,03,33,1,8,7,9,21,02,13,0,4,4,10,56,03,32,0,4,4,2,30,02,8,1,8,10,16,73,03,53,0,6,4,5,26,02,10
2020020401,2021-03-09,1,1,1,1,0,0,0,5,C,8688,0,921,0,0,108,2,1029,1,1144,1,0,0,5,1144,1,907,0,0,103,4,1010,1,1025,0,0,74,1,1104,0,890,0,0,279,2,1169,0,1124,1,4,0,4,1124,1,965,1,0,79,1,1048,0,925,0,2,160,1,1085,0,1237,0,0,56,7,1293,0,1065,0,0,148,5,1213,1,4,9,12,31,03,34,0,6,2,4,54,02,15,1,12,6,11,40,03,26,1,6,5,7,24,02,11,0,4,8,13,46,03,17,1,10,3,6,16,02,16,0,4,8,11,34,03,29,1,8,11,9,38,02,26,0,4,4,10,39,03,34,1,13,9,11,17,02,19,1,2,4,13,36,03,29,0,13,7,6,17,02,9,1,4,7,12,35,03,33,1,8,7,9,21,02,13,0,4,4,10,56,03,32,0,4,4,2,30,02,8,1,8,10,16,73,03,53,0,6,4,5,26,02,10,0,9,3,10,37,03,26,1,4,8,11,22,02,7
2020020391,2021-03-07,1,0,0,1,0,1,1,2,C,8686,1,1144,1,0,0,5,1144,1,907,0,0,103,4,1010,1,1025,0,0,74,1,1104,0,890,0,0,279,2,1169,0,1124,1,4,0,4,1124,1,965,1,0,79,1,1048,0,925,0,2,160,1,1085,0,1237,0,0,56,7,1293,0,1065,0,0,148,5,1213,0,913,0,0,113,2,1026,1,12,6,11,40,03,26,1,6,5,7,24,02,11,0,4,8,13,46,03,17,1,10,3,6,16,02,16,0,4,8,11,34,03,29,1,8,11,9,38,02,26,0,4,4,10,39,03,34,1,13,9,11,17,02,19,1,2,4,13,36,03,29,0,13,7,6,17,02,9,1,4,7,12,35,03,33,1,8,7,9,21,02,13,0,4,4,10,56,03,32,0,4,4,2,30,02,8,1,8,10,16,73,03,53,0,6,4,5,26,02,10,0,9,3,10,37,03,26,1,4,8,11,22,02,7,0,24,8,18,44,03,24,1,10,9,5,19,02,13
2020020375,2021-03-06,1,1,1,1,0,0,0,5,C,8685,1,907,0,0,103,4,1010,1,1025,0,0,74,1,1104,0,890,0,0,279,2,1169,0,1124,1,4,0,4,1124,1,965,1,0,79,1,1048,0,925,0,2,160,1,1085,0,1237,0,0,56,7,1293,0,1065,0,0,148,5,1213,0,913,0,0,113,2,1026,1,1024,0,0,134,1,1158,0,4,8,13,46,03,17,1,10,3,6,16,02,16,0,4,8,11,34,03,29,1,8,11,9,38,02,26,0,4,4,10,39,03,34,1,13,9,11,17,02,19,1,2,4,13,36,03,29,0,13,7,6,17,02,9,1,4,7,12,35,03,33,1,8,7,9,21,02,13,0,4,4,10,56,03,32,0,4,4,2,30,02,8,1,8,10,16,73,03,53,0,6,4,5,26,02,10,0,9,3,10,37,03,26,1,4,8,11,22,02,7,0,24,8,18,44,03,24,1,10,9,5,19,02,13,0,13,5,23,53,03,28,1,6,5,6,12,02,15
2020020163,2021-03-04,1,1,1,1,0,0,0,4,C,8683,1,1025,0,0,74,1,1104,0,890,0,0,279,2,1169,0,1124,1,4,0,4,1124,1,965,1,0,79,1,1048,0,925,0,2,160,1,1085,0,1237,0,0,56,7,1293,0,1065,0,0,148,5,1213,0,913,0,0,113,2,1026,1,1024,0,0,134,1,1158,0,857,1,0,81,1,938,0,4,8,11,34,03,29,1,8,11,9,38,02,26,0,4,4,10,39,03,34,1,13,9,11,17,02,19,1,2,4,13,36,03,29,0,13,7,6,17,02,9,1,4,7,12,35,03,33,1,8,7,9,21,02,13,0,4,4,10,56,03,32,0,4,4,2,30,02,8,1,8,10,16,73,03,53,0,6,4,5,26,02,10,0,9,3,10,37,03,26,1,4,8,11,22,02,7,0,24,8,18,44,03,24,1,10,9,5,19,02,13,0,13,5,23,53,03,28,1,6,5,6,12,02,15,1,29,6,19,44,03,35,1,4,10,9,31,02,16
2020020301,2021-03-02,0,0,0,0,1,1,1,1,C,8681,0,890,0,0,279,2,1169,0,1124,1,4,0,4,1124,1,965,1,0,79,1,1048,0,925,0,2,160,1,1085,0,1237,0,0,56,7,1293,0,1065,0,0,148,5,1213,0,913,0,0,113,2,1026,1,1024,0,0,134,1,1158,0,857,1,0,81,1,938,0,1180,1,0,65,4,1245,0,4,4,10,39,03,34,1,13,9,11,17,02,19,1,2,4,13,36,03,29,0,13,7,6,17,02,9,1,4,7,12,35,03,33,1,8,7,9,21,02,13,0,4,4,10,56,03,32,0,4,4,2,30,02,8,1,8,10,16,73,03,53,0,6,4,5,26,02,10,0,9,3,10,37,03,26,1,4,8,11,22,02,7,0,24,8,18,44,03,24,1,10,9,5,19,02,13,0,13,5,23,53,03,28,1,6,5,6,12,02,15,1,29,6,19,44,03,35,1,4,10,9,31,02,16,1,8,5,17,48,03,27,1,8,8,6,24,02,6
