game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020469,2021-03-18,0,1,1,1,0,0,0,4,C,12119,0,779,0,0,88,0,915,1,900,1,0,238,2,1150,0,880,1,0,124,3,1004,0,866,0,2,49,2,931,0,979,1,0,198,3,1184,0,931,0,0,165,2,1112,0,633,0,0,255,3,964,1,752,2,0,70,4,848,0,743,0,2,247,1,1009,0,865,0,0,169,1,1041,1,10,10,17,23,03,21,0,22,7,16,37,03,11,0,6,5,12,26,03,30,1,6,10,11,39,03,18,1,6,11,14,27,03,31,1,18,7,5,24,02,11,1,26,3,9,36,03,30,1,8,13,15,22,02,6,0,6,5,5,36,03,20,1,4,6,19,25,02,10,0,4,4,6,26,03,22,0,4,7,4,40,02,10,1,34,2,6,28,03,29,0,0,7,4,32,02,14,0,4,2,9,25,03,17,0,8,5,1,24,02,8,1,4,3,15,29,03,29,0,10,5,3,16,02,12,1,6,3,12,31,03,31,1,8,6,19,25,02,13
2020020462,2021-03-17,0,0,0,0,1,1,1,0,C,12118,1,900,1,0,238,2,1150,0,880,1,0,124,3,1004,0,866,0,2,49,2,931,0,979,1,0,198,3,1184,0,931,0,0,165,2,1112,0,633,0,0,255,3,964,1,752,2,0,70,4,848,0,743,0,2,247,1,1009,0,865,0,0,169,1,1041,0,813,0,0,177,4,1090,0,6,5,12,26,03,30,1,6,10,11,39,03,18,1,6,11,14,27,03,31,1,18,7,5,24,02,11,1,26,3,9,36,03,30,1,8,13,15,22,02,6,0,6,5,5,36,03,20,1,4,6,19,25,02,10,0,4,4,6,26,03,22,0,4,7,4,40,02,10,1,34,2,6,28,03,29,0,0,7,4,32,02,14,0,4,2,9,25,03,17,0,8,5,1,24,02,8,1,4,3,15,29,03,29,0,10,5,3,16,02,12,1,6,3,12,31,03,31,1,8,6,19,25,02,13,0,4,5,9,33,03,27,1,17,7,8,26,02,20
2020020446,2021-03-15,0,0,0,1,0,1,1,2,C,12116,0,880,1,0,124,3,1004,0,866,0,2,49,2,931,0,979,1,0,198,3,1184,0,931,0,0,165,2,1112,0,633,0,0,255,3,964,1,752,2,0,70,4,848,0,743,0,2,247,1,1009,0,865,0,0,169,1,1041,0,813,0,0,177,4,1090,3,833,0,0,319,8,1254,1,6,11,14,27,03,31,1,18,7,5,24,02,11,1,26,3,9,36,03,30,1,8,13,15,22,02,6,0,6,5,5,36,03,20,1,4,6,19,25,02,10,0,4,4,6,26,03,22,0,4,7,4,40,02,10,1,34,2,6,28,03,29,0,0,7,4,32,02,14,0,4,2,9,25,03,17,0,8,5,1,24,02,8,1,4,3,15,29,03,29,0,10,5,3,16,02,12,1,6,3,12,31,03,31,1,8,6,19,25,02,13,0,4,5,9,33,03,27,1,17,7,8,26,02,20,0,4,4,9,39,03,38,1,17,12,10,20,02,18
2020020433,2021-03-13,1,0,1,1,0,0,1,3,C,12114,0,866,0,2,49,2,931,0,979,1,0,198,3,1184,0,931,0,0,165,2,1112,0,633,0,0,255,3,964,1,752,2,0,70,4,848,0,743,0,2,247,1,1009,0,865,0,0,169,1,1041,0,813,0,0,177,4,1090,3,833,0,0,319,8,1254,0,701,0,0,270,0,983,1,26,3,9,36,03,30,1,8,13,15,22,02,6,0,6,5,5,36,03,20,1,4,6,19,25,02,10,0,4,4,6,26,03,22,0,4,7,4,40,02,10,1,34,2,6,28,03,29,0,0,7,4,32,02,14,0,4,2,9,25,03,17,0,8,5,1,24,02,8,1,4,3,15,29,03,29,0,10,5,3,16,02,12,1,6,3,12,31,03,31,1,8,6,19,25,02,13,0,4,5,9,33,03,27,1,17,7,8,26,02,20,0,4,4,9,39,03,38,1,17,12,10,20,02,18,1,8,6,19,53,03,32,1,2,11,12,25,02,19
2020020418,2021-03-11,1,0,0,1,0,1,1,2,C,12112,0,979,1,0,198,3,1184,0,931,0,0,165,2,1112,0,633,0,0,255,3,964,1,752,2,0,70,4,848,0,743,0,2,247,1,1009,0,865,0,0,169,1,1041,0,813,0,0,177,4,1090,3,833,0,0,319,8,1254,0,701,0,0,270,0,983,1,995,0,0,300,2,1334,0,6,5,5,36,03,20,1,4,6,19,25,02,10,0,4,4,6,26,03,22,0,4,7,4,40,02,10,1,34,2,6,28,03,29,0,0,7,4,32,02,14,0,4,2,9,25,03,17,0,8,5,1,24,02,8,1,4,3,15,29,03,29,0,10,5,3,16,02,12,1,6,3,12,31,03,31,1,8,6,19,25,02,13,0,4,5,9,33,03,27,1,17,7,8,26,02,20,0,4,4,9,39,03,38,1,17,12,10,20,02,18,1,8,6,19,53,03,32,1,2,11,12,25,02,19,0,12,6,30,64,03,31,1,11,7,15,29,02,17
2020020402,2021-03-09,1,0,1,1,0,0,1,3,C,12110,0,931,0,0,165,2,1112,0,633,0,0,255,3,964,1,752,2,0,70,4,848,0,743,0,2,247,1,1009,0,865,0,0,169,1,1041,0,813,0,0,177,4,1090,3,833,0,0,319,8,1254,0,701,0,0,270,0,983,1,995,0,0,300,2,1334,0,863,0,0,115,3,1010,0,4,4,6,26,03,22,0,4,7,4,40,02,10,1,34,2,6,28,03,29,0,0,7,4,32,02,14,0,4,2,9,25,03,17,0,8,5,1,24,02,8,1,4,3,15,29,03,29,0,10,5,3,16,02,12,1,6,3,12,31,03,31,1,8,6,19,25,02,13,0,4,5,9,33,03,27,1,17,7,8,26,02,20,0,4,4,9,39,03,38,1,17,12,10,20,02,18,1,8,6,19,53,03,32,1,2,11,12,25,02,19,0,12,6,30,64,03,31,1,11,7,15,29,02,17,1,13,3,18,41,03,16,1,22,16,9,31,02,12
2020020769,2021-03-07,1,0,0,1,0,1,1,2,C,12108,0,633,0,0,255,3,964,1,752,2,0,70,4,848,0,743,0,2,247,1,1009,0,865,0,0,169,1,1041,0,813,0,0,177,4,1090,3,833,0,0,319,8,1254,0,701,0,0,270,0,983,1,995,0,0,300,2,1334,0,863,0,0,115,3,1010,1,809,0,0,200,2,1111,1,34,2,6,28,03,29,0,0,7,4,32,02,14,0,4,2,9,25,03,17,0,8,5,1,24,02,8,1,4,3,15,29,03,29,0,10,5,3,16,02,12,1,6,3,12,31,03,31,1,8,6,19,25,02,13,0,4,5,9,33,03,27,1,17,7,8,26,02,20,0,4,4,9,39,03,38,1,17,12,10,20,02,18,1,8,6,19,53,03,32,1,2,11,12,25,02,19,0,12,6,30,64,03,31,1,11,7,15,29,02,17,1,13,3,18,41,03,16,1,22,16,9,31,02,12,1,6,6,10,31,02,27,1,9,7,10,30,02,16
2020020668,2021-03-06,0,0,1,1,0,0,1,3,C,12107,1,752,2,0,70,4,848,0,743,0,2,247,1,1009,0,865,0,0,169,1,1041,0,813,0,0,177,4,1090,3,833,0,0,319,8,1254,0,701,0,0,270,0,983,1,995,0,0,300,2,1334,0,863,0,0,115,3,1010,1,809,0,0,200,2,1111,1,1104,0,2,54,0,1202,0,4,2,9,25,03,17,0,8,5,1,24,02,8,1,4,3,15,29,03,29,0,10,5,3,16,02,12,1,6,3,12,31,03,31,1,8,6,19,25,02,13,0,4,5,9,33,03,27,1,17,7,8,26,02,20,0,4,4,9,39,03,38,1,17,12,10,20,02,18,1,8,6,19,53,03,32,1,2,11,12,25,02,19,0,12,6,30,64,03,31,1,11,7,15,29,02,17,1,13,3,18,41,03,16,1,22,16,9,31,02,12,1,6,6,10,31,02,27,1,9,7,10,30,02,16,1,10,4,8,25,02,20,0,8,6,2,12,02,12
2020020366,2021-03-04,0,1,1,1,0,0,0,4,C,12105,0,743,0,2,247,1,1009,0,865,0,0,169,1,1041,0,813,0,0,177,4,1090,3,833,0,0,319,8,1254,0,701,0,0,270,0,983,1,995,0,0,300,2,1334,0,863,0,0,115,3,1010,1,809,0,0,200,2,1111,1,1104,0,2,54,0,1202,0,1023,1,0,127,1,1211,1,4,3,15,29,03,29,0,10,5,3,16,02,12,1,6,3,12,31,03,31,1,8,6,19,25,02,13,0,4,5,9,33,03,27,1,17,7,8,26,02,20,0,4,4,9,39,03,38,1,17,12,10,20,02,18,1,8,6,19,53,03,32,1,2,11,12,25,02,19,0,12,6,30,64,03,31,1,11,7,15,29,02,17,1,13,3,18,41,03,16,1,22,16,9,31,02,12,1,6,6,10,31,02,27,1,9,7,10,30,02,16,1,10,4,8,25,02,20,0,8,6,2,12,02,12,1,8,2,11,24,02,22,1,8,6,4,32,02,14
2020020355,2021-03-02,0,0,0,0,1,1,1,1,C,12103,0,865,0,0,169,1,1041,0,813,0,0,177,4,1090,3,833,0,0,319,8,1254,0,701,0,0,270,0,983,1,995,0,0,300,2,1334,0,863,0,0,115,3,1010,1,809,0,0,200,2,1111,1,1104,0,2,54,0,1202,0,1023,1,0,127,1,1211,3,914,0,2,332,3,1246,1,6,3,12,31,03,31,1,8,6,19,25,02,13,0,4,5,9,33,03,27,1,17,7,8,26,02,20,0,4,4,9,39,03,38,1,17,12,10,20,02,18,1,8,6,19,53,03,32,1,2,11,12,25,02,19,0,12,6,30,64,03,31,1,11,7,15,29,02,17,1,13,3,18,41,03,16,1,22,16,9,31,02,12,1,6,6,10,31,02,27,1,9,7,10,30,02,16,1,10,4,8,25,02,20,0,8,6,2,12,02,12,1,8,2,11,24,02,22,1,8,6,4,32,02,14,1,6,7,12,37,02,30,1,21,2,9,37,02,12
