game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020475,2021-03-18,1,1,1,1,0,0,0,5,L,10342,1,942,0,0,217,2,1159,1,923,0,0,81,0,1004,0,998,0,0,129,3,1135,0,968,1,2,409,7,1377,0,1020,0,2,254,2,1274,1,957,0,0,198,2,1155,0,1034,0,0,206,3,1240,3,928,1,0,346,4,1274,0,1023,1,0,303,2,1333,0,900,1,0,201,3,1101,0,4,3,9,22,03,40,0,2,4,3,23,02,17,1,10,2,7,18,03,35,1,12,4,5,26,02,15,1,6,5,13,22,03,40,1,8,6,11,21,02,19,1,8,4,16,28,03,28,0,6,4,3,23,02,15,0,6,3,17,28,03,51,0,12,4,10,18,02,17,0,10,3,16,26,03,30,1,11,4,16,26,02,10,1,4,7,18,22,03,36,1,4,5,16,31,02,23,1,6,11,17,41,03,31,0,7,2,2,20,02,8,1,8,3,12,29,03,40,1,6,3,13,17,02,21,0,10,8,12,72,03,32,1,6,5,12,31,02,5
2020020568,2021-03-16,1,0,0,1,0,1,1,2,L,10340,1,923,0,0,81,0,1004,0,998,0,0,129,3,1135,0,968,1,2,409,7,1377,0,1020,0,2,254,2,1274,1,957,0,0,198,2,1155,0,1034,0,0,206,3,1240,3,928,1,0,346,4,1274,0,1023,1,0,303,2,1333,0,900,1,0,201,3,1101,0,833,0,2,206,2,1039,1,10,2,7,18,03,35,1,12,4,5,26,02,15,1,6,5,13,22,03,40,1,8,6,11,21,02,19,1,8,4,16,28,03,28,0,6,4,3,23,02,15,0,6,3,17,28,03,51,0,12,4,10,18,02,17,0,10,3,16,26,03,30,1,11,4,16,26,02,10,1,4,7,18,22,03,36,1,4,5,16,31,02,23,1,6,11,17,41,03,31,0,7,2,2,20,02,8,1,8,3,12,29,03,40,1,6,3,13,17,02,21,0,10,8,12,72,03,32,1,6,5,12,31,02,5,0,14,7,12,36,03,37,0,7,15,2,17,02,11
2020020445,2021-03-14,1,0,0,0,1,1,1,0,L,10338,0,998,0,0,129,3,1135,0,968,1,2,409,7,1377,0,1020,0,2,254,2,1274,1,957,0,0,198,2,1155,0,1034,0,0,206,3,1240,3,928,1,0,346,4,1274,0,1023,1,0,303,2,1333,0,900,1,0,201,3,1101,0,833,0,2,206,2,1039,0,1060,0,0,260,4,1320,1,6,5,13,22,03,40,1,8,6,11,21,02,19,1,8,4,16,28,03,28,0,6,4,3,23,02,15,0,6,3,17,28,03,51,0,12,4,10,18,02,17,0,10,3,16,26,03,30,1,11,4,16,26,02,10,1,4,7,18,22,03,36,1,4,5,16,31,02,23,1,6,11,17,41,03,31,0,7,2,2,20,02,8,1,8,3,12,29,03,40,1,6,3,13,17,02,21,0,10,8,12,72,03,32,1,6,5,12,31,02,5,0,14,7,12,36,03,37,0,7,15,2,17,02,11,1,18,1,21,31,03,41,0,4,11,3,39,02,25
2020020428,2021-03-12,1,0,1,1,0,0,1,3,L,10336,0,968,1,2,409,7,1377,0,1020,0,2,254,2,1274,1,957,0,0,198,2,1155,0,1034,0,0,206,3,1240,3,928,1,0,346,4,1274,0,1023,1,0,303,2,1333,0,900,1,0,201,3,1101,0,833,0,2,206,2,1039,0,1060,0,0,260,4,1320,0,932,0,0,104,4,1049,1,8,4,16,28,03,28,0,6,4,3,23,02,15,0,6,3,17,28,03,51,0,12,4,10,18,02,17,0,10,3,16,26,03,30,1,11,4,16,26,02,10,1,4,7,18,22,03,36,1,4,5,16,31,02,23,1,6,11,17,41,03,31,0,7,2,2,20,02,8,1,8,3,12,29,03,40,1,6,3,13,17,02,21,0,10,8,12,72,03,32,1,6,5,12,31,02,5,0,14,7,12,36,03,37,0,7,15,2,17,02,11,1,18,1,21,31,03,41,0,4,11,3,39,02,25,0,12,6,15,28,03,24,0,4,5,7,15,02,13
2020020413,2021-03-10,1,1,1,1,0,0,0,7,L,10334,0,1020,0,2,254,2,1274,1,957,0,0,198,2,1155,0,1034,0,0,206,3,1240,3,928,1,0,346,4,1274,0,1023,1,0,303,2,1333,0,900,1,0,201,3,1101,0,833,0,2,206,2,1039,0,1060,0,0,260,4,1320,0,932,0,0,104,4,1049,0,798,0,0,343,2,1141,0,6,3,17,28,03,51,0,12,4,10,18,02,17,0,10,3,16,26,03,30,1,11,4,16,26,02,10,1,4,7,18,22,03,36,1,4,5,16,31,02,23,1,6,11,17,41,03,31,0,7,2,2,20,02,8,1,8,3,12,29,03,40,1,6,3,13,17,02,21,0,10,8,12,72,03,32,1,6,5,12,31,02,5,0,14,7,12,36,03,37,0,7,15,2,17,02,11,1,18,1,21,31,03,41,0,4,11,3,39,02,25,0,12,6,15,28,03,24,0,4,5,7,15,02,13,1,4,8,21,32,03,44,1,12,6,9,19,02,11
2020020399,2021-03-08,1,0,0,1,0,1,1,2,L,10332,1,957,0,0,198,2,1155,0,1034,0,0,206,3,1240,3,928,1,0,346,4,1274,0,1023,1,0,303,2,1333,0,900,1,0,201,3,1101,0,833,0,2,206,2,1039,0,1060,0,0,260,4,1320,0,932,0,0,104,4,1049,0,798,0,0,343,2,1141,0,1047,0,0,269,1,1316,0,10,3,16,26,03,30,1,11,4,16,26,02,10,1,4,7,18,22,03,36,1,4,5,16,31,02,23,1,6,11,17,41,03,31,0,7,2,2,20,02,8,1,8,3,12,29,03,40,1,6,3,13,17,02,21,0,10,8,12,72,03,32,1,6,5,12,31,02,5,0,14,7,12,36,03,37,0,7,15,2,17,02,11,1,18,1,21,31,03,41,0,4,11,3,39,02,25,0,12,6,15,28,03,24,0,4,5,7,15,02,13,1,4,8,21,32,03,44,1,12,6,9,19,02,11,1,4,6,7,21,02,27,1,6,4,11,26,02,10
2020020386,2021-03-06,1,0,0,1,0,1,1,2,L,10330,0,1034,0,0,206,3,1240,3,928,1,0,346,4,1274,0,1023,1,0,303,2,1333,0,900,1,0,201,3,1101,0,833,0,2,206,2,1039,0,1060,0,0,260,4,1320,0,932,0,0,104,4,1049,0,798,0,0,343,2,1141,0,1047,0,0,269,1,1316,1,1004,0,0,290,1,1294,1,4,7,18,22,03,36,1,4,5,16,31,02,23,1,6,11,17,41,03,31,0,7,2,2,20,02,8,1,8,3,12,29,03,40,1,6,3,13,17,02,21,0,10,8,12,72,03,32,1,6,5,12,31,02,5,0,14,7,12,36,03,37,0,7,15,2,17,02,11,1,18,1,21,31,03,41,0,4,11,3,39,02,25,0,12,6,15,28,03,24,0,4,5,7,15,02,13,1,4,8,21,32,03,44,1,12,6,9,19,02,11,1,4,6,7,21,02,27,1,6,4,11,26,02,10,1,10,16,2,21,02,38,0,22,4,10,25,02,11
2020020377,2021-03-05,1,0,1,1,0,0,1,3,L,10329,3,928,1,0,346,4,1274,0,1023,1,0,303,2,1333,0,900,1,0,201,3,1101,0,833,0,2,206,2,1039,0,1060,0,0,260,4,1320,0,932,0,0,104,4,1049,0,798,0,0,343,2,1141,0,1047,0,0,269,1,1316,1,1004,0,0,290,1,1294,1,855,0,2,412,3,1267,1,6,11,17,41,03,31,0,7,2,2,20,02,8,1,8,3,12,29,03,40,1,6,3,13,17,02,21,0,10,8,12,72,03,32,1,6,5,12,31,02,5,0,14,7,12,36,03,37,0,7,15,2,17,02,11,1,18,1,21,31,03,41,0,4,11,3,39,02,25,0,12,6,15,28,03,24,0,4,5,7,15,02,13,1,4,8,21,32,03,44,1,12,6,9,19,02,11,1,4,6,7,21,02,27,1,6,4,11,26,02,10,1,10,16,2,21,02,38,0,22,4,10,25,02,11,0,6,2,4,12,02,24,0,6,2,5,33,02,16
2020020363,2021-03-03,0,1,1,1,0,0,0,4,L,10327,0,1023,1,0,303,2,1333,0,900,1,0,201,3,1101,0,833,0,2,206,2,1039,0,1060,0,0,260,4,1320,0,932,0,0,104,4,1049,0,798,0,0,343,2,1141,0,1047,0,0,269,1,1316,1,1004,0,0,290,1,1294,1,855,0,2,412,3,1267,0,1018,0,2,222,4,1240,1,8,3,12,29,03,40,1,6,3,13,17,02,21,0,10,8,12,72,03,32,1,6,5,12,31,02,5,0,14,7,12,36,03,37,0,7,15,2,17,02,11,1,18,1,21,31,03,41,0,4,11,3,39,02,25,0,12,6,15,28,03,24,0,4,5,7,15,02,13,1,4,8,21,32,03,44,1,12,6,9,19,02,11,1,4,6,7,21,02,27,1,6,4,11,26,02,10,1,10,16,2,21,02,38,0,22,4,10,25,02,11,0,6,2,4,12,02,24,0,6,2,5,33,02,16,0,10,0,5,14,02,26,1,6,6,10,32,02,23
2020020353,2021-03-01,0,0,0,1,0,1,1,2,L,10325,0,900,1,0,201,3,1101,0,833,0,2,206,2,1039,0,1060,0,0,260,4,1320,0,932,0,0,104,4,1049,0,798,0,0,343,2,1141,0,1047,0,0,269,1,1316,1,1004,0,0,290,1,1294,1,855,0,2,412,3,1267,0,1018,0,2,222,4,1240,1,720,0,0,280,1,1005,0,10,8,12,72,03,32,1,6,5,12,31,02,5,0,14,7,12,36,03,37,0,7,15,2,17,02,11,1,18,1,21,31,03,41,0,4,11,3,39,02,25,0,12,6,15,28,03,24,0,4,5,7,15,02,13,1,4,8,21,32,03,44,1,12,6,9,19,02,11,1,4,6,7,21,02,27,1,6,4,11,26,02,10,1,10,16,2,21,02,38,0,22,4,10,25,02,11,0,6,2,4,12,02,24,0,6,2,5,33,02,16,0,10,0,5,14,02,26,1,6,6,10,32,02,23,0,10,7,11,20,02,32,1,6,3,14,32,02,11
2020020337,2021-02-27,0,0,1,1,0,0,1,3,L,10323,0,833,0,2,206,2,1039,0,1060,0,0,260,4,1320,0,932,0,0,104,4,1049,0,798,0,0,343,2,1141,0,1047,0,0,269,1,1316,1,1004,0,0,290,1,1294,1,855,0,2,412,3,1267,0,1018,0,2,222,4,1240,1,720,0,0,280,1,1005,0,1058,0,2,309,3,1367,0,14,7,12,36,03,37,0,7,15,2,17,02,11,1,18,1,21,31,03,41,0,4,11,3,39,02,25,0,12,6,15,28,03,24,0,4,5,7,15,02,13,1,4,8,21,32,03,44,1,12,6,9,19,02,11,1,4,6,7,21,02,27,1,6,4,11,26,02,10,1,10,16,2,21,02,38,0,22,4,10,25,02,11,0,6,2,4,12,02,24,0,6,2,5,33,02,16,0,10,0,5,14,02,26,1,6,6,10,32,02,23,0,10,7,11,20,02,32,1,6,3,14,32,02,11,0,6,5,9,22,02,33,1,6,5,8,31,02,12
