game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020475,2021-03-18,0,0,0,0,1,1,1,1,C,8814,0,610,0,0,135,0,952,0,703,1,0,106,0,989,0,890,0,0,4,1,1069,0,946,2,0,0,4,1014,1,904,0,2,170,0,1136,0,1013,0,0,109,1,1242,0,653,0,0,348,2,1150,0,939,0,0,195,5,1196,0,948,0,0,0,0,1009,0,762,1,0,153,3,1011,0,16,3,16,37,03,35,0,10,1,9,23,03,10,1,22,4,9,39,03,27,1,6,11,15,34,03,22,1,13,2,7,21,03,29,1,8,11,17,29,03,20,0,8,1,2,22,02,27,0,6,11,18,21,03,22,0,12,0,3,17,02,44,0,8,9,19,24,03,15,0,6,4,2,21,02,34,1,6,7,15,33,03,27,0,4,3,13,20,02,32,1,16,5,25,31,03,17,1,8,4,3,8,02,29,0,8,8,18,31,03,15,1,12,8,4,12,02,29,1,8,6,11,21,02,13,1,6,10,13,15,02,33,1,12,6,9,22,02,15
2020020186,2021-03-16,1,0,0,0,1,1,1,0,C,8812,0,703,1,0,106,0,989,0,890,0,0,4,1,1069,0,946,2,0,0,4,1014,1,904,0,2,170,0,1136,0,1013,0,0,109,1,1242,0,653,0,0,348,2,1150,0,939,0,0,195,5,1196,0,948,0,0,0,0,1009,0,762,1,0,153,3,1011,0,809,1,0,90,1,988,1,22,4,9,39,03,27,1,6,11,15,34,03,22,1,13,2,7,21,03,29,1,8,11,17,29,03,20,0,8,1,2,22,02,27,0,6,11,18,21,03,22,0,12,0,3,17,02,44,0,8,9,19,24,03,15,0,6,4,2,21,02,34,1,6,7,15,33,03,27,0,4,3,13,20,02,32,1,16,5,25,31,03,17,1,8,4,3,8,02,29,0,8,8,18,31,03,15,1,12,8,4,12,02,29,1,8,6,11,21,02,13,1,6,10,13,15,02,33,1,12,6,9,22,02,15,1,32,7,4,10,02,28,0,10,7,4,30,02,13
2020020444,2021-03-14,1,0,0,0,1,1,1,0,C,8810,0,890,0,0,4,1,1069,0,946,2,0,0,4,1014,1,904,0,2,170,0,1136,0,1013,0,0,109,1,1242,0,653,0,0,348,2,1150,0,939,0,0,195,5,1196,0,948,0,0,0,0,1009,0,762,1,0,153,3,1011,0,809,1,0,90,1,988,0,827,0,0,82,3,1042,1,13,2,7,21,03,29,1,8,11,17,29,03,20,0,8,1,2,22,02,27,0,6,11,18,21,03,22,0,12,0,3,17,02,44,0,8,9,19,24,03,15,0,6,4,2,21,02,34,1,6,7,15,33,03,27,0,4,3,13,20,02,32,1,16,5,25,31,03,17,1,8,4,3,8,02,29,0,8,8,18,31,03,15,1,12,8,4,12,02,29,1,8,6,11,21,02,13,1,6,10,13,15,02,33,1,12,6,9,22,02,15,1,32,7,4,10,02,28,0,10,7,4,30,02,13,1,14,7,2,21,02,20,0,14,9,6,23,02,14
2020020427,2021-03-12,1,0,0,0,1,1,1,1,C,8808,0,946,2,0,0,4,1014,1,904,0,2,170,0,1136,0,1013,0,0,109,1,1242,0,653,0,0,348,2,1150,0,939,0,0,195,5,1196,0,948,0,0,0,0,1009,0,762,1,0,153,3,1011,0,809,1,0,90,1,988,0,827,0,0,82,3,1042,0,718,0,0,82,2,913,0,8,1,2,22,02,27,0,6,11,18,21,03,22,0,12,0,3,17,02,44,0,8,9,19,24,03,15,0,6,4,2,21,02,34,1,6,7,15,33,03,27,0,4,3,13,20,02,32,1,16,5,25,31,03,17,1,8,4,3,8,02,29,0,8,8,18,31,03,15,1,12,8,4,12,02,29,1,8,6,11,21,02,13,1,6,10,13,15,02,33,1,12,6,9,22,02,15,1,32,7,4,10,02,28,0,10,7,4,30,02,13,1,14,7,2,21,02,20,0,14,9,6,23,02,14,1,8,3,5,14,02,33,1,8,8,8,22,02,13
2020020412,2021-03-10,1,1,1,1,0,0,0,4,C,8806,1,904,0,2,170,0,1136,0,1013,0,0,109,1,1242,0,653,0,0,348,2,1150,0,939,0,0,195,5,1196,0,948,0,0,0,0,1009,0,762,1,0,153,3,1011,0,809,1,0,90,1,988,0,827,0,0,82,3,1042,0,718,0,0,82,2,913,0,840,1,2,28,2,925,0,12,0,3,17,02,44,0,8,9,19,24,03,15,0,6,4,2,21,02,34,1,6,7,15,33,03,27,0,4,3,13,20,02,32,1,16,5,25,31,03,17,1,8,4,3,8,02,29,0,8,8,18,31,03,15,1,12,8,4,12,02,29,1,8,6,11,21,02,13,1,6,10,13,15,02,33,1,12,6,9,22,02,15,1,32,7,4,10,02,28,0,10,7,4,30,02,13,1,14,7,2,21,02,20,0,14,9,6,23,02,14,1,8,3,5,14,02,33,1,8,8,8,22,02,13,0,11,11,3,23,02,28,1,4,4,5,27,02,16
2020020398,2021-03-08,1,0,0,0,1,1,1,0,C,8804,0,1013,0,0,109,1,1242,0,653,0,0,348,2,1150,0,939,0,0,195,5,1196,0,948,0,0,0,0,1009,0,762,1,0,153,3,1011,0,809,1,0,90,1,988,0,827,0,0,82,3,1042,0,718,0,0,82,2,913,0,840,1,2,28,2,925,0,884,0,0,276,2,1259,0,6,4,2,21,02,34,1,6,7,15,33,03,27,0,4,3,13,20,02,32,1,16,5,25,31,03,17,1,8,4,3,8,02,29,0,8,8,18,31,03,15,1,12,8,4,12,02,29,1,8,6,11,21,02,13,1,6,10,13,15,02,33,1,12,6,9,22,02,15,1,32,7,4,10,02,28,0,10,7,4,30,02,13,1,14,7,2,21,02,20,0,14,9,6,23,02,14,1,8,3,5,14,02,33,1,8,8,8,22,02,13,0,11,11,3,23,02,28,1,4,4,5,27,02,16,0,6,3,0,36,02,28,1,2,5,6,23,02,11
2020020387,2021-03-06,0,0,0,0,1,1,1,1,C,8802,0,653,0,0,348,2,1150,0,939,0,0,195,5,1196,0,948,0,0,0,0,1009,0,762,1,0,153,3,1011,0,809,1,0,90,1,988,0,827,0,0,82,3,1042,0,718,0,0,82,2,913,0,840,1,2,28,2,925,0,884,0,0,276,2,1259,0,849,0,0,190,3,1145,0,4,3,13,20,02,32,1,16,5,25,31,03,17,1,8,4,3,8,02,29,0,8,8,18,31,03,15,1,12,8,4,12,02,29,1,8,6,11,21,02,13,1,6,10,13,15,02,33,1,12,6,9,22,02,15,1,32,7,4,10,02,28,0,10,7,4,30,02,13,1,14,7,2,21,02,20,0,14,9,6,23,02,14,1,8,3,5,14,02,33,1,8,8,8,22,02,13,0,11,11,3,23,02,28,1,4,4,5,27,02,16,0,6,3,0,36,02,28,1,2,5,6,23,02,11,0,6,5,11,23,02,27,1,6,5,12,26,02,12
2020020378,2021-03-05,0,0,0,1,0,1,1,2,C,8801,0,939,0,0,195,5,1196,0,948,0,0,0,0,1009,0,762,1,0,153,3,1011,0,809,1,0,90,1,988,0,827,0,0,82,3,1042,0,718,0,0,82,2,913,0,840,1,2,28,2,925,0,884,0,0,276,2,1259,0,849,0,0,190,3,1145,0,807,0,0,11,2,938,1,8,4,3,8,02,29,0,8,8,18,31,03,15,1,12,8,4,12,02,29,1,8,6,11,21,02,13,1,6,10,13,15,02,33,1,12,6,9,22,02,15,1,32,7,4,10,02,28,0,10,7,4,30,02,13,1,14,7,2,21,02,20,0,14,9,6,23,02,14,1,8,3,5,14,02,33,1,8,8,8,22,02,13,0,11,11,3,23,02,28,1,4,4,5,27,02,16,0,6,3,0,36,02,28,1,2,5,6,23,02,11,0,6,5,11,23,02,27,1,6,5,12,26,02,12,0,8,5,10,13,02,29,0,10,0,3,15,02,19
2020020361,2021-03-03,0,1,1,1,0,0,0,5,C,8799,0,948,0,0,0,0,1009,0,762,1,0,153,3,1011,0,809,1,0,90,1,988,0,827,0,0,82,3,1042,0,718,0,0,82,2,913,0,840,1,2,28,2,925,0,884,0,0,276,2,1259,0,849,0,0,190,3,1145,0,807,0,0,11,2,938,2,1004,0,0,0,1,1190,1,12,8,4,12,02,29,1,8,6,11,21,02,13,1,6,10,13,15,02,33,1,12,6,9,22,02,15,1,32,7,4,10,02,28,0,10,7,4,30,02,13,1,14,7,2,21,02,20,0,14,9,6,23,02,14,1,8,3,5,14,02,33,1,8,8,8,22,02,13,0,11,11,3,23,02,28,1,4,4,5,27,02,16,0,6,3,0,36,02,28,1,2,5,6,23,02,11,0,6,5,11,23,02,27,1,6,5,12,26,02,12,0,8,5,10,13,02,29,0,10,0,3,15,02,19,0,11,8,11,15,02,34,0,8,4,2,18,02,24
2020020351,2021-03-01,0,0,0,0,1,1,1,0,C,8797,0,762,1,0,153,3,1011,0,809,1,0,90,1,988,0,827,0,0,82,3,1042,0,718,0,0,82,2,913,0,840,1,2,28,2,925,0,884,0,0,276,2,1259,0,849,0,0,190,3,1145,0,807,0,0,11,2,938,2,1004,0,0,0,1,1190,0,654,0,0,123,4,980,1,6,10,13,15,02,33,1,12,6,9,22,02,15,1,32,7,4,10,02,28,0,10,7,4,30,02,13,1,14,7,2,21,02,20,0,14,9,6,23,02,14,1,8,3,5,14,02,33,1,8,8,8,22,02,13,0,11,11,3,23,02,28,1,4,4,5,27,02,16,0,6,3,0,36,02,28,1,2,5,6,23,02,11,0,6,5,11,23,02,27,1,6,5,12,26,02,12,0,8,5,10,13,02,29,0,10,0,3,15,02,19,0,11,8,11,15,02,34,0,8,4,2,18,02,24,0,8,7,2,10,02,25,0,13,10,10,17,02,8
