game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020462,2021-03-17,1,1,1,1,0,0,0,4,C,10195,0,1006,0,0,275,2,1414,2,554,0,0,396,2,1248,0,932,0,0,333,5,1339,0,1029,0,0,119,6,1203,0,936,1,2,70,3,1158,0,719,0,0,331,1,1140,1,511,0,0,62,0,784,1,870,0,0,82,0,996,0,857,0,0,179,3,1049,0,665,0,0,264,3,1080,0,22,7,16,37,03,24,1,10,10,17,23,03,8,1,6,10,11,39,03,38,0,6,5,12,26,03,24,1,18,7,5,24,02,24,1,6,11,14,27,03,14,1,8,13,15,22,02,32,1,26,3,9,36,03,25,1,4,6,19,25,02,50,0,6,5,5,36,03,24,0,4,7,4,40,02,34,0,4,4,6,26,03,13,0,0,7,4,32,02,26,1,34,2,6,28,03,9,0,8,5,1,24,02,30,0,4,2,9,25,03,21,0,10,5,3,16,02,39,1,4,3,15,29,03,10,1,8,6,19,25,02,34,1,6,3,12,31,03,17
2020020446,2021-03-15,1,0,0,1,0,1,1,2,C,10193,2,554,0,0,396,2,1248,0,932,0,0,333,5,1339,0,1029,0,0,119,6,1203,0,936,1,2,70,3,1158,0,719,0,0,331,1,1140,1,511,0,0,62,0,784,1,870,0,0,82,0,996,0,857,0,0,179,3,1049,0,665,0,0,264,3,1080,2,626,0,0,280,4,1220,1,6,10,11,39,03,38,0,6,5,12,26,03,24,1,18,7,5,24,02,24,1,6,11,14,27,03,14,1,8,13,15,22,02,32,1,26,3,9,36,03,25,1,4,6,19,25,02,50,0,6,5,5,36,03,24,0,4,7,4,40,02,34,0,4,4,6,26,03,13,0,0,7,4,32,02,26,1,34,2,6,28,03,9,0,8,5,1,24,02,30,0,4,2,9,25,03,21,0,10,5,3,16,02,39,1,4,3,15,29,03,10,1,8,6,19,25,02,34,1,6,3,12,31,03,17,1,17,7,8,26,02,24,0,4,5,9,33,03,14
2020020430,2021-03-13,0,0,0,1,0,1,1,2,C,10191,0,932,0,0,333,5,1339,0,1029,0,0,119,6,1203,0,936,1,2,70,3,1158,0,719,0,0,331,1,1140,1,511,0,0,62,0,784,1,870,0,0,82,0,996,0,857,0,0,179,3,1049,0,665,0,0,264,3,1080,2,626,0,0,280,4,1220,0,642,1,0,231,3,1098,1,18,7,5,24,02,24,1,6,11,14,27,03,14,1,8,13,15,22,02,32,1,26,3,9,36,03,25,1,4,6,19,25,02,50,0,6,5,5,36,03,24,0,4,7,4,40,02,34,0,4,4,6,26,03,13,0,0,7,4,32,02,26,1,34,2,6,28,03,9,0,8,5,1,24,02,30,0,4,2,9,25,03,21,0,10,5,3,16,02,39,1,4,3,15,29,03,10,1,8,6,19,25,02,34,1,6,3,12,31,03,17,1,17,7,8,26,02,24,0,4,5,9,33,03,14,1,17,12,10,20,02,31,0,4,4,9,39,03,7
2020020415,2021-03-11,0,1,1,1,0,0,0,5,C,10189,0,1029,0,0,119,6,1203,0,936,1,2,70,3,1158,0,719,0,0,331,1,1140,1,511,0,0,62,0,784,1,870,0,0,82,0,996,0,857,0,0,179,3,1049,0,665,0,0,264,3,1080,2,626,0,0,280,4,1220,0,642,1,0,231,3,1098,0,738,0,0,270,1,1222,1,8,13,15,22,02,32,1,26,3,9,36,03,25,1,4,6,19,25,02,50,0,6,5,5,36,03,24,0,4,7,4,40,02,34,0,4,4,6,26,03,13,0,0,7,4,32,02,26,1,34,2,6,28,03,9,0,8,5,1,24,02,30,0,4,2,9,25,03,21,0,10,5,3,16,02,39,1,4,3,15,29,03,10,1,8,6,19,25,02,34,1,6,3,12,31,03,17,1,17,7,8,26,02,24,0,4,5,9,33,03,14,1,17,12,10,20,02,31,0,4,4,9,39,03,7,1,2,11,12,25,02,30,1,8,6,19,53,03,10
2020020405,2021-03-09,0,1,1,1,0,0,0,6,C,10187,0,936,1,2,70,3,1158,0,719,0,0,331,1,1140,1,511,0,0,62,0,784,1,870,0,0,82,0,996,0,857,0,0,179,3,1049,0,665,0,0,264,3,1080,2,626,0,0,280,4,1220,0,642,1,0,231,3,1098,0,738,0,0,270,1,1222,0,1103,0,2,0,4,1190,1,4,6,19,25,02,50,0,6,5,5,36,03,24,0,4,7,4,40,02,34,0,4,4,6,26,03,13,0,0,7,4,32,02,26,1,34,2,6,28,03,9,0,8,5,1,24,02,30,0,4,2,9,25,03,21,0,10,5,3,16,02,39,1,4,3,15,29,03,10,1,8,6,19,25,02,34,1,6,3,12,31,03,17,1,17,7,8,26,02,24,0,4,5,9,33,03,14,1,17,12,10,20,02,31,0,4,4,9,39,03,7,1,2,11,12,25,02,30,1,8,6,19,53,03,10,1,11,7,15,29,02,35,0,12,6,30,64,03,31
2020020393,2021-03-07,0,0,1,1,0,0,1,3,C,10185,0,719,0,0,331,1,1140,1,511,0,0,62,0,784,1,870,0,0,82,0,996,0,857,0,0,179,3,1049,0,665,0,0,264,3,1080,2,626,0,0,280,4,1220,0,642,1,0,231,3,1098,0,738,0,0,270,1,1222,0,1103,0,2,0,4,1190,0,734,0,0,454,0,1461,0,4,7,4,40,02,34,0,4,4,6,26,03,13,0,0,7,4,32,02,26,1,34,2,6,28,03,9,0,8,5,1,24,02,30,0,4,2,9,25,03,21,0,10,5,3,16,02,39,1,4,3,15,29,03,10,1,8,6,19,25,02,34,1,6,3,12,31,03,17,1,17,7,8,26,02,24,0,4,5,9,33,03,14,1,17,12,10,20,02,31,0,4,4,9,39,03,7,1,2,11,12,25,02,30,1,8,6,19,53,03,10,1,11,7,15,29,02,35,0,12,6,30,64,03,31,1,22,16,9,31,02,21,1,13,3,18,41,03,17
2020020374,2021-03-06,0,0,0,0,1,1,1,1,C,10184,1,511,0,0,62,0,784,1,870,0,0,82,0,996,0,857,0,0,179,3,1049,0,665,0,0,264,3,1080,2,626,0,0,280,4,1220,0,642,1,0,231,3,1098,0,738,0,0,270,1,1222,0,1103,0,2,0,4,1190,0,734,0,0,454,0,1461,0,1028,0,0,181,4,1309,0,0,7,4,32,02,26,1,34,2,6,28,03,9,0,8,5,1,24,02,30,0,4,2,9,25,03,21,0,10,5,3,16,02,39,1,4,3,15,29,03,10,1,8,6,19,25,02,34,1,6,3,12,31,03,17,1,17,7,8,26,02,24,0,4,5,9,33,03,14,1,17,12,10,20,02,31,0,4,4,9,39,03,7,1,2,11,12,25,02,30,1,8,6,19,53,03,10,1,11,7,15,29,02,35,0,12,6,30,64,03,31,1,22,16,9,31,02,21,1,13,3,18,41,03,17,1,9,7,10,30,02,39,1,6,6,10,31,02,13
2020020180,2021-03-04,0,0,0,0,1,1,1,0,C,10182,1,870,0,0,82,0,996,0,857,0,0,179,3,1049,0,665,0,0,264,3,1080,2,626,0,0,280,4,1220,0,642,1,0,231,3,1098,0,738,0,0,270,1,1222,0,1103,0,2,0,4,1190,0,734,0,0,454,0,1461,0,1028,0,0,181,4,1309,0,929,0,0,182,3,1170,0,8,5,1,24,02,30,0,4,2,9,25,03,21,0,10,5,3,16,02,39,1,4,3,15,29,03,10,1,8,6,19,25,02,34,1,6,3,12,31,03,17,1,17,7,8,26,02,24,0,4,5,9,33,03,14,1,17,12,10,20,02,31,0,4,4,9,39,03,7,1,2,11,12,25,02,30,1,8,6,19,53,03,10,1,11,7,15,29,02,35,0,12,6,30,64,03,31,1,22,16,9,31,02,21,1,13,3,18,41,03,17,1,9,7,10,30,02,39,1,6,6,10,31,02,13,0,10,6,10,20,02,33,1,10,4,8,25,02,5
2020020354,2021-03-02,1,0,0,0,1,1,1,0,C,10180,0,857,0,0,179,3,1049,0,665,0,0,264,3,1080,2,626,0,0,280,4,1220,0,642,1,0,231,3,1098,0,738,0,0,270,1,1222,0,1103,0,2,0,4,1190,0,734,0,0,454,0,1461,0,1028,0,0,181,4,1309,0,929,0,0,182,3,1170,1,780,0,4,245,2,1160,0,10,5,3,16,02,39,1,4,3,15,29,03,10,1,8,6,19,25,02,34,1,6,3,12,31,03,17,1,17,7,8,26,02,24,0,4,5,9,33,03,14,1,17,12,10,20,02,31,0,4,4,9,39,03,7,1,2,11,12,25,02,30,1,8,6,19,53,03,10,1,11,7,15,29,02,35,0,12,6,30,64,03,31,1,22,16,9,31,02,21,1,13,3,18,41,03,17,1,9,7,10,30,02,39,1,6,6,10,31,02,13,0,10,6,10,20,02,33,1,10,4,8,25,02,5,0,8,6,2,12,02,24,1,8,2,11,24,02,12
2020020342,2021-02-28,1,0,1,1,0,0,1,3,C,10178,0,665,0,0,264,3,1080,2,626,0,0,280,4,1220,0,642,1,0,231,3,1098,0,738,0,0,270,1,1222,0,1103,0,2,0,4,1190,0,734,0,0,454,0,1461,0,1028,0,0,181,4,1309,0,929,0,0,182,3,1170,1,780,0,4,245,2,1160,0,673,0,0,265,3,1206,1,8,6,19,25,02,34,1,6,3,12,31,03,17,1,17,7,8,26,02,24,0,4,5,9,33,03,14,1,17,12,10,20,02,31,0,4,4,9,39,03,7,1,2,11,12,25,02,30,1,8,6,19,53,03,10,1,11,7,15,29,02,35,0,12,6,30,64,03,31,1,22,16,9,31,02,21,1,13,3,18,41,03,17,1,9,7,10,30,02,39,1,6,6,10,31,02,13,0,10,6,10,20,02,33,1,10,4,8,25,02,5,0,8,6,2,12,02,24,1,8,2,11,24,02,12,0,16,5,10,21,02,27,1,6,7,12,37,02,16
