game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020476,2021-03-18,0,0,0,0,1,1,1,1,C,9155,0,774,0,0,400,4,1176,0,812,0,0,148,1,960,0,913,0,0,232,1,1145,0,835,0,2,115,2,955,0,898,0,0,78,0,976,1,973,0,0,234,2,1207,0,712,0,0,185,0,897,0,886,1,0,131,4,1017,0,801,0,0,166,0,967,0,870,0,2,77,1,947,0,10,1,9,23,03,26,0,16,3,16,37,03,10,1,6,11,15,34,03,28,1,22,4,9,39,03,11,1,8,11,17,29,03,34,1,13,2,7,21,03,19,0,6,11,18,21,03,14,0,8,1,2,22,02,7,0,8,9,19,24,03,32,0,12,0,3,17,02,8,1,6,7,15,33,03,23,0,6,4,2,21,02,7,1,16,5,25,31,03,15,0,4,3,13,20,02,14,0,8,8,18,31,03,24,1,8,4,3,8,02,24,1,8,6,11,21,02,37,1,12,8,4,12,02,17,1,12,6,9,22,02,26,1,6,10,13,15,02,10
2020020186,2021-03-16,0,1,1,1,0,0,0,4,C,9153,0,812,0,0,148,1,960,0,913,0,0,232,1,1145,0,835,0,2,115,2,955,0,898,0,0,78,0,976,1,973,0,0,234,2,1207,0,712,0,0,185,0,897,0,886,1,0,131,4,1017,0,801,0,0,166,0,967,0,870,0,2,77,1,947,0,1280,0,0,122,2,1402,1,6,11,15,34,03,28,1,22,4,9,39,03,11,1,8,11,17,29,03,34,1,13,2,7,21,03,19,0,6,11,18,21,03,14,0,8,1,2,22,02,7,0,8,9,19,24,03,32,0,12,0,3,17,02,8,1,6,7,15,33,03,23,0,6,4,2,21,02,7,1,16,5,25,31,03,15,0,4,3,13,20,02,14,0,8,8,18,31,03,24,1,8,4,3,8,02,24,1,8,6,11,21,02,37,1,12,8,4,12,02,17,1,12,6,9,22,02,26,1,6,10,13,15,02,10,0,10,7,4,30,02,32,1,32,7,4,10,02,22
2020020444,2021-03-14,0,0,0,0,1,1,1,1,C,9151,0,913,0,0,232,1,1145,0,835,0,2,115,2,955,0,898,0,0,78,0,976,1,973,0,0,234,2,1207,0,712,0,0,185,0,897,0,886,1,0,131,4,1017,0,801,0,0,166,0,967,0,870,0,2,77,1,947,0,1280,0,0,122,2,1402,0,787,0,0,207,3,994,1,8,11,17,29,03,34,1,13,2,7,21,03,19,0,6,11,18,21,03,14,0,8,1,2,22,02,7,0,8,9,19,24,03,32,0,12,0,3,17,02,8,1,6,7,15,33,03,23,0,6,4,2,21,02,7,1,16,5,25,31,03,15,0,4,3,13,20,02,14,0,8,8,18,31,03,24,1,8,4,3,8,02,24,1,8,6,11,21,02,37,1,12,8,4,12,02,17,1,12,6,9,22,02,26,1,6,10,13,15,02,10,0,10,7,4,30,02,32,1,32,7,4,10,02,22,0,14,9,6,23,02,23,1,14,7,2,21,02,18
2020020427,2021-03-12,0,0,0,0,1,1,1,1,C,9149,0,835,0,2,115,2,955,0,898,0,0,78,0,976,1,973,0,0,234,2,1207,0,712,0,0,185,0,897,0,886,1,0,131,4,1017,0,801,0,0,166,0,967,0,870,0,2,77,1,947,0,1280,0,0,122,2,1402,0,787,0,0,207,3,994,0,971,0,0,197,3,1168,0,6,11,18,21,03,14,0,8,1,2,22,02,7,0,8,9,19,24,03,32,0,12,0,3,17,02,8,1,6,7,15,33,03,23,0,6,4,2,21,02,7,1,16,5,25,31,03,15,0,4,3,13,20,02,14,0,8,8,18,31,03,24,1,8,4,3,8,02,24,1,8,6,11,21,02,37,1,12,8,4,12,02,17,1,12,6,9,22,02,26,1,6,10,13,15,02,10,0,10,7,4,30,02,32,1,32,7,4,10,02,22,0,14,9,6,23,02,23,1,14,7,2,21,02,18,1,8,8,8,22,02,26,1,8,3,5,14,02,14
2020020413,2021-03-10,0,0,0,1,0,1,1,2,C,9147,0,898,0,0,78,0,976,1,973,0,0,234,2,1207,0,712,0,0,185,0,897,0,886,1,0,131,4,1017,0,801,0,0,166,0,967,0,870,0,2,77,1,947,0,1280,0,0,122,2,1402,0,787,0,0,207,3,994,0,971,0,0,197,3,1168,1,875,0,0,187,2,1066,0,8,9,19,24,03,32,0,12,0,3,17,02,8,1,6,7,15,33,03,23,0,6,4,2,21,02,7,1,16,5,25,31,03,15,0,4,3,13,20,02,14,0,8,8,18,31,03,24,1,8,4,3,8,02,24,1,8,6,11,21,02,37,1,12,8,4,12,02,17,1,12,6,9,22,02,26,1,6,10,13,15,02,10,0,10,7,4,30,02,32,1,32,7,4,10,02,22,0,14,9,6,23,02,23,1,14,7,2,21,02,18,1,8,8,8,22,02,26,1,8,3,5,14,02,14,1,4,4,5,27,02,16,0,11,11,3,23,02,23
2020020399,2021-03-08,0,0,0,0,1,1,1,0,C,9145,1,973,0,0,234,2,1207,0,712,0,0,185,0,897,0,886,1,0,131,4,1017,0,801,0,0,166,0,967,0,870,0,2,77,1,947,0,1280,0,0,122,2,1402,0,787,0,0,207,3,994,0,971,0,0,197,3,1168,1,875,0,0,187,2,1066,1,780,0,0,265,2,1045,1,6,7,15,33,03,23,0,6,4,2,21,02,7,1,16,5,25,31,03,15,0,4,3,13,20,02,14,0,8,8,18,31,03,24,1,8,4,3,8,02,24,1,8,6,11,21,02,37,1,12,8,4,12,02,17,1,12,6,9,22,02,26,1,6,10,13,15,02,10,0,10,7,4,30,02,32,1,32,7,4,10,02,22,0,14,9,6,23,02,23,1,14,7,2,21,02,18,1,8,8,8,22,02,26,1,8,3,5,14,02,14,1,4,4,5,27,02,16,0,11,11,3,23,02,23,1,2,5,6,23,02,31,0,6,3,0,36,02,12
2020020387,2021-03-06,1,0,0,1,0,1,1,2,C,9143,0,712,0,0,185,0,897,0,886,1,0,131,4,1017,0,801,0,0,166,0,967,0,870,0,2,77,1,947,0,1280,0,0,122,2,1402,0,787,0,0,207,3,994,0,971,0,0,197,3,1168,1,875,0,0,187,2,1066,1,780,0,0,265,2,1045,0,888,1,0,119,3,1007,1,16,5,25,31,03,15,0,4,3,13,20,02,14,0,8,8,18,31,03,24,1,8,4,3,8,02,24,1,8,6,11,21,02,37,1,12,8,4,12,02,17,1,12,6,9,22,02,26,1,6,10,13,15,02,10,0,10,7,4,30,02,32,1,32,7,4,10,02,22,0,14,9,6,23,02,23,1,14,7,2,21,02,18,1,8,8,8,22,02,26,1,8,3,5,14,02,14,1,4,4,5,27,02,16,0,11,11,3,23,02,23,1,2,5,6,23,02,31,0,6,3,0,36,02,12,1,6,5,12,26,02,34,0,6,5,11,23,02,12
2020020378,2021-03-05,1,0,0,0,1,1,1,0,C,9142,0,886,1,0,131,4,1017,0,801,0,0,166,0,967,0,870,0,2,77,1,947,0,1280,0,0,122,2,1402,0,787,0,0,207,3,994,0,971,0,0,197,3,1168,1,875,0,0,187,2,1066,1,780,0,0,265,2,1045,0,888,1,0,119,3,1007,0,838,0,0,203,3,1041,0,8,8,18,31,03,24,1,8,4,3,8,02,24,1,8,6,11,21,02,37,1,12,8,4,12,02,17,1,12,6,9,22,02,26,1,6,10,13,15,02,10,0,10,7,4,30,02,32,1,32,7,4,10,02,22,0,14,9,6,23,02,23,1,14,7,2,21,02,18,1,8,8,8,22,02,26,1,8,3,5,14,02,14,1,4,4,5,27,02,16,0,11,11,3,23,02,23,1,2,5,6,23,02,31,0,6,3,0,36,02,12,1,6,5,12,26,02,34,0,6,5,11,23,02,12,0,10,0,3,15,02,35,0,8,5,10,13,02,12
2020020742,2021-03-03,0,1,1,1,0,0,0,4,C,9140,0,801,0,0,166,0,967,0,870,0,2,77,1,947,0,1280,0,0,122,2,1402,0,787,0,0,207,3,994,0,971,0,0,197,3,1168,1,875,0,0,187,2,1066,1,780,0,0,265,2,1045,0,888,1,0,119,3,1007,0,838,0,0,203,3,1041,2,897,0,0,154,2,1053,1,8,6,11,21,02,37,1,12,8,4,12,02,17,1,12,6,9,22,02,26,1,6,10,13,15,02,10,0,10,7,4,30,02,32,1,32,7,4,10,02,22,0,14,9,6,23,02,23,1,14,7,2,21,02,18,1,8,8,8,22,02,26,1,8,3,5,14,02,14,1,4,4,5,27,02,16,0,11,11,3,23,02,23,1,2,5,6,23,02,31,0,6,3,0,36,02,12,1,6,5,12,26,02,34,0,6,5,11,23,02,12,0,10,0,3,15,02,35,0,8,5,10,13,02,12,0,8,4,2,18,02,30,0,11,8,11,15,02,12
2020020337,2021-02-27,1,0,0,0,1,1,1,0,C,9136,0,870,0,2,77,1,947,0,1280,0,0,122,2,1402,0,787,0,0,207,3,994,0,971,0,0,197,3,1168,1,875,0,0,187,2,1066,1,780,0,0,265,2,1045,0,888,1,0,119,3,1007,0,838,0,0,203,3,1041,2,897,0,0,154,2,1053,0,792,0,2,289,1,1081,1,12,6,9,22,02,26,1,6,10,13,15,02,10,0,10,7,4,30,02,32,1,32,7,4,10,02,22,0,14,9,6,23,02,23,1,14,7,2,21,02,18,1,8,8,8,22,02,26,1,8,3,5,14,02,14,1,4,4,5,27,02,16,0,11,11,3,23,02,23,1,2,5,6,23,02,31,0,6,3,0,36,02,12,1,6,5,12,26,02,34,0,6,5,11,23,02,12,0,10,0,3,15,02,35,0,8,5,10,13,02,12,0,8,4,2,18,02,30,0,11,8,11,15,02,12,0,13,10,10,17,02,19,0,8,7,2,10,02,22
