game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020465,2021-03-17,1,0,1,1,0,0,1,3,L,10078,0,922,0,0,143,0,1065,0,819,0,0,162,2,981,0,772,0,0,221,1,1006,0,916,1,0,596,4,1512,0,990,1,0,214,1,1204,1,840,0,0,82,0,934,0,1061,0,0,215,2,1276,2,785,0,0,269,1,1054,0,1220,0,0,0,1,1220,0,987,0,0,137,1,1124,1,14,6,16,39,03,30,1,8,8,19,27,03,22,0,4,6,12,21,03,32,0,14,4,6,15,03,14,0,9,7,24,30,03,34,0,6,10,11,26,03,10,0,9,13,17,34,03,26,1,4,4,10,18,02,17,0,8,3,9,44,03,26,1,20,8,12,37,02,29,1,8,7,7,37,03,23,1,4,6,16,32,02,11,1,14,8,20,38,03,40,1,10,3,8,17,02,13,0,4,8,21,45,03,29,0,4,4,6,25,02,19,1,4,4,14,50,03,41,0,4,2,8,34,02,17,0,10,5,11,22,02,26,0,4,4,5,20,02,13
2020020454,2021-03-15,1,0,0,0,1,1,1,0,L,10076,0,819,0,0,162,2,981,0,772,0,0,221,1,1006,0,916,1,0,596,4,1512,0,990,1,0,214,1,1204,1,840,0,0,82,0,934,0,1061,0,0,215,2,1276,2,785,0,0,269,1,1054,0,1220,0,0,0,1,1220,0,987,0,0,137,1,1124,1,815,0,2,376,3,1211,0,4,6,12,21,03,32,0,14,4,6,15,03,14,0,9,7,24,30,03,34,0,6,10,11,26,03,10,0,9,13,17,34,03,26,1,4,4,10,18,02,17,0,8,3,9,44,03,26,1,20,8,12,37,02,29,1,8,7,7,37,03,23,1,4,6,16,32,02,11,1,14,8,20,38,03,40,1,10,3,8,17,02,13,0,4,8,21,45,03,29,0,4,4,6,25,02,19,1,4,4,14,50,03,41,0,4,2,8,34,02,17,0,10,5,11,22,02,26,0,4,4,5,20,02,13,1,8,8,7,16,02,35,0,10,8,6,17,02,11
2020020439,2021-03-13,1,0,0,1,0,1,1,2,L,10074,0,772,0,0,221,1,1006,0,916,1,0,596,4,1512,0,990,1,0,214,1,1204,1,840,0,0,82,0,934,0,1061,0,0,215,2,1276,2,785,0,0,269,1,1054,0,1220,0,0,0,1,1220,0,987,0,0,137,1,1124,1,815,0,2,376,3,1211,0,651,0,0,360,1,1011,0,9,7,24,30,03,34,0,6,10,11,26,03,10,0,9,13,17,34,03,26,1,4,4,10,18,02,17,0,8,3,9,44,03,26,1,20,8,12,37,02,29,1,8,7,7,37,03,23,1,4,6,16,32,02,11,1,14,8,20,38,03,40,1,10,3,8,17,02,13,0,4,8,21,45,03,29,0,4,4,6,25,02,19,1,4,4,14,50,03,41,0,4,2,8,34,02,17,0,10,5,11,22,02,26,0,4,4,5,20,02,13,1,8,8,7,16,02,35,0,10,8,6,17,02,11,1,8,5,17,10,02,32,1,8,7,23,18,02,10
2020020423,2021-03-11,1,0,0,0,1,1,1,1,L,10072,0,916,1,0,596,4,1512,0,990,1,0,214,1,1204,1,840,0,0,82,0,934,0,1061,0,0,215,2,1276,2,785,0,0,269,1,1054,0,1220,0,0,0,1,1220,0,987,0,0,137,1,1124,1,815,0,2,376,3,1211,0,651,0,0,360,1,1011,1,1213,0,0,239,0,1452,0,9,13,17,34,03,26,1,4,4,10,18,02,17,0,8,3,9,44,03,26,1,20,8,12,37,02,29,1,8,7,7,37,03,23,1,4,6,16,32,02,11,1,14,8,20,38,03,40,1,10,3,8,17,02,13,0,4,8,21,45,03,29,0,4,4,6,25,02,19,1,4,4,14,50,03,41,0,4,2,8,34,02,17,0,10,5,11,22,02,26,0,4,4,5,20,02,13,1,8,8,7,16,02,35,0,10,8,6,17,02,11,1,8,5,17,10,02,32,1,8,7,23,18,02,10,1,8,7,12,13,02,33,1,4,9,10,19,02,10
2020020395,2021-03-07,1,1,1,1,0,0,0,4,L,10068,0,990,1,0,214,1,1204,1,840,0,0,82,0,934,0,1061,0,0,215,2,1276,2,785,0,0,269,1,1054,0,1220,0,0,0,1,1220,0,987,0,0,137,1,1124,1,815,0,2,376,3,1211,0,651,0,0,360,1,1011,1,1213,0,0,239,0,1452,0,865,0,0,148,4,1013,0,8,3,9,44,03,26,1,20,8,12,37,02,29,1,8,7,7,37,03,23,1,4,6,16,32,02,11,1,14,8,20,38,03,40,1,10,3,8,17,02,13,0,4,8,21,45,03,29,0,4,4,6,25,02,19,1,4,4,14,50,03,41,0,4,2,8,34,02,17,0,10,5,11,22,02,26,0,4,4,5,20,02,13,1,8,8,7,16,02,35,0,10,8,6,17,02,11,1,8,5,17,10,02,32,1,8,7,23,18,02,10,1,8,7,12,13,02,33,1,4,9,10,19,02,10,1,4,10,10,17,02,26,1,10,6,9,14,02,14
2020020383,2021-03-06,0,0,0,0,1,1,1,1,L,10067,1,840,0,0,82,0,934,0,1061,0,0,215,2,1276,2,785,0,0,269,1,1054,0,1220,0,0,0,1,1220,0,987,0,0,137,1,1124,1,815,0,2,376,3,1211,0,651,0,0,360,1,1011,1,1213,0,0,239,0,1452,0,865,0,0,148,4,1013,0,902,1,2,283,7,1188,1,8,7,7,37,03,23,1,4,6,16,32,02,11,1,14,8,20,38,03,40,1,10,3,8,17,02,13,0,4,8,21,45,03,29,0,4,4,6,25,02,19,1,4,4,14,50,03,41,0,4,2,8,34,02,17,0,10,5,11,22,02,26,0,4,4,5,20,02,13,1,8,8,7,16,02,35,0,10,8,6,17,02,11,1,8,5,17,10,02,32,1,8,7,23,18,02,10,1,8,7,12,13,02,33,1,4,9,10,19,02,10,1,4,10,10,17,02,26,1,10,6,9,14,02,14,0,13,5,9,26,02,25,1,10,8,20,22,02,20
2020020370,2021-03-04,1,0,0,0,1,1,1,0,L,10065,0,1061,0,0,215,2,1276,2,785,0,0,269,1,1054,0,1220,0,0,0,1,1220,0,987,0,0,137,1,1124,1,815,0,2,376,3,1211,0,651,0,0,360,1,1011,1,1213,0,0,239,0,1452,0,865,0,0,148,4,1013,0,902,1,2,283,7,1188,1,908,0,0,193,0,1101,1,14,8,20,38,03,40,1,10,3,8,17,02,13,0,4,8,21,45,03,29,0,4,4,6,25,02,19,1,4,4,14,50,03,41,0,4,2,8,34,02,17,0,10,5,11,22,02,26,0,4,4,5,20,02,13,1,8,8,7,16,02,35,0,10,8,6,17,02,11,1,8,5,17,10,02,32,1,8,7,23,18,02,10,1,8,7,12,13,02,33,1,4,9,10,19,02,10,1,4,10,10,17,02,26,1,10,6,9,14,02,14,0,13,5,9,26,02,25,1,10,8,20,22,02,20,0,14,6,14,23,02,33,0,14,4,14,23,02,17
2020020349,2021-03-01,0,0,0,1,0,1,1,2,L,10062,2,785,0,0,269,1,1054,0,1220,0,0,0,1,1220,0,987,0,0,137,1,1124,1,815,0,2,376,3,1211,0,651,0,0,360,1,1011,1,1213,0,0,239,0,1452,0,865,0,0,148,4,1013,0,902,1,2,283,7,1188,1,908,0,0,193,0,1101,0,885,1,0,286,2,1171,0,4,8,21,45,03,29,0,4,4,6,25,02,19,1,4,4,14,50,03,41,0,4,2,8,34,02,17,0,10,5,11,22,02,26,0,4,4,5,20,02,13,1,8,8,7,16,02,35,0,10,8,6,17,02,11,1,8,5,17,10,02,32,1,8,7,23,18,02,10,1,8,7,12,13,02,33,1,4,9,10,19,02,10,1,4,10,10,17,02,26,1,10,6,9,14,02,14,0,13,5,9,26,02,25,1,10,8,20,22,02,20,0,14,6,14,23,02,33,0,14,4,14,23,02,17,0,8,2,10,15,02,28,0,4,5,7,28,02,13
2020020333,2021-02-27,0,0,0,0,1,1,1,1,L,10060,0,1220,0,0,0,1,1220,0,987,0,0,137,1,1124,1,815,0,2,376,3,1211,0,651,0,0,360,1,1011,1,1213,0,0,239,0,1452,0,865,0,0,148,4,1013,0,902,1,2,283,7,1188,1,908,0,0,193,0,1101,0,885,1,0,286,2,1171,0,942,0,0,124,2,1066,1,4,4,14,50,03,41,0,4,2,8,34,02,17,0,10,5,11,22,02,26,0,4,4,5,20,02,13,1,8,8,7,16,02,35,0,10,8,6,17,02,11,1,8,5,17,10,02,32,1,8,7,23,18,02,10,1,8,7,12,13,02,33,1,4,9,10,19,02,10,1,4,10,10,17,02,26,1,10,6,9,14,02,14,0,13,5,9,26,02,25,1,10,8,20,22,02,20,0,14,6,14,23,02,33,0,14,4,14,23,02,17,0,8,2,10,15,02,28,0,4,5,7,28,02,13,0,4,4,7,15,02,31,0,6,2,15,26,02,14
2020020318,2021-02-25,0,0,0,0,1,1,1,1,L,10058,0,987,0,0,137,1,1124,1,815,0,2,376,3,1211,0,651,0,0,360,1,1011,1,1213,0,0,239,0,1452,0,865,0,0,148,4,1013,0,902,1,2,283,7,1188,1,908,0,0,193,0,1101,0,885,1,0,286,2,1171,0,942,0,0,124,2,1066,1,822,1,0,151,1,973,0,10,5,11,22,02,26,0,4,4,5,20,02,13,1,8,8,7,16,02,35,0,10,8,6,17,02,11,1,8,5,17,10,02,32,1,8,7,23,18,02,10,1,8,7,12,13,02,33,1,4,9,10,19,02,10,1,4,10,10,17,02,26,1,10,6,9,14,02,14,0,13,5,9,26,02,25,1,10,8,20,22,02,20,0,14,6,14,23,02,33,0,14,4,14,23,02,17,0,8,2,10,15,02,28,0,4,5,7,28,02,13,0,4,4,7,15,02,31,0,6,2,15,26,02,14,0,6,3,20,15,02,24,1,9,9,4,37,02,14
