game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020464,2021-03-17,0,0,0,0,1,1,1,0,R,9811,1,839,1,0,114,4,953,0,893,0,0,43,3,936,0,786,0,5,112,1,898,1,777,0,0,269,2,1046,0,1038,0,0,112,6,1150,0,894,1,0,47,4,947,0,264,0,0,0,0,264,0,948,0,2,151,7,1150,1,945,0,0,154,0,1099,0,1006,0,2,50,2,1056,0,14,5,11,31,03,27,0,14,8,14,31,03,12,1,6,2,12,39,03,31,1,8,9,15,26,03,13,1,4,5,14,48,03,22,1,11,3,19,37,03,18,0,10,10,13,32,03,28,1,8,8,11,21,02,14,0,24,6,18,32,03,32,0,4,6,13,31,02,11,1,12,5,16,23,03,23,0,10,4,11,25,02,8,1,6,7,10,37,03,29,0,19,7,5,14,02,10,0,33,7,11,39,03,33,1,9,6,6,20,02,14,1,8,2,15,23,03,33,1,6,2,11,15,02,20,0,13,6,13,32,02,32,1,4,6,9,20,02,5
2020020453,2021-03-15,0,1,1,1,0,0,0,4,R,9809,0,893,0,0,43,3,936,0,786,0,5,112,1,898,1,777,0,0,269,2,1046,0,1038,0,0,112,6,1150,0,894,1,0,47,4,947,0,264,0,0,0,0,264,0,948,0,2,151,7,1150,1,945,0,0,154,0,1099,0,1006,0,2,50,2,1056,0,986,0,0,0,1,990,1,6,2,12,39,03,31,1,8,9,15,26,03,13,1,4,5,14,48,03,22,1,11,3,19,37,03,18,0,10,10,13,32,03,28,1,8,8,11,21,02,14,0,24,6,18,32,03,32,0,4,6,13,31,02,11,1,12,5,16,23,03,23,0,10,4,11,25,02,8,1,6,7,10,37,03,29,0,19,7,5,14,02,10,0,33,7,11,39,03,33,1,9,6,6,20,02,14,1,8,2,15,23,03,33,1,6,2,11,15,02,20,0,13,6,13,32,02,32,1,4,6,9,20,02,5,0,6,3,12,34,02,36,1,10,8,15,10,02,12
2020020439,2021-03-13,0,0,1,1,0,0,1,3,R,9807,0,786,0,5,112,1,898,1,777,0,0,269,2,1046,0,1038,0,0,112,6,1150,0,894,1,0,47,4,947,0,264,0,0,0,0,264,0,948,0,2,151,7,1150,1,945,0,0,154,0,1099,0,1006,0,2,50,2,1056,0,986,0,0,0,1,990,0,878,0,4,57,1,935,1,4,5,14,48,03,22,1,11,3,19,37,03,18,0,10,10,13,32,03,28,1,8,8,11,21,02,14,0,24,6,18,32,03,32,0,4,6,13,31,02,11,1,12,5,16,23,03,23,0,10,4,11,25,02,8,1,6,7,10,37,03,29,0,19,7,5,14,02,10,0,33,7,11,39,03,33,1,9,6,6,20,02,14,1,8,2,15,23,03,33,1,6,2,11,15,02,20,0,13,6,13,32,02,32,1,4,6,9,20,02,5,0,6,3,12,34,02,36,1,10,8,15,10,02,12,0,14,2,3,31,02,34,1,4,10,10,17,02,12
2020020423,2021-03-11,0,0,0,0,1,1,1,1,R,9805,1,777,0,0,269,2,1046,0,1038,0,0,112,6,1150,0,894,1,0,47,4,947,0,264,0,0,0,0,264,0,948,0,2,151,7,1150,1,945,0,0,154,0,1099,0,1006,0,2,50,2,1056,0,986,0,0,0,1,990,0,878,0,4,57,1,935,0,835,1,0,97,1,932,0,10,10,13,32,03,28,1,8,8,11,21,02,14,0,24,6,18,32,03,32,0,4,6,13,31,02,11,1,12,5,16,23,03,23,0,10,4,11,25,02,8,1,6,7,10,37,03,29,0,19,7,5,14,02,10,0,33,7,11,39,03,33,1,9,6,6,20,02,14,1,8,2,15,23,03,33,1,6,2,11,15,02,20,0,13,6,13,32,02,32,1,4,6,9,20,02,5,0,6,3,12,34,02,36,1,10,8,15,10,02,12,0,14,2,3,31,02,34,1,4,10,10,17,02,12,0,12,3,3,38,02,36,1,8,8,17,16,02,24
2020020411,2021-03-10,0,0,0,1,0,1,1,2,R,9804,0,1038,0,0,112,6,1150,0,894,1,0,47,4,947,0,264,0,0,0,0,264,0,948,0,2,151,7,1150,1,945,0,0,154,0,1099,0,1006,0,2,50,2,1056,0,986,0,0,0,1,990,0,878,0,4,57,1,935,0,835,1,0,97,1,932,0,835,1,0,75,1,910,0,24,6,18,32,03,32,0,4,6,13,31,02,11,1,12,5,16,23,03,23,0,10,4,11,25,02,8,1,6,7,10,37,03,29,0,19,7,5,14,02,10,0,33,7,11,39,03,33,1,9,6,6,20,02,14,1,8,2,15,23,03,33,1,6,2,11,15,02,20,0,13,6,13,32,02,32,1,4,6,9,20,02,5,0,6,3,12,34,02,36,1,10,8,15,10,02,12,0,14,2,3,31,02,34,1,4,10,10,17,02,12,0,12,3,3,38,02,36,1,8,8,17,16,02,24,0,12,8,2,17,02,42,1,8,5,16,18,02,13
2020020397,2021-03-08,0,1,1,1,0,0,0,6,R,9802,0,894,1,0,47,4,947,0,264,0,0,0,0,264,0,948,0,2,151,7,1150,1,945,0,0,154,0,1099,0,1006,0,2,50,2,1056,0,986,0,0,0,1,990,0,878,0,4,57,1,935,0,835,1,0,97,1,932,0,835,1,0,75,1,910,0,785,1,0,153,5,1024,1,12,5,16,23,03,23,0,10,4,11,25,02,8,1,6,7,10,37,03,29,0,19,7,5,14,02,10,0,33,7,11,39,03,33,1,9,6,6,20,02,14,1,8,2,15,23,03,33,1,6,2,11,15,02,20,0,13,6,13,32,02,32,1,4,6,9,20,02,5,0,6,3,12,34,02,36,1,10,8,15,10,02,12,0,14,2,3,31,02,34,1,4,10,10,17,02,12,0,12,3,3,38,02,36,1,8,8,17,16,02,24,0,12,8,2,17,02,42,1,8,5,16,18,02,13,0,23,4,2,20,02,33,0,4,4,12,15,02,12
2020020382,2021-03-06,1,1,1,1,0,0,0,4,R,9800,0,264,0,0,0,0,264,0,948,0,2,151,7,1150,1,945,0,0,154,0,1099,0,1006,0,2,50,2,1056,0,986,0,0,0,1,990,0,878,0,4,57,1,935,0,835,1,0,97,1,932,0,835,1,0,75,1,910,0,785,1,0,153,5,1024,0,760,2,2,160,4,920,1,6,7,10,37,03,29,0,19,7,5,14,02,10,0,33,7,11,39,03,33,1,9,6,6,20,02,14,1,8,2,15,23,03,33,1,6,2,11,15,02,20,0,13,6,13,32,02,32,1,4,6,9,20,02,5,0,6,3,12,34,02,36,1,10,8,15,10,02,12,0,14,2,3,31,02,34,1,4,10,10,17,02,12,0,12,3,3,38,02,36,1,8,8,17,16,02,24,0,12,8,2,17,02,42,1,8,5,16,18,02,13,0,23,4,2,20,02,33,0,4,4,12,15,02,12,1,15,0,15,18,02,21,1,4,2,12,19,02,13
2020020319,2021-02-25,0,0,0,0,1,1,1,0,R,9791,0,948,0,2,151,7,1150,1,945,0,0,154,0,1099,0,1006,0,2,50,2,1056,0,986,0,0,0,1,990,0,878,0,4,57,1,935,0,835,1,0,97,1,932,0,835,1,0,75,1,910,0,785,1,0,153,5,1024,0,760,2,2,160,4,920,1,801,0,0,0,3,812,0,33,7,11,39,03,33,1,9,6,6,20,02,14,1,8,2,15,23,03,33,1,6,2,11,15,02,20,0,13,6,13,32,02,32,1,4,6,9,20,02,5,0,6,3,12,34,02,36,1,10,8,15,10,02,12,0,14,2,3,31,02,34,1,4,10,10,17,02,12,0,12,3,3,38,02,36,1,8,8,17,16,02,24,0,12,8,2,17,02,42,1,8,5,16,18,02,13,0,23,4,2,20,02,33,0,4,4,12,15,02,12,1,15,0,15,18,02,21,1,4,2,12,19,02,13,1,16,4,17,17,02,37,1,2,9,12,21,02,11
2020020306,2021-02-23,0,1,1,1,0,0,0,7,R,9789,1,945,0,0,154,0,1099,0,1006,0,2,50,2,1056,0,986,0,0,0,1,990,0,878,0,4,57,1,935,0,835,1,0,97,1,932,0,835,1,0,75,1,910,0,785,1,0,153,5,1024,0,760,2,2,160,4,920,1,801,0,0,0,3,812,0,363,0,0,0,2,366,1,8,2,15,23,03,33,1,6,2,11,15,02,20,0,13,6,13,32,02,32,1,4,6,9,20,02,5,0,6,3,12,34,02,36,1,10,8,15,10,02,12,0,14,2,3,31,02,34,1,4,10,10,17,02,12,0,12,3,3,38,02,36,1,8,8,17,16,02,24,0,12,8,2,17,02,42,1,8,5,16,18,02,13,0,23,4,2,20,02,33,0,4,4,12,15,02,12,1,15,0,15,18,02,21,1,4,2,12,19,02,13,1,16,4,17,17,02,37,1,2,9,12,21,02,11,1,6,3,19,26,02,40,0,9,10,2,17,02,15
2020020293,2021-02-21,0,0,0,0,1,1,1,0,R,9787,0,1006,0,2,50,2,1056,0,986,0,0,0,1,990,0,878,0,4,57,1,935,0,835,1,0,97,1,932,0,835,1,0,75,1,910,0,785,1,0,153,5,1024,0,760,2,2,160,4,920,1,801,0,0,0,3,812,0,363,0,0,0,2,366,0,853,1,0,51,1,904,0,13,6,13,32,02,32,1,4,6,9,20,02,5,0,6,3,12,34,02,36,1,10,8,15,10,02,12,0,14,2,3,31,02,34,1,4,10,10,17,02,12,0,12,3,3,38,02,36,1,8,8,17,16,02,24,0,12,8,2,17,02,42,1,8,5,16,18,02,13,0,23,4,2,20,02,33,0,4,4,12,15,02,12,1,15,0,15,18,02,21,1,4,2,12,19,02,13,1,16,4,17,17,02,37,1,2,9,12,21,02,11,1,6,3,19,26,02,40,0,9,10,2,17,02,15,1,6,5,17,20,02,33,0,12,3,9,21,02,13
