game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020466,2021-03-17,1,0,1,1,0,0,1,3,L,11805,1,885,1,2,135,2,1020,2,945,1,0,66,4,1011,1,854,0,0,271,3,1125,0,1062,0,0,131,3,1193,0,900,0,0,196,5,1108,1,860,0,0,105,5,965,1,864,2,0,261,5,1138,1,744,0,0,159,6,903,1,1043,2,0,128,8,1171,0,916,0,0,176,5,1092,0,8,0,7,30,03,38,0,10,7,5,23,02,10,0,14,9,6,27,03,26,0,6,5,5,8,02,10,1,4,6,16,35,03,34,0,10,2,1,12,02,8,1,4,7,18,38,03,39,0,8,4,2,7,02,12,0,8,11,12,32,03,26,0,12,3,2,15,02,10,0,6,8,13,40,03,49,0,10,8,6,14,02,14,1,2,5,18,39,03,39,0,8,4,1,15,02,18,1,2,5,21,54,03,39,0,6,4,12,31,02,13,1,12,8,15,38,03,40,0,10,6,14,31,02,17,0,10,5,24,39,03,34,0,8,0,3,20,02,7
2020020455,2021-03-15,1,0,0,1,0,1,1,2,L,11803,2,945,1,0,66,4,1011,1,854,0,0,271,3,1125,0,1062,0,0,131,3,1193,0,900,0,0,196,5,1108,1,860,0,0,105,5,965,1,864,2,0,261,5,1138,1,744,0,0,159,6,903,1,1043,2,0,128,8,1171,0,916,0,0,176,5,1092,0,892,0,0,103,3,995,0,14,9,6,27,03,26,0,6,5,5,8,02,10,1,4,6,16,35,03,34,0,10,2,1,12,02,8,1,4,7,18,38,03,39,0,8,4,2,7,02,12,0,8,11,12,32,03,26,0,12,3,2,15,02,10,0,6,8,13,40,03,49,0,10,8,6,14,02,14,1,2,5,18,39,03,39,0,8,4,1,15,02,18,1,2,5,21,54,03,39,0,6,4,12,31,02,13,1,12,8,15,38,03,40,0,10,6,14,31,02,17,0,10,5,24,39,03,34,0,8,0,3,20,02,7,0,10,15,21,39,03,33,0,14,3,5,23,02,5
2020020437,2021-03-13,0,1,1,1,0,0,0,4,L,11801,1,854,0,0,271,3,1125,0,1062,0,0,131,3,1193,0,900,0,0,196,5,1108,1,860,0,0,105,5,965,1,864,2,0,261,5,1138,1,744,0,0,159,6,903,1,1043,2,0,128,8,1171,0,916,0,0,176,5,1092,0,892,0,0,103,3,995,0,943,0,0,201,5,1144,1,4,6,16,35,03,34,0,10,2,1,12,02,8,1,4,7,18,38,03,39,0,8,4,2,7,02,12,0,8,11,12,32,03,26,0,12,3,2,15,02,10,0,6,8,13,40,03,49,0,10,8,6,14,02,14,1,2,5,18,39,03,39,0,8,4,1,15,02,18,1,2,5,21,54,03,39,0,6,4,12,31,02,13,1,12,8,15,38,03,40,0,10,6,14,31,02,17,0,10,5,24,39,03,34,0,8,0,3,20,02,7,0,10,15,21,39,03,33,0,14,3,5,23,02,5,1,10,1,15,31,03,43,1,2,10,9,18,02,16
2020020425,2021-03-12,0,0,1,1,0,0,1,3,L,11800,0,1062,0,0,131,3,1193,0,900,0,0,196,5,1108,1,860,0,0,105,5,965,1,864,2,0,261,5,1138,1,744,0,0,159,6,903,1,1043,2,0,128,8,1171,0,916,0,0,176,5,1092,0,892,0,0,103,3,995,0,943,0,0,201,5,1144,0,1066,1,0,80,4,1147,1,4,7,18,38,03,39,0,8,4,2,7,02,12,0,8,11,12,32,03,26,0,12,3,2,15,02,10,0,6,8,13,40,03,49,0,10,8,6,14,02,14,1,2,5,18,39,03,39,0,8,4,1,15,02,18,1,2,5,21,54,03,39,0,6,4,12,31,02,13,1,12,8,15,38,03,40,0,10,6,14,31,02,17,0,10,5,24,39,03,34,0,8,0,3,20,02,7,0,10,15,21,39,03,33,0,14,3,5,23,02,5,1,10,1,15,31,03,43,1,2,10,9,18,02,16,0,20,2,14,43,03,48,0,8,2,18,31,02,17
2020020412,2021-03-10,0,0,1,1,0,0,1,3,L,11798,0,900,0,0,196,5,1108,1,860,0,0,105,5,965,1,864,2,0,261,5,1138,1,744,0,0,159,6,903,1,1043,2,0,128,8,1171,0,916,0,0,176,5,1092,0,892,0,0,103,3,995,0,943,0,0,201,5,1144,0,1066,1,0,80,4,1147,0,892,1,0,194,4,1086,0,8,11,12,32,03,26,0,12,3,2,15,02,10,0,6,8,13,40,03,49,0,10,8,6,14,02,14,1,2,5,18,39,03,39,0,8,4,1,15,02,18,1,2,5,21,54,03,39,0,6,4,12,31,02,13,1,12,8,15,38,03,40,0,10,6,14,31,02,17,0,10,5,24,39,03,34,0,8,0,3,20,02,7,0,10,15,21,39,03,33,0,14,3,5,23,02,5,1,10,1,15,31,03,43,1,2,10,9,18,02,16,0,20,2,14,43,03,48,0,8,2,18,31,02,17,1,16,9,11,45,03,36,0,8,13,6,17,02,17
2020020398,2021-03-08,0,1,1,1,0,0,0,5,L,11796,1,860,0,0,105,5,965,1,864,2,0,261,5,1138,1,744,0,0,159,6,903,1,1043,2,0,128,8,1171,0,916,0,0,176,5,1092,0,892,0,0,103,3,995,0,943,0,0,201,5,1144,0,1066,1,0,80,4,1147,0,892,1,0,194,4,1086,0,801,0,0,233,3,1047,0,6,8,13,40,03,49,0,10,8,6,14,02,14,1,2,5,18,39,03,39,0,8,4,1,15,02,18,1,2,5,21,54,03,39,0,6,4,12,31,02,13,1,12,8,15,38,03,40,0,10,6,14,31,02,17,0,10,5,24,39,03,34,0,8,0,3,20,02,7,0,10,15,21,39,03,33,0,14,3,5,23,02,5,1,10,1,15,31,03,43,1,2,10,9,18,02,16,0,20,2,14,43,03,48,0,8,2,18,31,02,17,1,16,9,11,45,03,36,0,8,13,6,17,02,17,1,4,7,22,47,03,25,1,11,8,6,21,02,9
2020020389,2021-03-06,0,1,1,1,0,0,0,5,L,11794,1,864,2,0,261,5,1138,1,744,0,0,159,6,903,1,1043,2,0,128,8,1171,0,916,0,0,176,5,1092,0,892,0,0,103,3,995,0,943,0,0,201,5,1144,0,1066,1,0,80,4,1147,0,892,1,0,194,4,1086,0,801,0,0,233,3,1047,0,964,0,0,105,2,1069,1,2,5,18,39,03,39,0,8,4,1,15,02,18,1,2,5,21,54,03,39,0,6,4,12,31,02,13,1,12,8,15,38,03,40,0,10,6,14,31,02,17,0,10,5,24,39,03,34,0,8,0,3,20,02,7,0,10,15,21,39,03,33,0,14,3,5,23,02,5,1,10,1,15,31,03,43,1,2,10,9,18,02,16,0,20,2,14,43,03,48,0,8,2,18,31,02,17,1,16,9,11,45,03,36,0,8,13,6,17,02,17,1,4,7,22,47,03,25,1,11,8,6,21,02,9,1,4,8,10,55,03,32,1,6,10,8,19,02,12
2020020380,2021-03-05,0,1,1,1,0,0,0,5,L,11793,1,744,0,0,159,6,903,1,1043,2,0,128,8,1171,0,916,0,0,176,5,1092,0,892,0,0,103,3,995,0,943,0,0,201,5,1144,0,1066,1,0,80,4,1147,0,892,1,0,194,4,1086,0,801,0,0,233,3,1047,0,964,0,0,105,2,1069,0,988,0,0,53,4,1041,1,2,5,21,54,03,39,0,6,4,12,31,02,13,1,12,8,15,38,03,40,0,10,6,14,31,02,17,0,10,5,24,39,03,34,0,8,0,3,20,02,7,0,10,15,21,39,03,33,0,14,3,5,23,02,5,1,10,1,15,31,03,43,1,2,10,9,18,02,16,0,20,2,14,43,03,48,0,8,2,18,31,02,17,1,16,9,11,45,03,36,0,8,13,6,17,02,17,1,4,7,22,47,03,25,1,11,8,6,21,02,9,1,4,8,10,55,03,32,1,6,10,8,19,02,12,0,2,6,12,42,03,40,1,10,11,8,13,02,13
2020020361,2021-03-03,1,1,1,1,0,0,0,6,L,11791,1,1043,2,0,128,8,1171,0,916,0,0,176,5,1092,0,892,0,0,103,3,995,0,943,0,0,201,5,1144,0,1066,1,0,80,4,1147,0,892,1,0,194,4,1086,0,801,0,0,233,3,1047,0,964,0,0,105,2,1069,0,988,0,0,53,4,1041,1,779,0,0,131,2,910,1,12,8,15,38,03,40,0,10,6,14,31,02,17,0,10,5,24,39,03,34,0,8,0,3,20,02,7,0,10,15,21,39,03,33,0,14,3,5,23,02,5,1,10,1,15,31,03,43,1,2,10,9,18,02,16,0,20,2,14,43,03,48,0,8,2,18,31,02,17,1,16,9,11,45,03,36,0,8,13,6,17,02,17,1,4,7,22,47,03,25,1,11,8,6,21,02,9,1,4,8,10,55,03,32,1,6,10,8,19,02,12,0,2,6,12,42,03,40,1,10,11,8,13,02,13,0,8,7,22,31,03,33,1,14,8,15,15,02,22
2020020351,2021-03-01,1,1,1,1,0,0,0,8,L,11789,0,916,0,0,176,5,1092,0,892,0,0,103,3,995,0,943,0,0,201,5,1144,0,1066,1,0,80,4,1147,0,892,1,0,194,4,1086,0,801,0,0,233,3,1047,0,964,0,0,105,2,1069,0,988,0,0,53,4,1041,1,779,0,0,131,2,910,3,834,0,0,201,7,1035,0,10,5,24,39,03,34,0,8,0,3,20,02,7,0,10,15,21,39,03,33,0,14,3,5,23,02,5,1,10,1,15,31,03,43,1,2,10,9,18,02,16,0,20,2,14,43,03,48,0,8,2,18,31,02,17,1,16,9,11,45,03,36,0,8,13,6,17,02,17,1,4,7,22,47,03,25,1,11,8,6,21,02,9,1,4,8,10,55,03,32,1,6,10,8,19,02,12,0,2,6,12,42,03,40,1,10,11,8,13,02,13,0,8,7,22,31,03,33,1,14,8,15,15,02,22,1,12,7,17,47,03,36,1,13,11,7,18,02,18
