game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020474,2021-03-18,1,0,0,1,0,1,1,2,C,10202,1,748,1,0,271,3,1114,0,921,0,0,120,3,1239,1,764,0,0,376,1,1200,1,729,0,0,397,2,1227,1,788,0,0,319,3,1173,0,774,0,0,323,2,1187,0,785,0,0,236,1,1175,0,1028,1,2,0,3,1224,0,837,0,4,267,2,1152,0,1140,0,0,0,2,1140,1,8,8,19,27,03,35,1,14,6,16,39,03,12,0,14,4,6,15,03,28,0,4,6,12,21,03,18,0,6,10,11,26,03,45,0,9,7,24,30,03,21,1,4,4,10,18,02,31,0,9,13,17,34,03,18,1,20,8,12,37,02,46,0,8,3,9,44,03,10,1,4,6,16,32,02,35,1,8,7,7,37,03,22,1,10,3,8,17,02,26,1,14,8,20,38,03,26,0,4,4,6,25,02,22,0,4,8,21,45,03,15,0,4,2,8,34,02,32,1,4,4,14,50,03,9,0,4,4,5,20,02,38,0,10,5,11,22,02,18
2020020465,2021-03-17,0,0,1,1,0,0,1,3,C,10201,0,921,0,0,120,3,1239,1,764,0,0,376,1,1200,1,729,0,0,397,2,1227,1,788,0,0,319,3,1173,0,774,0,0,323,2,1187,0,785,0,0,236,1,1175,0,1028,1,2,0,3,1224,0,837,0,4,267,2,1152,0,1140,0,0,0,2,1140,1,769,0,0,507,2,1544,0,14,4,6,15,03,28,0,4,6,12,21,03,18,0,6,10,11,26,03,45,0,9,7,24,30,03,21,1,4,4,10,18,02,31,0,9,13,17,34,03,18,1,20,8,12,37,02,46,0,8,3,9,44,03,10,1,4,6,16,32,02,35,1,8,7,7,37,03,22,1,10,3,8,17,02,26,1,14,8,20,38,03,26,0,4,4,6,25,02,22,0,4,8,21,45,03,15,0,4,2,8,34,02,32,1,4,4,14,50,03,9,0,4,4,5,20,02,38,0,10,5,11,22,02,18,0,10,8,6,17,02,26,1,8,8,7,16,02,14
2020020454,2021-03-15,0,0,1,1,0,0,1,3,C,10199,1,764,0,0,376,1,1200,1,729,0,0,397,2,1227,1,788,0,0,319,3,1173,0,774,0,0,323,2,1187,0,785,0,0,236,1,1175,0,1028,1,2,0,3,1224,0,837,0,4,267,2,1152,0,1140,0,0,0,2,1140,1,769,0,0,507,2,1544,0,948,0,0,341,2,1396,0,6,10,11,26,03,45,0,9,7,24,30,03,21,1,4,4,10,18,02,31,0,9,13,17,34,03,18,1,20,8,12,37,02,46,0,8,3,9,44,03,10,1,4,6,16,32,02,35,1,8,7,7,37,03,22,1,10,3,8,17,02,26,1,14,8,20,38,03,26,0,4,4,6,25,02,22,0,4,8,21,45,03,15,0,4,2,8,34,02,32,1,4,4,14,50,03,9,0,4,4,5,20,02,38,0,10,5,11,22,02,18,0,10,8,6,17,02,26,1,8,8,7,16,02,14,1,8,7,23,18,02,29,1,8,5,17,10,02,8
2020020440,2021-03-13,0,0,0,0,1,1,1,1,C,10197,1,729,0,0,397,2,1227,1,788,0,0,319,3,1173,0,774,0,0,323,2,1187,0,785,0,0,236,1,1175,0,1028,1,2,0,3,1224,0,837,0,4,267,2,1152,0,1140,0,0,0,2,1140,1,769,0,0,507,2,1544,0,948,0,0,341,2,1396,1,546,2,0,244,2,1005,1,4,4,10,18,02,31,0,9,13,17,34,03,18,1,20,8,12,37,02,46,0,8,3,9,44,03,10,1,4,6,16,32,02,35,1,8,7,7,37,03,22,1,10,3,8,17,02,26,1,14,8,20,38,03,26,0,4,4,6,25,02,22,0,4,8,21,45,03,15,0,4,2,8,34,02,32,1,4,4,14,50,03,9,0,4,4,5,20,02,38,0,10,5,11,22,02,18,0,10,8,6,17,02,26,1,8,8,7,16,02,14,1,8,7,23,18,02,29,1,8,5,17,10,02,8,1,4,9,10,19,02,31,1,8,7,12,13,02,3
2020020426,2021-03-12,1,0,0,1,0,1,1,2,C,10196,1,788,0,0,319,3,1173,0,774,0,0,323,2,1187,0,785,0,0,236,1,1175,0,1028,1,2,0,3,1224,0,837,0,4,267,2,1152,0,1140,0,0,0,2,1140,1,769,0,0,507,2,1544,0,948,0,0,341,2,1396,1,546,2,0,244,2,1005,0,965,0,0,184,0,1294,1,20,8,12,37,02,46,0,8,3,9,44,03,10,1,4,6,16,32,02,35,1,8,7,7,37,03,22,1,10,3,8,17,02,26,1,14,8,20,38,03,26,0,4,4,6,25,02,22,0,4,8,21,45,03,15,0,4,2,8,34,02,32,1,4,4,14,50,03,9,0,4,4,5,20,02,38,0,10,5,11,22,02,18,0,10,8,6,17,02,26,1,8,8,7,16,02,14,1,8,7,23,18,02,29,1,8,5,17,10,02,8,1,4,9,10,19,02,31,1,8,7,12,13,02,3,1,10,6,9,14,02,31,1,4,10,10,17,02,9
2020020410,2021-03-10,1,0,1,1,0,0,1,3,C,10194,0,774,0,0,323,2,1187,0,785,0,0,236,1,1175,0,1028,1,2,0,3,1224,0,837,0,4,267,2,1152,0,1140,0,0,0,2,1140,1,769,0,0,507,2,1544,0,948,0,0,341,2,1396,1,546,2,0,244,2,1005,0,965,0,0,184,0,1294,2,728,0,4,544,5,1408,1,4,6,16,32,02,35,1,8,7,7,37,03,22,1,10,3,8,17,02,26,1,14,8,20,38,03,26,0,4,4,6,25,02,22,0,4,8,21,45,03,15,0,4,2,8,34,02,32,1,4,4,14,50,03,9,0,4,4,5,20,02,38,0,10,5,11,22,02,18,0,10,8,6,17,02,26,1,8,8,7,16,02,14,1,8,7,23,18,02,29,1,8,5,17,10,02,8,1,4,9,10,19,02,31,1,8,7,12,13,02,3,1,10,6,9,14,02,31,1,4,10,10,17,02,9,1,10,8,20,22,02,25,0,13,5,9,26,02,17
2020020396,2021-03-08,1,0,0,1,0,1,1,2,C,10192,0,785,0,0,236,1,1175,0,1028,1,2,0,3,1224,0,837,0,4,267,2,1152,0,1140,0,0,0,2,1140,1,769,0,0,507,2,1544,0,948,0,0,341,2,1396,1,546,2,0,244,2,1005,0,965,0,0,184,0,1294,2,728,0,4,544,5,1408,0,1053,2,0,164,7,1365,1,10,3,8,17,02,26,1,14,8,20,38,03,26,0,4,4,6,25,02,22,0,4,8,21,45,03,15,0,4,2,8,34,02,32,1,4,4,14,50,03,9,0,4,4,5,20,02,38,0,10,5,11,22,02,18,0,10,8,6,17,02,26,1,8,8,7,16,02,14,1,8,7,23,18,02,29,1,8,5,17,10,02,8,1,4,9,10,19,02,31,1,8,7,12,13,02,3,1,10,6,9,14,02,31,1,4,10,10,17,02,9,1,10,8,20,22,02,25,0,13,5,9,26,02,17,0,8,3,11,12,02,32,0,14,6,14,23,02,22
2020020383,2021-03-06,1,0,0,0,1,1,1,1,C,10190,0,1028,1,2,0,3,1224,0,837,0,4,267,2,1152,0,1140,0,0,0,2,1140,1,769,0,0,507,2,1544,0,948,0,0,341,2,1396,1,546,2,0,244,2,1005,0,965,0,0,184,0,1294,2,728,0,4,544,5,1408,0,1053,2,0,164,7,1365,0,903,0,0,214,3,1153,0,4,4,6,25,02,22,0,4,8,21,45,03,15,0,4,2,8,34,02,32,1,4,4,14,50,03,9,0,4,4,5,20,02,38,0,10,5,11,22,02,18,0,10,8,6,17,02,26,1,8,8,7,16,02,14,1,8,7,23,18,02,29,1,8,5,17,10,02,8,1,4,9,10,19,02,31,1,8,7,12,13,02,3,1,10,6,9,14,02,31,1,4,10,10,17,02,9,1,10,8,20,22,02,25,0,13,5,9,26,02,17,0,8,3,11,12,02,32,0,14,6,14,23,02,22,0,14,4,14,23,02,35,0,8,2,10,15,02,13
2020020360,2021-03-03,1,0,1,1,0,0,1,3,C,10187,0,837,0,4,267,2,1152,0,1140,0,0,0,2,1140,1,769,0,0,507,2,1544,0,948,0,0,341,2,1396,1,546,2,0,244,2,1005,0,965,0,0,184,0,1294,2,728,0,4,544,5,1408,0,1053,2,0,164,7,1365,0,903,0,0,214,3,1153,0,882,0,0,120,2,1118,0,4,2,8,34,02,32,1,4,4,14,50,03,9,0,4,4,5,20,02,38,0,10,5,11,22,02,18,0,10,8,6,17,02,26,1,8,8,7,16,02,14,1,8,7,23,18,02,29,1,8,5,17,10,02,8,1,4,9,10,19,02,31,1,8,7,12,13,02,3,1,10,6,9,14,02,31,1,4,10,10,17,02,9,1,10,8,20,22,02,25,0,13,5,9,26,02,17,0,8,3,11,12,02,32,0,14,6,14,23,02,22,0,14,4,14,23,02,35,0,8,2,10,15,02,13,0,4,5,7,28,02,22,0,4,4,7,15,02,10
2020020350,2021-03-01,1,0,0,1,0,1,1,2,C,10185,0,1140,0,0,0,2,1140,1,769,0,0,507,2,1544,0,948,0,0,341,2,1396,1,546,2,0,244,2,1005,0,965,0,0,184,0,1294,2,728,0,4,544,5,1408,0,1053,2,0,164,7,1365,0,903,0,0,214,3,1153,0,882,0,0,120,2,1118,0,858,0,2,300,3,1192,0,4,4,5,20,02,38,0,10,5,11,22,02,18,0,10,8,6,17,02,26,1,8,8,7,16,02,14,1,8,7,23,18,02,29,1,8,5,17,10,02,8,1,4,9,10,19,02,31,1,8,7,12,13,02,3,1,10,6,9,14,02,31,1,4,10,10,17,02,9,1,10,8,20,22,02,25,0,13,5,9,26,02,17,0,8,3,11,12,02,32,0,14,6,14,23,02,22,0,14,4,14,23,02,35,0,8,2,10,15,02,13,0,4,5,7,28,02,22,0,4,4,7,15,02,10,0,6,2,15,26,02,31,0,6,3,20,15,02,8
