game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020466,2021-03-17,0,0,0,0,1,1,1,1,R,8926,0,1047,1,0,0,2,1060,0,844,0,0,205,2,1057,1,897,1,0,55,3,952,1,679,0,0,280,2,959,0,940,0,0,116,1,1102,3,807,0,0,213,2,1020,1,940,2,0,168,4,1108,1,837,0,0,152,2,1034,0,887,0,2,0,3,887,0,952,0,2,66,5,1018,0,10,7,5,23,02,34,0,8,0,7,30,03,7,0,6,5,5,8,02,26,0,14,9,6,27,03,23,0,10,2,1,12,02,38,1,4,6,16,35,03,18,0,8,4,2,7,02,29,1,4,7,18,38,03,27,0,12,3,2,15,02,36,0,8,11,12,32,03,15,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22
2020020455,2021-03-15,0,0,0,1,0,1,1,2,R,8924,0,844,0,0,205,2,1057,1,897,1,0,55,3,952,1,679,0,0,280,2,959,0,940,0,0,116,1,1102,3,807,0,0,213,2,1020,1,940,2,0,168,4,1108,1,837,0,0,152,2,1034,0,887,0,2,0,3,887,0,952,0,2,66,5,1018,1,932,0,2,75,5,1007,0,6,5,5,8,02,26,0,14,9,6,27,03,23,0,10,2,1,12,02,38,1,4,6,16,35,03,18,0,8,4,2,7,02,29,1,4,7,18,38,03,27,0,12,3,2,15,02,36,0,8,11,12,32,03,15,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16
2020020441,2021-03-13,0,0,0,1,0,1,1,2,R,8922,1,897,1,0,55,3,952,1,679,0,0,280,2,959,0,940,0,0,116,1,1102,3,807,0,0,213,2,1020,1,940,2,0,168,4,1108,1,837,0,0,152,2,1034,0,887,0,2,0,3,887,0,952,0,2,66,5,1018,1,932,0,2,75,5,1007,0,857,0,0,91,1,948,0,10,2,1,12,02,38,1,4,6,16,35,03,18,0,8,4,2,7,02,29,1,4,7,18,38,03,27,0,12,3,2,15,02,36,0,8,11,12,32,03,15,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13
2020020429,2021-03-12,0,0,1,1,0,0,1,3,R,8921,1,679,0,0,280,2,959,0,940,0,0,116,1,1102,3,807,0,0,213,2,1020,1,940,2,0,168,4,1108,1,837,0,0,152,2,1034,0,887,0,2,0,3,887,0,952,0,2,66,5,1018,1,932,0,2,75,5,1007,0,857,0,0,91,1,948,0,821,0,0,0,5,821,0,8,4,2,7,02,29,1,4,7,18,38,03,27,0,12,3,2,15,02,36,0,8,11,12,32,03,15,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12
2020020380,2021-03-05,1,0,0,1,0,1,1,2,R,8914,0,940,0,0,116,1,1102,3,807,0,0,213,2,1020,1,940,2,0,168,4,1108,1,837,0,0,152,2,1034,0,887,0,2,0,3,887,0,952,0,2,66,5,1018,1,932,0,2,75,5,1007,0,857,0,0,91,1,948,0,821,0,0,0,5,821,0,1075,1,2,41,4,1116,0,12,3,2,15,02,36,0,8,11,12,32,03,15,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15
2020020363,2021-03-03,1,0,0,0,1,1,1,1,R,8912,3,807,0,0,213,2,1020,1,940,2,0,168,4,1108,1,837,0,0,152,2,1034,0,887,0,2,0,3,887,0,952,0,2,66,5,1018,1,932,0,2,75,5,1007,0,857,0,0,91,1,948,0,821,0,0,0,5,821,0,1075,1,2,41,4,1116,0,802,0,2,75,4,877,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15,0,8,13,6,17,02,27,1,4,7,22,47,03,18
2020020353,2021-03-01,1,0,0,1,0,1,1,2,R,8910,1,940,2,0,168,4,1108,1,837,0,0,152,2,1034,0,887,0,2,0,3,887,0,952,0,2,66,5,1018,1,932,0,2,75,5,1007,0,857,0,0,91,1,948,0,821,0,0,0,5,821,0,1075,1,2,41,4,1116,0,802,0,2,75,4,877,0,668,0,0,152,1,820,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15,0,8,13,6,17,02,27,1,4,7,22,47,03,18,1,11,8,6,21,02,33,1,4,8,10,55,03,11
2020020339,2021-02-27,1,1,1,1,0,0,0,4,R,8908,1,837,0,0,152,2,1034,0,887,0,2,0,3,887,0,952,0,2,66,5,1018,1,932,0,2,75,5,1007,0,857,0,0,91,1,948,0,821,0,0,0,5,821,0,1075,1,2,41,4,1116,0,802,0,2,75,4,877,0,668,0,0,152,1,820,0,752,0,0,152,2,904,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15,0,8,13,6,17,02,27,1,4,7,22,47,03,18,1,11,8,6,21,02,33,1,4,8,10,55,03,11,1,6,10,8,19,02,40,0,2,6,12,42,03,16
2020020743,2021-02-22,1,0,0,1,0,1,1,2,R,8903,0,887,0,2,0,3,887,0,952,0,2,66,5,1018,1,932,0,2,75,5,1007,0,857,0,0,91,1,948,0,821,0,0,0,5,821,0,1075,1,2,41,4,1116,0,802,0,2,75,4,877,0,668,0,0,152,1,820,0,752,0,0,152,2,904,1,621,0,0,163,3,784,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15,0,8,13,6,17,02,27,1,4,7,22,47,03,18,1,11,8,6,21,02,33,1,4,8,10,55,03,11,1,6,10,8,19,02,40,0,2,6,12,42,03,16,1,10,11,8,13,02,27,0,8,7,22,31,03,14
2020020283,2021-02-20,0,0,1,1,0,0,1,3,R,8901,0,952,0,2,66,5,1018,1,932,0,2,75,5,1007,0,857,0,0,91,1,948,0,821,0,0,0,5,821,0,1075,1,2,41,4,1116,0,802,0,2,75,4,877,0,668,0,0,152,1,820,0,752,0,0,152,2,904,1,621,0,0,163,3,784,1,689,0,0,134,5,823,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15,0,8,13,6,17,02,27,1,4,7,22,47,03,18,1,11,8,6,21,02,33,1,4,8,10,55,03,11,1,6,10,8,19,02,40,0,2,6,12,42,03,16,1,10,11,8,13,02,27,0,8,7,22,31,03,14,1,14,8,15,15,02,26,1,12,7,17,47,03,22
