game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020443,2021-03-14,0,1,1,1,0,0,0,5,C,11133,0,825,0,0,198,2,1023,1,942,0,0,65,0,1007,1,1008,0,0,93,3,1101,0,1022,1,0,76,2,1098,0,1123,0,0,157,3,1280,1,776,1,0,204,3,980,0,948,0,0,215,3,1175,2,1063,0,0,24,5,1087,0,920,0,0,213,2,1141,0,770,0,0,606,3,1376,1,10,3,11,18,03,39,1,14,6,16,39,03,12,0,6,6,12,19,03,36,0,4,6,12,21,03,18,0,13,6,17,20,03,53,0,9,7,24,30,03,21,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18
2020020438,2021-03-13,1,0,0,1,0,1,1,2,C,11132,1,942,0,0,65,0,1007,1,1008,0,0,93,3,1101,0,1022,1,0,76,2,1098,0,1123,0,0,157,3,1280,1,776,1,0,204,3,980,0,948,0,0,215,3,1175,2,1063,0,0,24,5,1087,0,920,0,0,213,2,1141,0,770,0,0,606,3,1376,1,896,0,0,78,1,974,0,6,6,12,19,03,36,0,4,6,12,21,03,18,0,13,6,17,20,03,53,0,9,7,24,30,03,21,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14
2020020422,2021-03-11,1,0,0,0,1,1,1,0,C,11130,1,1008,0,0,93,3,1101,0,1022,1,0,76,2,1098,0,1123,0,0,157,3,1280,1,776,1,0,204,3,980,0,948,0,0,215,3,1175,2,1063,0,0,24,5,1087,0,920,0,0,213,2,1141,0,770,0,0,606,3,1376,1,896,0,0,78,1,974,0,954,1,0,30,1,984,0,13,6,17,20,03,53,0,9,7,24,30,03,21,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8
2020020408,2021-03-09,1,0,1,1,0,0,1,3,C,11128,0,1022,1,0,76,2,1098,0,1123,0,0,157,3,1280,1,776,1,0,204,3,980,0,948,0,0,215,3,1175,2,1063,0,0,24,5,1087,0,920,0,0,213,2,1141,0,770,0,0,606,3,1376,1,896,0,0,78,1,974,0,954,1,0,30,1,984,0,898,0,0,159,4,1057,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17
2020020384,2021-03-06,0,0,0,1,0,1,1,2,C,11125,0,1123,0,0,157,3,1280,1,776,1,0,204,3,980,0,948,0,0,215,3,1175,2,1063,0,0,24,5,1087,0,920,0,0,213,2,1141,0,770,0,0,606,3,1376,1,896,0,0,78,1,974,0,954,1,0,30,1,984,0,898,0,0,159,4,1057,1,950,0,0,99,3,1049,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22
2020020371,2021-03-04,0,0,1,1,0,0,1,3,C,11123,1,776,1,0,204,3,980,0,948,0,0,215,3,1175,2,1063,0,0,24,5,1087,0,920,0,0,213,2,1141,0,770,0,0,606,3,1376,1,896,0,0,78,1,974,0,954,1,0,30,1,984,0,898,0,0,159,4,1057,1,950,0,0,99,3,1049,0,1033,0,0,28,4,1061,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13
2020020360,2021-03-03,0,0,1,1,0,0,1,3,C,11122,0,948,0,0,215,3,1175,2,1063,0,0,24,5,1087,0,920,0,0,213,2,1141,0,770,0,0,606,3,1376,1,896,0,0,78,1,974,0,954,1,0,30,1,984,0,898,0,0,159,4,1057,1,950,0,0,99,3,1049,0,1033,0,0,28,4,1061,2,778,0,0,150,3,928,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10
2020020350,2021-03-01,0,0,1,1,0,0,1,3,C,11120,2,1063,0,0,24,5,1087,0,920,0,0,213,2,1141,0,770,0,0,606,3,1376,1,896,0,0,78,1,974,0,954,1,0,30,1,984,0,898,0,0,159,4,1057,1,950,0,0,99,3,1049,0,1033,0,0,28,4,1061,2,778,0,0,150,3,928,0,921,0,0,184,3,1105,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8
2020020335,2021-02-27,0,1,1,1,0,0,0,5,C,11118,0,920,0,0,213,2,1141,0,770,0,0,606,3,1376,1,896,0,0,78,1,974,0,954,1,0,30,1,984,0,898,0,0,159,4,1057,1,950,0,0,99,3,1049,0,1033,0,0,28,4,1061,2,778,0,0,150,3,928,0,921,0,0,184,3,1105,1,814,0,0,136,1,950,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18
2020020310,2021-02-24,1,0,0,1,0,1,1,2,C,11115,0,770,0,0,606,3,1376,1,896,0,0,78,1,974,0,954,1,0,30,1,984,0,898,0,0,159,4,1057,1,950,0,0,99,3,1049,0,1033,0,0,28,4,1061,2,778,0,0,150,3,928,0,921,0,0,184,3,1105,1,814,0,0,136,1,950,0,818,1,2,106,4,924,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18,1,0,5,13,16,02,22,1,4,9,18,17,02,10
