game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020443,2021-03-14,0,1,1,1,0,0,0,4,D,9867,0,1174,0,2,105,2,1327,2,1421,0,0,73,2,1494,1,1403,0,0,143,1,1546,0,1411,0,0,94,1,1505,0,1403,0,0,157,2,1560,1,1087,0,0,204,0,1291,1,1083,1,2,202,4,1285,0,1431,0,0,24,2,1455,0,1207,0,0,284,2,1534,0,1029,0,0,595,3,1655,1,10,3,11,18,03,39,1,14,6,16,39,03,12,0,6,6,12,19,03,36,0,4,6,12,21,03,18,0,13,6,17,20,03,53,0,9,7,24,30,03,21,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18
2020020438,2021-03-13,1,0,0,1,0,1,1,2,D,9866,2,1421,0,0,73,2,1494,1,1403,0,0,143,1,1546,0,1411,0,0,94,1,1505,0,1403,0,0,157,2,1560,1,1087,0,0,204,0,1291,1,1083,1,2,202,4,1285,0,1431,0,0,24,2,1455,0,1207,0,0,284,2,1534,0,1029,0,0,595,3,1655,2,1177,0,0,160,1,1413,0,6,6,12,19,03,36,0,4,6,12,21,03,18,0,13,6,17,20,03,53,0,9,7,24,30,03,21,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14
2020020422,2021-03-11,1,0,0,1,0,1,1,2,D,9864,1,1403,0,0,143,1,1546,0,1411,0,0,94,1,1505,0,1403,0,0,157,2,1560,1,1087,0,0,204,0,1291,1,1083,1,2,202,4,1285,0,1431,0,0,24,2,1455,0,1207,0,0,284,2,1534,0,1029,0,0,595,3,1655,2,1177,0,0,160,1,1413,2,941,0,0,229,2,1217,0,13,6,17,20,03,53,0,9,7,24,30,03,21,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8
2020020408,2021-03-09,1,0,0,0,1,1,1,1,D,9862,0,1411,0,0,94,1,1505,0,1403,0,0,157,2,1560,1,1087,0,0,204,0,1291,1,1083,1,2,202,4,1285,0,1431,0,0,24,2,1455,0,1207,0,0,284,2,1534,0,1029,0,0,595,3,1655,2,1177,0,0,160,1,1413,2,941,0,0,229,2,1217,0,1053,0,0,162,3,1224,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17
2020020384,2021-03-06,0,0,0,0,1,1,1,1,D,9859,0,1403,0,0,157,2,1560,1,1087,0,0,204,0,1291,1,1083,1,2,202,4,1285,0,1431,0,0,24,2,1455,0,1207,0,0,284,2,1534,0,1029,0,0,595,3,1655,2,1177,0,0,160,1,1413,2,941,0,0,229,2,1217,0,1053,0,0,162,3,1224,1,1337,0,0,140,0,1524,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22
2020020371,2021-03-04,0,0,0,1,0,1,1,2,D,9857,1,1087,0,0,204,0,1291,1,1083,1,2,202,4,1285,0,1431,0,0,24,2,1455,0,1207,0,0,284,2,1534,0,1029,0,0,595,3,1655,2,1177,0,0,160,1,1413,2,941,0,0,229,2,1217,0,1053,0,0,162,3,1224,1,1337,0,0,140,0,1524,0,1484,0,0,43,2,1527,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13
2020020360,2021-03-03,0,0,0,0,1,1,1,0,D,9856,1,1083,1,2,202,4,1285,0,1431,0,0,24,2,1455,0,1207,0,0,284,2,1534,0,1029,0,0,595,3,1655,2,1177,0,0,160,1,1413,2,941,0,0,229,2,1217,0,1053,0,0,162,3,1224,1,1337,0,0,140,0,1524,0,1484,0,0,43,2,1527,0,1341,0,0,202,0,1584,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10
2020020350,2021-03-01,0,1,1,1,0,0,0,4,D,9854,0,1431,0,0,24,2,1455,0,1207,0,0,284,2,1534,0,1029,0,0,595,3,1655,2,1177,0,0,160,1,1413,2,941,0,0,229,2,1217,0,1053,0,0,162,3,1224,1,1337,0,0,140,0,1524,0,1484,0,0,43,2,1527,0,1341,0,0,202,0,1584,0,1017,1,2,202,2,1255,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8
2020020335,2021-02-27,0,0,0,1,0,1,1,2,D,9852,0,1207,0,0,284,2,1534,0,1029,0,0,595,3,1655,2,1177,0,0,160,1,1413,2,941,0,0,229,2,1217,0,1053,0,0,162,3,1224,1,1337,0,0,140,0,1524,0,1484,0,0,43,2,1527,0,1341,0,0,202,0,1584,0,1017,1,2,202,2,1255,1,1013,0,0,319,2,1465,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18
2020020310,2021-02-24,1,0,0,1,0,1,1,2,D,9849,0,1029,0,0,595,3,1655,2,1177,0,0,160,1,1413,2,941,0,0,229,2,1217,0,1053,0,0,162,3,1224,1,1337,0,0,140,0,1524,0,1484,0,0,43,2,1527,0,1341,0,0,202,0,1584,0,1017,1,2,202,2,1255,1,1013,0,0,319,2,1465,2,1270,0,0,276,1,1561,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18,1,0,5,13,16,02,22,1,4,9,18,17,02,10
2020020298,2021-02-22,1,0,1,1,0,0,1,3,D,9847,2,1177,0,0,160,1,1413,2,941,0,0,229,2,1217,0,1053,0,0,162,3,1224,1,1337,0,0,140,0,1524,0,1484,0,0,43,2,1527,0,1341,0,0,202,0,1584,0,1017,1,2,202,2,1255,1,1013,0,0,319,2,1465,2,1270,0,0,276,1,1561,0,1402,0,0,81,1,1483,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18,1,0,5,13,16,02,22,1,4,9,18,17,02,10,1,11,10,18,21,02,38,0,10,12,3,21,02,10
2020020284,2021-02-20,0,0,0,0,1,1,1,1,D,9845,2,941,0,0,229,2,1217,0,1053,0,0,162,3,1224,1,1337,0,0,140,0,1524,0,1484,0,0,43,2,1527,0,1341,0,0,202,0,1584,0,1017,1,2,202,2,1255,1,1013,0,0,319,2,1465,2,1270,0,0,276,1,1561,0,1402,0,0,81,1,1483,1,929,0,0,256,2,1235,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18,1,0,5,13,16,02,22,1,4,9,18,17,02,10,1,11,10,18,21,02,38,0,10,12,3,21,02,10,1,6,7,18,13,02,28,0,2,5,7,20,02,19
2020020270,2021-02-18,1,0,0,1,0,1,1,2,D,9843,0,1053,0,0,162,3,1224,1,1337,0,0,140,0,1524,0,1484,0,0,43,2,1527,0,1341,0,0,202,0,1584,0,1017,1,2,202,2,1255,1,1013,0,0,319,2,1465,2,1270,0,0,276,1,1561,0,1402,0,0,81,1,1483,1,929,0,0,256,2,1235,2,1181,0,0,81,0,1262,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18,1,0,5,13,16,02,22,1,4,9,18,17,02,10,1,11,10,18,21,02,38,0,10,12,3,21,02,10,1,6,7,18,13,02,28,0,2,5,7,20,02,19,1,4,9,18,10,02,31,0,14,3,2,20,02,13
2020020262,2021-02-17,1,0,1,1,0,0,1,3,D,9842,1,1337,0,0,140,0,1524,0,1484,0,0,43,2,1527,0,1341,0,0,202,0,1584,0,1017,1,2,202,2,1255,1,1013,0,0,319,2,1465,2,1270,0,0,276,1,1561,0,1402,0,0,81,1,1483,1,929,0,0,256,2,1235,2,1181,0,0,81,0,1262,3,1137,0,2,191,3,1331,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18,1,0,5,13,16,02,22,1,4,9,18,17,02,10,1,11,10,18,21,02,38,0,10,12,3,21,02,10,1,6,7,18,13,02,28,0,2,5,7,20,02,19,1,4,9,18,10,02,31,0,14,3,2,20,02,13,0,4,6,6,17,02,27,1,2,5,11,20,02,8
2020020247,2021-02-15,1,0,0,0,1,1,1,0,D,9840,0,1484,0,0,43,2,1527,0,1341,0,0,202,0,1584,0,1017,1,2,202,2,1255,1,1013,0,0,319,2,1465,2,1270,0,0,276,1,1561,0,1402,0,0,81,1,1483,1,929,0,0,256,2,1235,2,1181,0,0,81,0,1262,3,1137,0,2,191,3,1331,0,1161,0,0,141,0,1302,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18,1,0,5,13,16,02,22,1,4,9,18,17,02,10,1,11,10,18,21,02,38,0,10,12,3,21,02,10,1,6,7,18,13,02,28,0,2,5,7,20,02,19,1,4,9,18,10,02,31,0,14,3,2,20,02,13,0,4,6,6,17,02,27,1,2,5,11,20,02,8,1,10,7,17,15,02,34,1,4,12,26,12,02,8
2020020235,2021-02-13,1,0,0,1,0,1,1,2,D,9838,0,1341,0,0,202,0,1584,0,1017,1,2,202,2,1255,1,1013,0,0,319,2,1465,2,1270,0,0,276,1,1561,0,1402,0,0,81,1,1483,1,929,0,0,256,2,1235,2,1181,0,0,81,0,1262,3,1137,0,2,191,3,1331,0,1161,0,0,141,0,1302,0,1318,0,0,114,3,1489,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18,1,0,5,13,16,02,22,1,4,9,18,17,02,10,1,11,10,18,21,02,38,0,10,12,3,21,02,10,1,6,7,18,13,02,28,0,2,5,7,20,02,19,1,4,9,18,10,02,31,0,14,3,2,20,02,13,0,4,6,6,17,02,27,1,2,5,11,20,02,8,1,10,7,17,15,02,34,1,4,12,26,12,02,8,1,6,13,16,15,02,39,0,15,12,15,32,02,11
2020020213,2021-02-10,0,0,0,0,1,1,1,0,D,9835,0,1017,1,2,202,2,1255,1,1013,0,0,319,2,1465,2,1270,0,0,276,1,1561,0,1402,0,0,81,1,1483,1,929,0,0,256,2,1235,2,1181,0,0,81,0,1262,3,1137,0,2,191,3,1331,0,1161,0,0,141,0,1302,0,1318,0,0,114,3,1489,0,1338,0,2,75,2,1413,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18,1,0,5,13,16,02,22,1,4,9,18,17,02,10,1,11,10,18,21,02,38,0,10,12,3,21,02,10,1,6,7,18,13,02,28,0,2,5,7,20,02,19,1,4,9,18,10,02,31,0,14,3,2,20,02,13,0,4,6,6,17,02,27,1,2,5,11,20,02,8,1,10,7,17,15,02,34,1,4,12,26,12,02,8,1,6,13,16,15,02,39,0,15,12,15,32,02,11,0,0,9,11,21,02,29,0,0,6,11,27,02,12
2020020200,2021-02-08,1,0,0,1,0,1,1,2,D,9833,1,1013,0,0,319,2,1465,2,1270,0,0,276,1,1561,0,1402,0,0,81,1,1483,1,929,0,0,256,2,1235,2,1181,0,0,81,0,1262,3,1137,0,2,191,3,1331,0,1161,0,0,141,0,1302,0,1318,0,0,114,3,1489,0,1338,0,2,75,2,1413,0,1201,0,0,282,5,1483,0,8,5,18,19,02,24,1,12,7,11,20,02,18,1,0,5,13,16,02,22,1,4,9,18,17,02,10,1,11,10,18,21,02,38,0,10,12,3,21,02,10,1,6,7,18,13,02,28,0,2,5,7,20,02,19,1,4,9,18,10,02,31,0,14,3,2,20,02,13,0,4,6,6,17,02,27,1,2,5,11,20,02,8,1,10,7,17,15,02,34,1,4,12,26,12,02,8,1,6,13,16,15,02,39,0,15,12,15,32,02,11,0,0,9,11,21,02,29,0,0,6,11,27,02,12,0,23,6,7,16,02,23,0,17,3,10,15,02,11
2020020184,2021-02-06,1,0,0,1,0,1,1,2,D,9831,2,1270,0,0,276,1,1561,0,1402,0,0,81,1,1483,1,929,0,0,256,2,1235,2,1181,0,0,81,0,1262,3,1137,0,2,191,3,1331,0,1161,0,0,141,0,1302,0,1318,0,0,114,3,1489,0,1338,0,2,75,2,1413,0,1201,0,0,282,5,1483,0,1100,0,0,250,1,1402,1,0,5,13,16,02,22,1,4,9,18,17,02,10,1,11,10,18,21,02,38,0,10,12,3,21,02,10,1,6,7,18,13,02,28,0,2,5,7,20,02,19,1,4,9,18,10,02,31,0,14,3,2,20,02,13,0,4,6,6,17,02,27,1,2,5,11,20,02,8,1,10,7,17,15,02,34,1,4,12,26,12,02,8,1,6,13,16,15,02,39,0,15,12,15,32,02,11,0,0,9,11,21,02,29,0,0,6,11,27,02,12,0,23,6,7,16,02,23,0,17,3,10,15,02,11,0,0,8,12,21,02,32,0,4,2,10,29,02,14
2020020171,2021-02-04,1,0,0,0,1,1,1,1,D,9829,0,1402,0,0,81,1,1483,1,929,0,0,256,2,1235,2,1181,0,0,81,0,1262,3,1137,0,2,191,3,1331,0,1161,0,0,141,0,1302,0,1318,0,0,114,3,1489,0,1338,0,2,75,2,1413,0,1201,0,0,282,5,1483,0,1100,0,0,250,1,1402,0,1412,1,0,257,4,1715,1,11,10,18,21,02,38,0,10,12,3,21,02,10,1,6,7,18,13,02,28,0,2,5,7,20,02,19,1,4,9,18,10,02,31,0,14,3,2,20,02,13,0,4,6,6,17,02,27,1,2,5,11,20,02,8,1,10,7,17,15,02,34,1,4,12,26,12,02,8,1,6,13,16,15,02,39,0,15,12,15,32,02,11,0,0,9,11,21,02,29,0,0,6,11,27,02,12,0,23,6,7,16,02,23,0,17,3,10,15,02,11,0,0,8,12,21,02,32,0,4,2,10,29,02,14,0,2,5,8,18,02,32,1,12,10,14,16,02,11
