game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020464,2021-03-17,0,0,1,1,0,0,1,3,C,10554,1,868,2,0,95,6,963,0,1140,0,0,43,2,1183,0,793,0,0,112,1,1059,2,705,0,0,270,3,1056,0,903,0,0,112,4,1036,1,725,1,0,47,1,819,0,1101,1,0,76,3,1177,0,1021,1,0,83,4,1166,0,1032,0,0,127,6,1159,0,875,0,0,106,1,981,0,14,5,11,31,03,27,1,14,7,16,19,03,13,1,6,2,12,39,03,31,0,22,6,7,21,03,22,1,4,5,14,48,03,22,0,15,4,8,16,03,11,0,10,10,13,32,03,28,0,16,11,13,18,03,18,0,24,6,18,32,03,32,0,19,9,13,27,03,25,1,12,5,16,23,03,23,1,6,6,14,45,03,30,1,6,7,10,37,03,29,1,14,7,19,31,03,13,0,33,7,11,39,03,33,0,4,8,10,38,03,15,1,8,2,15,23,03,33,1,4,9,13,24,03,28,0,13,6,13,32,02,32,0,16,7,18,45,03,21
2020020453,2021-03-15,0,1,1,1,0,0,0,6,C,10552,0,1140,0,0,43,2,1183,0,793,0,0,112,1,1059,2,705,0,0,270,3,1056,0,903,0,0,112,4,1036,1,725,1,0,47,1,819,0,1101,1,0,76,3,1177,0,1021,1,0,83,4,1166,0,1032,0,0,127,6,1159,0,875,0,0,106,1,981,0,821,1,0,169,3,1087,1,6,2,12,39,03,31,0,22,6,7,21,03,22,1,4,5,14,48,03,22,0,15,4,8,16,03,11,0,10,10,13,32,03,28,0,16,11,13,18,03,18,0,24,6,18,32,03,32,0,19,9,13,27,03,25,1,12,5,16,23,03,23,1,6,6,14,45,03,30,1,6,7,10,37,03,29,1,14,7,19,31,03,13,0,33,7,11,39,03,33,0,4,8,10,38,03,15,1,8,2,15,23,03,33,1,4,9,13,24,03,28,0,13,6,13,32,02,32,0,16,7,18,45,03,21,0,6,3,12,34,02,36,0,10,4,16,31,03,40
2020020439,2021-03-13,0,0,0,1,0,1,1,2,C,10550,0,793,0,0,112,1,1059,2,705,0,0,270,3,1056,0,903,0,0,112,4,1036,1,725,1,0,47,1,819,0,1101,1,0,76,3,1177,0,1021,1,0,83,4,1166,0,1032,0,0,127,6,1159,0,875,0,0,106,1,981,0,821,1,0,169,3,1087,0,987,0,0,160,2,1331,1,4,5,14,48,03,22,0,15,4,8,16,03,11,0,10,10,13,32,03,28,0,16,11,13,18,03,18,0,24,6,18,32,03,32,0,19,9,13,27,03,25,1,12,5,16,23,03,23,1,6,6,14,45,03,30,1,6,7,10,37,03,29,1,14,7,19,31,03,13,0,33,7,11,39,03,33,0,4,8,10,38,03,15,1,8,2,15,23,03,33,1,4,9,13,24,03,28,0,13,6,13,32,02,32,0,16,7,18,45,03,21,0,6,3,12,34,02,36,0,10,4,16,31,03,40,0,14,2,3,31,02,34,1,18,5,17,30,03,20
2020020423,2021-03-11,0,0,0,0,1,1,1,1,C,10548,2,705,0,0,270,3,1056,0,903,0,0,112,4,1036,1,725,1,0,47,1,819,0,1101,1,0,76,3,1177,0,1021,1,0,83,4,1166,0,1032,0,0,127,6,1159,0,875,0,0,106,1,981,0,821,1,0,169,3,1087,0,987,0,0,160,2,1331,0,1016,1,2,60,2,1076,0,10,10,13,32,03,28,0,16,11,13,18,03,18,0,24,6,18,32,03,32,0,19,9,13,27,03,25,1,12,5,16,23,03,23,1,6,6,14,45,03,30,1,6,7,10,37,03,29,1,14,7,19,31,03,13,0,33,7,11,39,03,33,0,4,8,10,38,03,15,1,8,2,15,23,03,33,1,4,9,13,24,03,28,0,13,6,13,32,02,32,0,16,7,18,45,03,21,0,6,3,12,34,02,36,0,10,4,16,31,03,40,0,14,2,3,31,02,34,1,18,5,17,30,03,20,0,12,3,3,38,02,36,1,4,16,26,47,03,18
2020020411,2021-03-10,0,0,1,1,0,0,1,3,C,10547,0,903,0,0,112,4,1036,1,725,1,0,47,1,819,0,1101,1,0,76,3,1177,0,1021,1,0,83,4,1166,0,1032,0,0,127,6,1159,0,875,0,0,106,1,981,0,821,1,0,169,3,1087,0,987,0,0,160,2,1331,0,1016,1,2,60,2,1076,1,1048,1,2,0,3,1048,0,24,6,18,32,03,32,0,19,9,13,27,03,25,1,12,5,16,23,03,23,1,6,6,14,45,03,30,1,6,7,10,37,03,29,1,14,7,19,31,03,13,0,33,7,11,39,03,33,0,4,8,10,38,03,15,1,8,2,15,23,03,33,1,4,9,13,24,03,28,0,13,6,13,32,02,32,0,16,7,18,45,03,21,0,6,3,12,34,02,36,0,10,4,16,31,03,40,0,14,2,3,31,02,34,1,18,5,17,30,03,20,0,12,3,3,38,02,36,1,4,16,26,47,03,18,0,12,8,2,17,02,42,0,8,9,22,38,03,22
2020020397,2021-03-08,0,1,1,1,0,0,0,4,C,10545,1,725,1,0,47,1,819,0,1101,1,0,76,3,1177,0,1021,1,0,83,4,1166,0,1032,0,0,127,6,1159,0,875,0,0,106,1,981,0,821,1,0,169,3,1087,0,987,0,0,160,2,1331,0,1016,1,2,60,2,1076,1,1048,1,2,0,3,1048,0,896,0,0,63,4,1018,1,12,5,16,23,03,23,1,6,6,14,45,03,30,1,6,7,10,37,03,29,1,14,7,19,31,03,13,0,33,7,11,39,03,33,0,4,8,10,38,03,15,1,8,2,15,23,03,33,1,4,9,13,24,03,28,0,13,6,13,32,02,32,0,16,7,18,45,03,21,0,6,3,12,34,02,36,0,10,4,16,31,03,40,0,14,2,3,31,02,34,1,18,5,17,30,03,20,0,12,3,3,38,02,36,1,4,16,26,47,03,18,0,12,8,2,17,02,42,0,8,9,22,38,03,22,0,23,4,2,20,02,33,1,12,7,18,26,03,21
2020020382,2021-03-06,1,0,0,0,1,1,1,1,C,10543,0,1101,1,0,76,3,1177,0,1021,1,0,83,4,1166,0,1032,0,0,127,6,1159,0,875,0,0,106,1,981,0,821,1,0,169,3,1087,0,987,0,0,160,2,1331,0,1016,1,2,60,2,1076,1,1048,1,2,0,3,1048,0,896,0,0,63,4,1018,0,904,0,0,101,4,1127,1,6,7,10,37,03,29,1,14,7,19,31,03,13,0,33,7,11,39,03,33,0,4,8,10,38,03,15,1,8,2,15,23,03,33,1,4,9,13,24,03,28,0,13,6,13,32,02,32,0,16,7,18,45,03,21,0,6,3,12,34,02,36,0,10,4,16,31,03,40,0,14,2,3,31,02,34,1,18,5,17,30,03,20,0,12,3,3,38,02,36,1,4,16,26,47,03,18,0,12,8,2,17,02,42,0,8,9,22,38,03,22,0,23,4,2,20,02,33,1,12,7,18,26,03,21,1,15,0,15,18,02,21,0,6,8,14,27,03,30
2020020369,2021-03-04,1,0,1,1,0,0,1,3,C,10541,0,1021,1,0,83,4,1166,0,1032,0,0,127,6,1159,0,875,0,0,106,1,981,0,821,1,0,169,3,1087,0,987,0,0,160,2,1331,0,1016,1,2,60,2,1076,1,1048,1,2,0,3,1048,0,896,0,0,63,4,1018,0,904,0,0,101,4,1127,0,588,0,0,129,4,901,0,33,7,11,39,03,33,0,4,8,10,38,03,15,1,8,2,15,23,03,33,1,4,9,13,24,03,28,0,13,6,13,32,02,32,0,16,7,18,45,03,21,0,6,3,12,34,02,36,0,10,4,16,31,03,40,0,14,2,3,31,02,34,1,18,5,17,30,03,20,0,12,3,3,38,02,36,1,4,16,26,47,03,18,0,12,8,2,17,02,42,0,8,9,22,38,03,22,0,23,4,2,20,02,33,1,12,7,18,26,03,21,1,15,0,15,18,02,21,0,6,8,14,27,03,30,1,16,4,17,17,02,37,0,8,5,6,19,02,14
2020020357,2021-03-02,1,1,1,1,0,0,0,4,C,10539,0,1032,0,0,127,6,1159,0,875,0,0,106,1,981,0,821,1,0,169,3,1087,0,987,0,0,160,2,1331,0,1016,1,2,60,2,1076,1,1048,1,2,0,3,1048,0,896,0,0,63,4,1018,0,904,0,0,101,4,1127,0,588,0,0,129,4,901,0,625,0,0,258,2,926,1,8,2,15,23,03,33,1,4,9,13,24,03,28,0,13,6,13,32,02,32,0,16,7,18,45,03,21,0,6,3,12,34,02,36,0,10,4,16,31,03,40,0,14,2,3,31,02,34,1,18,5,17,30,03,20,0,12,3,3,38,02,36,1,4,16,26,47,03,18,0,12,8,2,17,02,42,0,8,9,22,38,03,22,0,23,4,2,20,02,33,1,12,7,18,26,03,21,1,15,0,15,18,02,21,0,6,8,14,27,03,30,1,16,4,17,17,02,37,0,8,5,6,19,02,14,1,6,3,19,26,02,40,0,18,11,11,24,02,10
2020020334,2021-02-27,0,1,1,1,0,0,0,6,C,10536,0,875,0,0,106,1,981,0,821,1,0,169,3,1087,0,987,0,0,160,2,1331,0,1016,1,2,60,2,1076,1,1048,1,2,0,3,1048,0,896,0,0,63,4,1018,0,904,0,0,101,4,1127,0,588,0,0,129,4,901,0,625,0,0,258,2,926,1,808,2,0,209,5,1044,0,13,6,13,32,02,32,0,16,7,18,45,03,21,0,6,3,12,34,02,36,0,10,4,16,31,03,40,0,14,2,3,31,02,34,1,18,5,17,30,03,20,0,12,3,3,38,02,36,1,4,16,26,47,03,18,0,12,8,2,17,02,42,0,8,9,22,38,03,22,0,23,4,2,20,02,33,1,12,7,18,26,03,21,1,15,0,15,18,02,21,0,6,8,14,27,03,30,1,16,4,17,17,02,37,0,8,5,6,19,02,14,1,6,3,19,26,02,40,0,18,11,11,24,02,10,1,6,5,17,20,02,33,0,12,7,9,11,02,11
