game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020467,2021-03-17,0,0,0,0,1,1,1,0,C,10800,0,1059,0,0,252,1,1341,1,1020,0,0,202,1,1321,0,869,1,0,239,3,1161,2,1099,0,0,76,1,1242,1,955,0,0,167,3,1234,0,922,1,0,126,1,1134,1,947,0,0,200,1,1279,0,1123,1,0,70,1,1268,0,1179,0,0,256,4,1435,0,1085,0,0,91,0,1176,1,12,0,4,28,03,17,0,10,7,5,23,02,10,1,12,9,14,9,03,22,0,8,4,2,7,02,12,1,22,4,7,30,03,31,0,12,3,2,15,02,10,1,13,6,15,41,03,37,0,10,8,6,14,02,14,0,6,5,24,46,03,49,0,8,4,1,15,02,18,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15
2020020437,2021-03-13,1,0,0,0,1,1,1,1,C,10796,1,1020,0,0,202,1,1321,0,869,1,0,239,3,1161,2,1099,0,0,76,1,1242,1,955,0,0,167,3,1234,0,922,1,0,126,1,1134,1,947,0,0,200,1,1279,0,1123,1,0,70,1,1268,0,1179,0,0,256,4,1435,0,1085,0,0,91,0,1176,1,1149,1,0,207,1,1356,1,12,9,14,9,03,22,0,8,4,2,7,02,12,1,22,4,7,30,03,31,0,12,3,2,15,02,10,1,13,6,15,41,03,37,0,10,8,6,14,02,14,0,6,5,24,46,03,49,0,8,4,1,15,02,18,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16
2020020425,2021-03-12,1,0,0,0,1,1,1,1,C,10795,0,869,1,0,239,3,1161,2,1099,0,0,76,1,1242,1,955,0,0,167,3,1234,0,922,1,0,126,1,1134,1,947,0,0,200,1,1279,0,1123,1,0,70,1,1268,0,1179,0,0,256,4,1435,0,1085,0,0,91,0,1176,1,1149,1,0,207,1,1356,0,1178,1,0,169,5,1359,1,22,4,7,30,03,31,0,12,3,2,15,02,10,1,13,6,15,41,03,37,0,10,8,6,14,02,14,0,6,5,24,46,03,49,0,8,4,1,15,02,18,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9
2020020326,2021-03-08,0,0,1,1,0,0,1,3,C,10791,2,1099,0,0,76,1,1242,1,955,0,0,167,3,1234,0,922,1,0,126,1,1134,1,947,0,0,200,1,1279,0,1123,1,0,70,1,1268,0,1179,0,0,256,4,1435,0,1085,0,0,91,0,1176,1,1149,1,0,207,1,1356,0,1178,1,0,169,5,1359,0,936,0,2,157,2,1093,1,13,6,15,41,03,37,0,10,8,6,14,02,14,0,6,5,24,46,03,49,0,8,4,1,15,02,18,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13
2020020388,2021-03-06,0,0,0,0,1,1,1,1,C,10789,1,955,0,0,167,3,1234,0,922,1,0,126,1,1134,1,947,0,0,200,1,1279,0,1123,1,0,70,1,1268,0,1179,0,0,256,4,1435,0,1085,0,0,91,0,1176,1,1149,1,0,207,1,1356,0,1178,1,0,169,5,1359,0,936,0,2,157,2,1093,0,1009,0,0,97,4,1106,0,6,5,24,46,03,49,0,8,4,1,15,02,18,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22
2020020379,2021-03-05,0,0,1,1,0,0,1,3,C,10788,0,922,1,0,126,1,1134,1,947,0,0,200,1,1279,0,1123,1,0,70,1,1268,0,1179,0,0,256,4,1435,0,1085,0,0,91,0,1176,1,1149,1,0,207,1,1356,0,1178,1,0,169,5,1359,0,936,0,2,157,2,1093,0,1009,0,0,97,4,1106,1,949,1,0,70,3,1019,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22
2020020362,2021-03-03,0,0,0,0,1,1,1,1,C,10786,1,947,0,0,200,1,1279,0,1123,1,0,70,1,1268,0,1179,0,0,256,4,1435,0,1085,0,0,91,0,1176,1,1149,1,0,207,1,1356,0,1178,1,0,169,5,1359,0,936,0,2,157,2,1093,0,1009,0,0,97,4,1106,1,949,1,0,70,3,1019,0,1009,0,0,106,5,1115,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17
2020020352,2021-03-01,0,0,0,0,1,1,1,1,C,10784,0,1123,1,0,70,1,1268,0,1179,0,0,256,4,1435,0,1085,0,0,91,0,1176,1,1149,1,0,207,1,1356,0,1178,1,0,169,5,1359,0,936,0,2,157,2,1093,0,1009,0,0,97,4,1106,1,949,1,0,70,3,1019,0,1009,0,0,106,5,1115,0,824,0,5,238,4,1153,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12
2020020339,2021-02-27,0,0,0,0,1,1,1,1,C,10782,0,1179,0,0,256,4,1435,0,1085,0,0,91,0,1176,1,1149,1,0,207,1,1356,0,1178,1,0,169,5,1359,0,936,0,2,157,2,1093,0,1009,0,0,97,4,1106,1,949,1,0,70,3,1019,0,1009,0,0,106,5,1115,0,824,0,5,238,4,1153,1,983,0,0,244,6,1260,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12,1,6,1,3,13,02,29,0,6,4,16,27,02,14
2020020309,2021-02-24,1,1,1,1,0,0,0,4,C,10779,0,1085,0,0,91,0,1176,1,1149,1,0,207,1,1356,0,1178,1,0,169,5,1359,0,936,0,2,157,2,1093,0,1009,0,0,97,4,1106,1,949,1,0,70,3,1019,0,1009,0,0,106,5,1115,0,824,0,5,238,4,1153,1,983,0,0,244,6,1260,0,897,0,0,314,2,1211,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12,1,6,1,3,13,02,29,0,6,4,16,27,02,14,1,4,1,0,23,02,43,0,6,10,2,16,02,26
2020020297,2021-02-22,1,0,0,0,1,1,1,0,C,10777,1,1149,1,0,207,1,1356,0,1178,1,0,169,5,1359,0,936,0,2,157,2,1093,0,1009,0,0,97,4,1106,1,949,1,0,70,3,1019,0,1009,0,0,106,5,1115,0,824,0,5,238,4,1153,1,983,0,0,244,6,1260,0,897,0,0,314,2,1211,0,831,2,2,182,6,1013,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12,1,6,1,3,13,02,29,0,6,4,16,27,02,14,1,4,1,0,23,02,43,0,6,10,2,16,02,26,1,19,7,8,21,02,25,0,20,11,7,29,02,16
2020020283,2021-02-20,1,0,0,0,1,1,1,1,C,10775,0,1178,1,0,169,5,1359,0,936,0,2,157,2,1093,0,1009,0,0,97,4,1106,1,949,1,0,70,3,1019,0,1009,0,0,106,5,1115,0,824,0,5,238,4,1153,1,983,0,0,244,6,1260,0,897,0,0,314,2,1211,0,831,2,2,182,6,1013,2,820,0,0,145,1,965,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12,1,6,1,3,13,02,29,0,6,4,16,27,02,14,1,4,1,0,23,02,43,0,6,10,2,16,02,26,1,19,7,8,21,02,25,0,20,11,7,29,02,16,1,15,5,6,21,02,43,1,0,0,0,0,02,0
2020020269,2021-02-18,1,1,1,1,0,0,0,5,C,10773,0,936,0,2,157,2,1093,0,1009,0,0,97,4,1106,1,949,1,0,70,3,1019,0,1009,0,0,106,5,1115,0,824,0,5,238,4,1153,1,983,0,0,244,6,1260,0,897,0,0,314,2,1211,0,831,2,2,182,6,1013,2,820,0,0,145,1,965,1,937,0,2,251,0,1192,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12,1,6,1,3,13,02,29,0,6,4,16,27,02,14,1,4,1,0,23,02,43,0,6,10,2,16,02,26,1,19,7,8,21,02,25,0,20,11,7,29,02,16,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0
2020020251,2021-02-15,0,0,0,1,0,1,1,2,C,10770,0,1009,0,0,97,4,1106,1,949,1,0,70,3,1019,0,1009,0,0,106,5,1115,0,824,0,5,238,4,1153,1,983,0,0,244,6,1260,0,897,0,0,314,2,1211,0,831,2,2,182,6,1013,2,820,0,0,145,1,965,1,937,0,2,251,0,1192,0,1001,2,0,79,3,1097,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12,1,6,1,3,13,02,29,0,6,4,16,27,02,14,1,4,1,0,23,02,43,0,6,10,2,16,02,26,1,19,7,8,21,02,25,0,20,11,7,29,02,16,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0
2020020239,2021-02-13,0,1,1,1,0,0,0,4,C,10768,1,949,1,0,70,3,1019,0,1009,0,0,106,5,1115,0,824,0,5,238,4,1153,1,983,0,0,244,6,1260,0,897,0,0,314,2,1211,0,831,2,2,182,6,1013,2,820,0,0,145,1,965,1,937,0,2,251,0,1192,0,1001,2,0,79,3,1097,1,807,0,0,143,2,979,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12,1,6,1,3,13,02,29,0,6,4,16,27,02,14,1,4,1,0,23,02,43,0,6,10,2,16,02,26,1,19,7,8,21,02,25,0,20,11,7,29,02,16,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0
2020020684,2021-02-12,0,0,1,1,0,0,1,3,C,10767,0,1009,0,0,106,5,1115,0,824,0,5,238,4,1153,1,983,0,0,244,6,1260,0,897,0,0,314,2,1211,0,831,2,2,182,6,1013,2,820,0,0,145,1,965,1,937,0,2,251,0,1192,0,1001,2,0,79,3,1097,1,807,0,0,143,2,979,0,923,1,0,121,2,1086,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12,1,6,1,3,13,02,29,0,6,4,16,27,02,14,1,4,1,0,23,02,43,0,6,10,2,16,02,26,1,19,7,8,21,02,25,0,20,11,7,29,02,16,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0,1,2,5,9,27,02,45,1,0,0,0,0,02,0
