game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020467,2021-03-17,1,0,1,1,0,0,1,3,C,13224,0,736,0,0,330,3,1092,0,780,0,0,131,3,997,1,740,0,0,162,4,953,0,877,0,0,109,2,1029,0,904,0,0,79,1,994,0,944,1,0,110,2,1093,0,790,0,0,176,5,966,0,814,0,4,87,3,929,0,750,1,0,151,2,1114,0,913,0,0,27,1,1034,1,12,2,16,18,02,33,0,8,0,7,30,03,7,1,12,2,12,18,02,25,0,14,9,6,27,03,23,1,8,3,8,15,02,27,1,4,6,16,35,03,18,0,4,1,4,10,02,23,1,4,7,18,38,03,27,0,6,5,18,17,02,35,0,8,11,12,32,03,15,0,6,5,7,8,02,21,0,6,8,13,40,03,12,0,15,4,5,9,02,35,1,2,5,18,39,03,18,1,7,4,13,22,02,21,1,2,5,21,54,03,25,0,8,9,1,30,02,29,1,12,8,15,38,03,15,0,4,3,3,27,02,32,0,10,5,24,39,03,22
2020020445,2021-03-14,0,0,1,1,0,0,1,3,C,13221,0,780,0,0,131,3,997,1,740,0,0,162,4,953,0,877,0,0,109,2,1029,0,904,0,0,79,1,994,0,944,1,0,110,2,1093,0,790,0,0,176,5,966,0,814,0,4,87,3,929,0,750,1,0,151,2,1114,0,913,0,0,27,1,1034,1,827,0,0,79,5,939,1,12,2,12,18,02,25,0,14,9,6,27,03,23,1,8,3,8,15,02,27,1,4,6,16,35,03,18,0,4,1,4,10,02,23,1,4,7,18,38,03,27,0,6,5,18,17,02,35,0,8,11,12,32,03,15,0,6,5,7,8,02,21,0,6,8,13,40,03,12,0,15,4,5,9,02,35,1,2,5,18,39,03,18,1,7,4,13,22,02,21,1,2,5,21,54,03,25,0,8,9,1,30,02,29,1,12,8,15,38,03,15,0,4,3,3,27,02,32,0,10,5,24,39,03,22,1,4,3,7,26,02,27,0,10,15,21,39,03,16
2020020428,2021-03-12,0,0,1,1,0,0,1,3,C,13219,1,740,0,0,162,4,953,0,877,0,0,109,2,1029,0,904,0,0,79,1,994,0,944,1,0,110,2,1093,0,790,0,0,176,5,966,0,814,0,4,87,3,929,0,750,1,0,151,2,1114,0,913,0,0,27,1,1034,1,827,0,0,79,5,939,1,772,0,0,27,3,855,1,8,3,8,15,02,27,1,4,6,16,35,03,18,0,4,1,4,10,02,23,1,4,7,18,38,03,27,0,6,5,18,17,02,35,0,8,11,12,32,03,15,0,6,5,7,8,02,21,0,6,8,13,40,03,12,0,15,4,5,9,02,35,1,2,5,18,39,03,18,1,7,4,13,22,02,21,1,2,5,21,54,03,25,0,8,9,1,30,02,29,1,12,8,15,38,03,15,0,4,3,3,27,02,32,0,10,5,24,39,03,22,1,4,3,7,26,02,27,0,10,15,21,39,03,16,1,6,0,5,15,02,31,1,10,1,15,31,03,13
2020020414,2021-03-10,0,1,1,1,0,0,0,4,C,13217,0,877,0,0,109,2,1029,0,904,0,0,79,1,994,0,944,1,0,110,2,1093,0,790,0,0,176,5,966,0,814,0,4,87,3,929,0,750,1,0,151,2,1114,0,913,0,0,27,1,1034,1,827,0,0,79,5,939,1,772,0,0,27,3,855,0,904,1,2,151,3,1145,0,4,1,4,10,02,23,1,4,7,18,38,03,27,0,6,5,18,17,02,35,0,8,11,12,32,03,15,0,6,5,7,8,02,21,0,6,8,13,40,03,12,0,15,4,5,9,02,35,1,2,5,18,39,03,18,1,7,4,13,22,02,21,1,2,5,21,54,03,25,0,8,9,1,30,02,29,1,12,8,15,38,03,15,0,4,3,3,27,02,32,0,10,5,24,39,03,22,1,4,3,7,26,02,27,0,10,15,21,39,03,16,1,6,0,5,15,02,31,1,10,1,15,31,03,13,1,6,2,4,15,02,29,0,20,2,14,43,03,12
2020020400,2021-03-08,0,0,0,1,0,1,1,2,C,13215,0,904,0,0,79,1,994,0,944,1,0,110,2,1093,0,790,0,0,176,5,966,0,814,0,4,87,3,929,0,750,1,0,151,2,1114,0,913,0,0,27,1,1034,1,827,0,0,79,5,939,1,772,0,0,27,3,855,0,904,1,2,151,3,1145,1,857,0,0,145,2,1082,0,6,5,18,17,02,35,0,8,11,12,32,03,15,0,6,5,7,8,02,21,0,6,8,13,40,03,12,0,15,4,5,9,02,35,1,2,5,18,39,03,18,1,7,4,13,22,02,21,1,2,5,21,54,03,25,0,8,9,1,30,02,29,1,12,8,15,38,03,15,0,4,3,3,27,02,32,0,10,5,24,39,03,22,1,4,3,7,26,02,27,0,10,15,21,39,03,16,1,6,0,5,15,02,31,1,10,1,15,31,03,13,1,6,2,4,15,02,29,0,20,2,14,43,03,12,0,6,0,5,18,02,29,1,16,9,11,45,03,15
2020020388,2021-03-06,1,0,0,0,1,1,1,1,C,13213,0,944,1,0,110,2,1093,0,790,0,0,176,5,966,0,814,0,4,87,3,929,0,750,1,0,151,2,1114,0,913,0,0,27,1,1034,1,827,0,0,79,5,939,1,772,0,0,27,3,855,0,904,1,2,151,3,1145,1,857,0,0,145,2,1082,0,876,1,0,146,1,1105,0,6,5,7,8,02,21,0,6,8,13,40,03,12,0,15,4,5,9,02,35,1,2,5,18,39,03,18,1,7,4,13,22,02,21,1,2,5,21,54,03,25,0,8,9,1,30,02,29,1,12,8,15,38,03,15,0,4,3,3,27,02,32,0,10,5,24,39,03,22,1,4,3,7,26,02,27,0,10,15,21,39,03,16,1,6,0,5,15,02,31,1,10,1,15,31,03,13,1,6,2,4,15,02,29,0,20,2,14,43,03,12,0,6,0,5,18,02,29,1,16,9,11,45,03,15,0,8,2,6,26,02,23,1,4,7,22,47,03,18
2020020379,2021-03-05,1,0,0,1,0,1,1,2,C,13212,0,790,0,0,176,5,966,0,814,0,4,87,3,929,0,750,1,0,151,2,1114,0,913,0,0,27,1,1034,1,827,0,0,79,5,939,1,772,0,0,27,3,855,0,904,1,2,151,3,1145,1,857,0,0,145,2,1082,0,876,1,0,146,1,1105,0,876,0,0,169,4,1062,0,15,4,5,9,02,35,1,2,5,18,39,03,18,1,7,4,13,22,02,21,1,2,5,21,54,03,25,0,8,9,1,30,02,29,1,12,8,15,38,03,15,0,4,3,3,27,02,32,0,10,5,24,39,03,22,1,4,3,7,26,02,27,0,10,15,21,39,03,16,1,6,0,5,15,02,31,1,10,1,15,31,03,13,1,6,2,4,15,02,29,0,20,2,14,43,03,12,0,6,0,5,18,02,29,1,16,9,11,45,03,15,0,8,2,6,26,02,23,1,4,7,22,47,03,18,0,2,10,20,20,02,31,1,4,8,10,55,03,11
2020020742,2021-03-03,1,1,1,1,0,0,0,5,C,13210,0,814,0,4,87,3,929,0,750,1,0,151,2,1114,0,913,0,0,27,1,1034,1,827,0,0,79,5,939,1,772,0,0,27,3,855,0,904,1,2,151,3,1145,1,857,0,0,145,2,1082,0,876,1,0,146,1,1105,0,876,0,0,169,4,1062,0,844,0,0,220,7,1197,1,7,4,13,22,02,21,1,2,5,21,54,03,25,0,8,9,1,30,02,29,1,12,8,15,38,03,15,0,4,3,3,27,02,32,0,10,5,24,39,03,22,1,4,3,7,26,02,27,0,10,15,21,39,03,16,1,6,0,5,15,02,31,1,10,1,15,31,03,13,1,6,2,4,15,02,29,0,20,2,14,43,03,12,0,6,0,5,18,02,29,1,16,9,11,45,03,15,0,8,2,6,26,02,23,1,4,7,22,47,03,18,0,2,10,20,20,02,31,1,4,8,10,55,03,11,0,8,3,12,23,02,20,0,2,6,12,42,03,16
2020020336,2021-02-27,0,0,1,1,0,0,1,3,C,13206,0,750,1,0,151,2,1114,0,913,0,0,27,1,1034,1,827,0,0,79,5,939,1,772,0,0,27,3,855,0,904,1,2,151,3,1145,1,857,0,0,145,2,1082,0,876,1,0,146,1,1105,0,876,0,0,169,4,1062,0,844,0,0,220,7,1197,0,839,0,0,33,0,887,0,8,9,1,30,02,29,1,12,8,15,38,03,15,0,4,3,3,27,02,32,0,10,5,24,39,03,22,1,4,3,7,26,02,27,0,10,15,21,39,03,16,1,6,0,5,15,02,31,1,10,1,15,31,03,13,1,6,2,4,15,02,29,0,20,2,14,43,03,12,0,6,0,5,18,02,29,1,16,9,11,45,03,15,0,8,2,6,26,02,23,1,4,7,22,47,03,18,0,2,10,20,20,02,31,1,4,8,10,55,03,11,0,8,3,12,23,02,20,0,2,6,12,42,03,16,0,6,3,4,14,02,28,0,8,7,22,31,03,14
2020020324,2021-02-26,0,0,0,1,0,1,1,2,C,13205,0,913,0,0,27,1,1034,1,827,0,0,79,5,939,1,772,0,0,27,3,855,0,904,1,2,151,3,1145,1,857,0,0,145,2,1082,0,876,1,0,146,1,1105,0,876,0,0,169,4,1062,0,844,0,0,220,7,1197,0,839,0,0,33,0,887,0,863,0,0,54,3,917,0,4,3,3,27,02,32,0,10,5,24,39,03,22,1,4,3,7,26,02,27,0,10,15,21,39,03,16,1,6,0,5,15,02,31,1,10,1,15,31,03,13,1,6,2,4,15,02,29,0,20,2,14,43,03,12,0,6,0,5,18,02,29,1,16,9,11,45,03,15,0,8,2,6,26,02,23,1,4,7,22,47,03,18,0,2,10,20,20,02,31,1,4,8,10,55,03,11,0,8,3,12,23,02,20,0,2,6,12,42,03,16,0,6,3,4,14,02,28,0,8,7,22,31,03,14,0,6,2,2,20,02,28,1,12,7,17,47,03,22
