game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020466,2021-03-17,0,0,0,0,1,1,1,1,C,9987,0,957,0,2,26,1,1040,1,954,0,0,205,0,1228,1,903,1,0,55,1,958,0,837,0,0,178,3,1086,1,1108,0,0,0,3,1294,0,1065,0,0,44,0,1244,0,851,0,0,122,2,973,0,841,1,0,209,2,1159,0,872,2,0,125,4,1057,0,1007,0,0,199,3,1299,0,10,7,5,23,02,34,1,12,0,4,28,03,20,0,6,5,5,8,02,26,1,12,9,14,9,03,23,0,10,2,1,12,02,38,1,22,4,7,30,03,12,0,8,4,2,7,02,29,1,13,6,15,41,03,13,0,12,3,2,15,02,36,0,6,5,24,46,03,12,0,10,8,6,14,02,30,0,18,11,8,33,03,15,0,8,4,1,15,02,21,1,6,6,13,42,03,26,0,6,4,12,31,02,30,0,4,7,23,32,03,10,0,10,6,14,31,02,27,0,8,3,2,20,02,19,0,8,0,3,20,02,40,0,16,10,6,21,02,7
2020020455,2021-03-15,0,0,0,0,1,1,1,1,C,9985,1,954,0,0,205,0,1228,1,903,1,0,55,1,958,0,837,0,0,178,3,1086,1,1108,0,0,0,3,1294,0,1065,0,0,44,0,1244,0,851,0,0,122,2,973,0,841,1,0,209,2,1159,0,872,2,0,125,4,1057,0,1007,0,0,199,3,1299,0,896,0,2,45,1,949,0,6,5,5,8,02,26,1,12,9,14,9,03,23,0,10,2,1,12,02,38,1,22,4,7,30,03,12,0,8,4,2,7,02,29,1,13,6,15,41,03,13,0,12,3,2,15,02,36,0,6,5,24,46,03,12,0,10,8,6,14,02,30,0,18,11,8,33,03,15,0,8,4,1,15,02,21,1,6,6,13,42,03,26,0,6,4,12,31,02,30,0,4,7,23,32,03,10,0,10,6,14,31,02,27,0,8,3,2,20,02,19,0,8,0,3,20,02,40,0,16,10,6,21,02,7,0,14,3,5,23,02,31,1,10,1,1,17,02,17
2020020441,2021-03-13,0,0,0,0,1,1,1,0,C,9983,1,903,1,0,55,1,958,0,837,0,0,178,3,1086,1,1108,0,0,0,3,1294,0,1065,0,0,44,0,1244,0,851,0,0,122,2,973,0,841,1,0,209,2,1159,0,872,2,0,125,4,1057,0,1007,0,0,199,3,1299,0,896,0,2,45,1,949,0,675,0,0,185,1,952,0,10,2,1,12,02,38,1,22,4,7,30,03,12,0,8,4,2,7,02,29,1,13,6,15,41,03,13,0,12,3,2,15,02,36,0,6,5,24,46,03,12,0,10,8,6,14,02,30,0,18,11,8,33,03,15,0,8,4,1,15,02,21,1,6,6,13,42,03,26,0,6,4,12,31,02,30,0,4,7,23,32,03,10,0,10,6,14,31,02,27,0,8,3,2,20,02,19,0,8,0,3,20,02,40,0,16,10,6,21,02,7,0,14,3,5,23,02,31,1,10,1,1,17,02,17,1,14,9,7,27,02,25,1,10,7,14,34,02,14
2020020429,2021-03-12,0,0,0,0,1,1,1,1,C,9982,0,837,0,0,178,3,1086,1,1108,0,0,0,3,1294,0,1065,0,0,44,0,1244,0,851,0,0,122,2,973,0,841,1,0,209,2,1159,0,872,2,0,125,4,1057,0,1007,0,0,199,3,1299,0,896,0,2,45,1,949,0,675,0,0,185,1,952,0,718,0,0,167,4,945,0,8,4,2,7,02,29,1,13,6,15,41,03,13,0,12,3,2,15,02,36,0,6,5,24,46,03,12,0,10,8,6,14,02,30,0,18,11,8,33,03,15,0,8,4,1,15,02,21,1,6,6,13,42,03,26,0,6,4,12,31,02,30,0,4,7,23,32,03,10,0,10,6,14,31,02,27,0,8,3,2,20,02,19,0,8,0,3,20,02,40,0,16,10,6,21,02,7,0,14,3,5,23,02,31,1,10,1,1,17,02,17,1,14,9,7,27,02,25,1,10,7,14,34,02,14,1,2,10,9,18,02,29,0,17,7,4,30,02,16
2020020743,2021-02-22,1,0,1,1,0,0,1,3,C,9964,1,1108,0,0,0,3,1294,0,1065,0,0,44,0,1244,0,851,0,0,122,2,973,0,841,1,0,209,2,1159,0,872,2,0,125,4,1057,0,1007,0,0,199,3,1299,0,896,0,2,45,1,949,0,675,0,0,185,1,952,0,718,0,0,167,4,945,0,685,0,0,280,0,1120,0,12,3,2,15,02,36,0,6,5,24,46,03,12,0,10,8,6,14,02,30,0,18,11,8,33,03,15,0,8,4,1,15,02,21,1,6,6,13,42,03,26,0,6,4,12,31,02,30,0,4,7,23,32,03,10,0,10,6,14,31,02,27,0,8,3,2,20,02,19,0,8,0,3,20,02,40,0,16,10,6,21,02,7,0,14,3,5,23,02,31,1,10,1,1,17,02,17,1,14,9,7,27,02,25,1,10,7,14,34,02,14,1,2,10,9,18,02,29,0,17,7,4,30,02,16,0,8,2,18,31,02,32,0,13,5,15,25,02,11
2020020283,2021-02-20,0,0,1,1,0,0,1,3,C,9962,0,1065,0,0,44,0,1244,0,851,0,0,122,2,973,0,841,1,0,209,2,1159,0,872,2,0,125,4,1057,0,1007,0,0,199,3,1299,0,896,0,2,45,1,949,0,675,0,0,185,1,952,0,718,0,0,167,4,945,0,685,0,0,280,0,1120,1,916,0,0,200,1,1220,0,10,8,6,14,02,30,0,18,11,8,33,03,15,0,8,4,1,15,02,21,1,6,6,13,42,03,26,0,6,4,12,31,02,30,0,4,7,23,32,03,10,0,10,6,14,31,02,27,0,8,3,2,20,02,19,0,8,0,3,20,02,40,0,16,10,6,21,02,7,0,14,3,5,23,02,31,1,10,1,1,17,02,17,1,14,9,7,27,02,25,1,10,7,14,34,02,14,1,2,10,9,18,02,29,0,17,7,4,30,02,16,0,8,2,18,31,02,32,0,13,5,15,25,02,11,0,8,13,6,17,02,27,0,4,4,12,26,02,18
2020020269,2021-02-18,0,0,0,0,1,1,1,0,C,9960,0,851,0,0,122,2,973,0,841,1,0,209,2,1159,0,872,2,0,125,4,1057,0,1007,0,0,199,3,1299,0,896,0,2,45,1,949,0,675,0,0,185,1,952,0,718,0,0,167,4,945,0,685,0,0,280,0,1120,1,916,0,0,200,1,1220,0,830,0,0,242,1,1174,0,8,4,1,15,02,21,1,6,6,13,42,03,26,0,6,4,12,31,02,30,0,4,7,23,32,03,10,0,10,6,14,31,02,27,0,8,3,2,20,02,19,0,8,0,3,20,02,40,0,16,10,6,21,02,7,0,14,3,5,23,02,31,1,10,1,1,17,02,17,1,14,9,7,27,02,25,1,10,7,14,34,02,14,1,2,10,9,18,02,29,0,17,7,4,30,02,16,0,8,2,18,31,02,32,0,13,5,15,25,02,11,0,8,13,6,17,02,27,0,4,4,12,26,02,18,1,11,8,6,21,02,33,1,6,1,3,13,02,16
2020020252,2021-02-15,1,0,0,1,0,1,1,2,C,9957,0,841,1,0,209,2,1159,0,872,2,0,125,4,1057,0,1007,0,0,199,3,1299,0,896,0,2,45,1,949,0,675,0,0,185,1,952,0,718,0,0,167,4,945,0,685,0,0,280,0,1120,1,916,0,0,200,1,1220,0,830,0,0,242,1,1174,0,891,0,0,431,2,1382,0,6,4,12,31,02,30,0,4,7,23,32,03,10,0,10,6,14,31,02,27,0,8,3,2,20,02,19,0,8,0,3,20,02,40,0,16,10,6,21,02,7,0,14,3,5,23,02,31,1,10,1,1,17,02,17,1,14,9,7,27,02,25,1,10,7,14,34,02,14,1,2,10,9,18,02,29,0,17,7,4,30,02,16,0,8,2,18,31,02,32,0,13,5,15,25,02,11,0,8,13,6,17,02,27,0,4,4,12,26,02,18,1,11,8,6,21,02,33,1,6,1,3,13,02,16,1,6,10,8,19,02,40,1,4,1,0,23,02,8
2020020149,2021-02-13,1,0,0,1,0,1,1,2,C,9955,0,872,2,0,125,4,1057,0,1007,0,0,199,3,1299,0,896,0,2,45,1,949,0,675,0,0,185,1,952,0,718,0,0,167,4,945,0,685,0,0,280,0,1120,1,916,0,0,200,1,1220,0,830,0,0,242,1,1174,0,891,0,0,431,2,1382,2,1077,0,2,104,0,1259,0,10,6,14,31,02,27,0,8,3,2,20,02,19,0,8,0,3,20,02,40,0,16,10,6,21,02,7,0,14,3,5,23,02,31,1,10,1,1,17,02,17,1,14,9,7,27,02,25,1,10,7,14,34,02,14,1,2,10,9,18,02,29,0,17,7,4,30,02,16,0,8,2,18,31,02,32,0,13,5,15,25,02,11,0,8,13,6,17,02,27,0,4,4,12,26,02,18,1,11,8,6,21,02,33,1,6,1,3,13,02,16,1,6,10,8,19,02,40,1,4,1,0,23,02,8,1,10,11,8,13,02,27,1,19,7,8,21,02,11
2020020227,2021-02-11,0,1,1,1,0,0,0,4,C,9953,0,1007,0,0,199,3,1299,0,896,0,2,45,1,949,0,675,0,0,185,1,952,0,718,0,0,167,4,945,0,685,0,0,280,0,1120,1,916,0,0,200,1,1220,0,830,0,0,242,1,1174,0,891,0,0,431,2,1382,2,1077,0,2,104,0,1259,0,930,1,0,189,3,1240,0,8,0,3,20,02,40,0,16,10,6,21,02,7,0,14,3,5,23,02,31,1,10,1,1,17,02,17,1,14,9,7,27,02,25,1,10,7,14,34,02,14,1,2,10,9,18,02,29,0,17,7,4,30,02,16,0,8,2,18,31,02,32,0,13,5,15,25,02,11,0,8,13,6,17,02,27,0,4,4,12,26,02,18,1,11,8,6,21,02,33,1,6,1,3,13,02,16,1,6,10,8,19,02,40,1,4,1,0,23,02,8,1,10,11,8,13,02,27,1,19,7,8,21,02,11,1,14,8,15,15,02,26,1,15,5,6,21,02,28
