game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020467,2021-03-17,0,0,0,0,1,1,1,0,D,10932,0,1377,0,0,291,2,1671,0,1042,0,2,223,1,1286,0,1195,0,0,229,4,1424,0,1179,0,2,76,2,1274,1,1131,0,0,167,5,1298,2,1147,0,2,126,4,1273,0,1179,0,0,226,4,1412,1,1117,0,0,89,2,1206,0,1292,0,2,258,4,1550,0,1496,0,0,106,0,1623,1,12,0,4,28,03,17,0,10,7,5,23,02,10,1,12,9,14,9,03,22,0,8,4,2,7,02,12,1,22,4,7,30,03,31,0,12,3,2,15,02,10,1,13,6,15,41,03,37,0,10,8,6,14,02,14,0,6,5,24,46,03,49,0,8,4,1,15,02,18,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15
2020020437,2021-03-13,1,0,0,1,0,1,1,2,D,10928,0,1042,0,2,223,1,1286,0,1195,0,0,229,4,1424,0,1179,0,2,76,2,1274,1,1131,0,0,167,5,1298,2,1147,0,2,126,4,1273,0,1179,0,0,226,4,1412,1,1117,0,0,89,2,1206,0,1292,0,2,258,4,1550,0,1496,0,0,106,0,1623,1,1436,0,0,105,3,1541,1,12,9,14,9,03,22,0,8,4,2,7,02,12,1,22,4,7,30,03,31,0,12,3,2,15,02,10,1,13,6,15,41,03,37,0,10,8,6,14,02,14,0,6,5,24,46,03,49,0,8,4,1,15,02,18,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16
2020020425,2021-03-12,1,0,0,0,1,1,1,1,D,10927,0,1195,0,0,229,4,1424,0,1179,0,2,76,2,1274,1,1131,0,0,167,5,1298,2,1147,0,2,126,4,1273,0,1179,0,0,226,4,1412,1,1117,0,0,89,2,1206,0,1292,0,2,258,4,1550,0,1496,0,0,106,0,1623,1,1436,0,0,105,3,1541,1,1362,0,0,210,4,1584,1,22,4,7,30,03,31,0,12,3,2,15,02,10,1,13,6,15,41,03,37,0,10,8,6,14,02,14,0,6,5,24,46,03,49,0,8,4,1,15,02,18,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9
2020020326,2021-03-08,0,1,1,1,0,0,0,4,D,10923,0,1179,0,2,76,2,1274,1,1131,0,0,167,5,1298,2,1147,0,2,126,4,1273,0,1179,0,0,226,4,1412,1,1117,0,0,89,2,1206,0,1292,0,2,258,4,1550,0,1496,0,0,106,0,1623,1,1436,0,0,105,3,1541,1,1362,0,0,210,4,1584,0,786,0,0,158,3,944,1,13,6,15,41,03,37,0,10,8,6,14,02,14,0,6,5,24,46,03,49,0,8,4,1,15,02,18,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13
2020020388,2021-03-06,0,0,0,1,0,1,1,2,D,10921,1,1131,0,0,167,5,1298,2,1147,0,2,126,4,1273,0,1179,0,0,226,4,1412,1,1117,0,0,89,2,1206,0,1292,0,2,258,4,1550,0,1496,0,0,106,0,1623,1,1436,0,0,105,3,1541,1,1362,0,0,210,4,1584,0,786,0,0,158,3,944,1,1310,0,0,103,4,1418,0,6,5,24,46,03,49,0,8,4,1,15,02,18,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22
2020020379,2021-03-05,0,1,1,1,0,0,0,5,D,10920,2,1147,0,2,126,4,1273,0,1179,0,0,226,4,1412,1,1117,0,0,89,2,1206,0,1292,0,2,258,4,1550,0,1496,0,0,106,0,1623,1,1436,0,0,105,3,1541,1,1362,0,0,210,4,1584,0,786,0,0,158,3,944,1,1310,0,0,103,4,1418,0,1138,0,0,70,1,1289,0,18,11,8,33,03,37,0,6,4,12,31,02,13,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22
2020020362,2021-03-03,0,1,1,1,0,0,0,4,D,10918,0,1179,0,0,226,4,1412,1,1117,0,0,89,2,1206,0,1292,0,2,258,4,1550,0,1496,0,0,106,0,1623,1,1436,0,0,105,3,1541,1,1362,0,0,210,4,1584,0,786,0,0,158,3,944,1,1310,0,0,103,4,1418,0,1138,0,0,70,1,1289,0,1162,0,0,158,4,1360,1,6,6,13,42,03,39,0,10,6,14,31,02,17,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17
2020020352,2021-03-01,0,1,1,1,0,0,0,4,D,10916,1,1117,0,0,89,2,1206,0,1292,0,2,258,4,1550,0,1496,0,0,106,0,1623,1,1436,0,0,105,3,1541,1,1362,0,0,210,4,1584,0,786,0,0,158,3,944,1,1310,0,0,103,4,1418,0,1138,0,0,70,1,1289,0,1162,0,0,158,4,1360,1,978,0,2,232,2,1378,0,4,7,23,32,03,36,0,8,0,3,20,02,7,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12
2020020339,2021-02-27,0,0,0,1,0,1,1,2,D,10914,0,1292,0,2,258,4,1550,0,1496,0,0,106,0,1623,1,1436,0,0,105,3,1541,1,1362,0,0,210,4,1584,0,786,0,0,158,3,944,1,1310,0,0,103,4,1418,0,1138,0,0,70,1,1289,0,1162,0,0,158,4,1360,1,978,0,2,232,2,1378,2,1128,0,0,245,1,1373,0,8,3,2,20,02,32,0,14,3,5,23,02,5,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12,1,6,1,3,13,02,29,0,6,4,16,27,02,14
2020020309,2021-02-24,1,1,1,1,0,0,0,4,D,10911,0,1496,0,0,106,0,1623,1,1436,0,0,105,3,1541,1,1362,0,0,210,4,1584,0,786,0,0,158,3,944,1,1310,0,0,103,4,1418,0,1138,0,0,70,1,1289,0,1162,0,0,158,4,1360,1,978,0,2,232,2,1378,2,1128,0,0,245,1,1373,0,1098,0,0,339,1,1437,0,16,10,6,21,02,21,1,14,9,7,27,02,15,1,6,4,1,13,02,33,1,2,10,9,18,02,16,1,14,2,3,13,02,23,1,11,8,6,21,02,9,1,10,1,1,17,02,30,1,10,11,8,13,02,13,1,10,7,14,34,02,31,1,14,8,15,15,02,22,0,17,7,4,30,02,25,1,13,10,11,34,02,22,0,13,5,15,25,02,30,1,4,6,4,35,02,17,0,4,4,12,26,02,23,0,7,7,13,23,02,12,1,6,1,3,13,02,29,0,6,4,16,27,02,14,1,4,1,0,23,02,43,0,6,10,2,16,02,26
